"Time","A4260515","X"
"and","Discharge (Ml/day)",""
"Date","Mean","Qual"
09:00:00 02/06/2015,3522,1
09:00:00 03/06/2015,3568,1
09:00:00 04/06/2015,3583,1
09:00:00 05/06/2015,3329.5,1
09:00:00 06/06/2015,3110,1
09:00:00 07/06/2015,3180,1
09:00:00 08/06/2015,3229.5,1
09:00:00 09/06/2015,3323,1
09:00:00 10/06/2015,3410,1
09:00:00 11/06/2015,3446.5,1
09:00:00 12/06/2015,3461,1
09:00:00 13/06/2015,3475.5,1
09:00:00 14/06/2015,3468,1
09:00:00 15/06/2015,3550,1
09:00:00 16/06/2015,3722.5,1
09:00:00 17/06/2015,3783,1
09:00:00 18/06/2015,3707,1
09:00:00 19/06/2015,3609,1
09:00:00 20/06/2015,3571,1
09:00:00 21/06/2015,3541.5,1
09:00:00 22/06/2015,3542.5,1
09:00:00 23/06/2015,3535,1
09:00:00 24/06/2015,3505,1
09:00:00 25/06/2015,3542,1
09:00:00 26/06/2015,3594,1
09:00:00 27/06/2015,3609,1
09:00:00 28/06/2015,3601.5,1
09:00:00 29/06/2015,3616.5,1
09:00:00 30/06/2015,3639,1
09:00:00 01/07/2015,3804.5,1
09:00:00 02/07/2015,3970,1
09:00:00 03/07/2015,5843,1
09:00:00 04/07/2015,7545,1
09:00:00 05/07/2015,7428,1
09:00:00 06/07/2015,7287,1
09:00:00 07/07/2015,7659.5,1
09:00:00 08/07/2015,8238.5,1
09:00:00 09/07/2015,8497.5,1
09:00:00 10/07/2015,8921.5,1
09:00:00 11/07/2015,9239.5,1
09:00:00 12/07/2015,9141.5,1
09:00:00 13/07/2015,9204,1
09:00:00 14/07/2015,9401,1
09:00:00 15/07/2015,9527.5,1
09:00:00 16/07/2015,9428.5,1
09:00:00 17/07/2015,9045,1
09:00:00 18/07/2015,8246.5,1
09:00:00 19/07/2015,7580,1
09:00:00 20/07/2015,7439,1
09:00:00 21/07/2015,7496.5,1
09:00:00 22/07/2015,7420.5,1
09:00:00 23/07/2015,7245.5,1
09:00:00 24/07/2015,6787.5,1
09:00:00 25/07/2015,6218.5,1
09:00:00 26/07/2015,6020,1
09:00:00 27/07/2015,5941.5,1
09:00:00 28/07/2015,5918.5,1
09:00:00 29/07/2015,5918.5,1
09:00:00 30/07/2015,5926,1
09:00:00 31/07/2015,6300.16666666667,1
09:00:00 01/08/2015,6674.33333333333,1
09:00:00 02/08/2015,7048.5,1
09:00:00 03/08/2015,7132.5,1
09:00:00 04/08/2015,7107,1
09:00:00 05/08/2015,6956.5,1
09:00:00 06/08/2015,6823,1
09:00:00 07/08/2015,6839.5,1
09:00:00 08/08/2015,6939.5,1
09:00:00 09/08/2015,7006,1
09:00:00 10/08/2015,6889.5,1
09:00:00 11/08/2015,6756.5,1
09:00:00 12/08/2015,6634.5,1
09:00:00 13/08/2015,6561,1
09:00:00 14/08/2015,6666.5,1
09:00:00 15/08/2015,6806.5,1
09:00:00 16/08/2015,6922.5,1
09:00:00 17/08/2015,7014.5,1
09:00:00 18/08/2015,7115.5,1
09:00:00 19/08/2015,6917,1
09:00:00 20/08/2015,6610,1
09:00:00 21/08/2015,6171.5,1
09:00:00 22/08/2015,5846,1
09:00:00 23/08/2015,5861.5,1
09:00:00 24/08/2015,5675,1
09:00:00 25/08/2015,5357.5,1
09:00:00 26/08/2015,5387,1
09:00:00 27/08/2015,5548,1
09:00:00 28/08/2015,5509,1
09:00:00 29/08/2015,5587.5,1
09:00:00 30/08/2015,5674,1
09:00:00 31/08/2015,5786.5,1
09:00:00 01/09/2015,6111.5,1
09:00:00 02/09/2015,6436.5,1
09:00:00 03/09/2015,7123,1
09:00:00 04/09/2015,7556.5,1
09:00:00 05/09/2015,7257,1
09:00:00 06/09/2015,6854,1
09:00:00 07/09/2015,6718,1
09:00:00 08/09/2015,6539,1
09:00:00 09/09/2015,6632,1
09:00:00 10/09/2015,6722,1
09:00:00 11/09/2015,6627,1
09:00:00 12/09/2015,6446,1
09:00:00 13/09/2015,6267.5,1
09:00:00 14/09/2015,6124,1
09:00:00 15/09/2015,6311,1
09:00:00 16/09/2015,6725,1
09:00:00 17/09/2015,6973,1
09:00:00 18/09/2015,7637.5,1
09:00:00 19/09/2015,8580.5,1
09:00:00 20/09/2015,8942,1
09:00:00 21/09/2015,8977.5,1
09:00:00 22/09/2015,9147.5,1
09:00:00 23/09/2015,9201,1
09:00:00 24/09/2015,8982,1
09:00:00 25/09/2015,8817.5,1
09:00:00 26/09/2015,8836,1
09:00:00 27/09/2015,8998.5,1
09:00:00 28/09/2015,9134,1
09:00:00 29/09/2015,9207.5,1
09:00:00 30/09/2015,9126,1
09:00:00 01/10/2015,9140.25,1
09:00:00 02/10/2015,9154.5,1
09:00:00 03/10/2015,9556,1
09:00:00 04/10/2015,9694,1
09:00:00 05/10/2015,9584,1
09:00:00 06/10/2015,9446,1
09:00:00 07/10/2015,9296.5,1
09:00:00 08/10/2015,9462.5,1
09:00:00 09/10/2015,9880.5,1
09:00:00 10/10/2015,10019,1
09:00:00 11/10/2015,9952.5,1
09:00:00 12/10/2015,9768,1
09:00:00 13/10/2015,9713,1
09:00:00 14/10/2015,9559,1
09:00:00 15/10/2015,9414.5,1
09:00:00 16/10/2015,9101.5,1
09:00:00 17/10/2015,8698.5,1
09:00:00 18/10/2015,8734.5,1
09:00:00 19/10/2015,8815,1
09:00:00 20/10/2015,8725,1
09:00:00 21/10/2015,8698,1
09:00:00 22/10/2015,8680.5,1
09:00:00 23/10/2015,9060.5,1
09:00:00 24/10/2015,9512,1
09:00:00 25/10/2015,9604,1
09:00:00 26/10/2015,9485.5,1
09:00:00 27/10/2015,9494.5,1
09:00:00 28/10/2015,9856,1
09:00:00 29/10/2015,10036,1
09:00:00 30/10/2015,9688.5,1
09:00:00 31/10/2015,9283.5,1
09:00:00 01/11/2015,9104.5,1
09:00:00 02/11/2015,8926.5,1
09:00:00 03/11/2015,8936,1
09:00:00 04/11/2015,8643.5,1
09:00:00 05/11/2015,8647.5,1
09:00:00 06/11/2015,8971.5,1
09:00:00 07/11/2015,8574,1
09:00:00 08/11/2015,7898,1
09:00:00 09/11/2015,7350,1
09:00:00 10/11/2015,6709,1
09:00:00 11/11/2015,6027.5,1
09:00:00 12/11/2015,5669.5,1
09:00:00 13/11/2015,5677,1
09:00:00 14/11/2015,5750,1
09:00:00 15/11/2015,5701,1
09:00:00 16/11/2015,5636,1
09:00:00 17/11/2015,5759,1
09:00:00 18/11/2015,5982,1
09:00:00 19/11/2015,6074,1
09:00:00 20/11/2015,5883.5,1
09:00:00 21/11/2015,5541.5,1
09:00:00 22/11/2015,5230.5,1
09:00:00 23/11/2015,4970.5,1
09:00:00 24/11/2015,4746.5,1
09:00:00 25/11/2015,4828.5,1
09:00:00 26/11/2015,4596.5,1
09:00:00 27/11/2015,4461,1
09:00:00 28/11/2015,4708.5,1
09:00:00 29/11/2015,4600,1
09:00:00 30/11/2015,4615.5,1
09:00:00 01/12/2015,4608,1
09:00:00 02/12/2015,4608,1
09:00:00 03/12/2015,4771.5,1
09:00:00 04/12/2015,4986.5,1
09:00:00 05/12/2015,5180.5,1
09:00:00 06/12/2015,5188.5,1
09:00:00 07/12/2015,5050,1
09:00:00 08/12/2015,4921.5,1
09:00:00 09/12/2015,4874,1
09:00:00 10/12/2015,4905.5,1
09:00:00 11/12/2015,4985.5,1
09:00:00 12/12/2015,5066.5,1
09:00:00 13/12/2015,5123.5,1
09:00:00 14/12/2015,5083,1
09:00:00 15/12/2015,5083,1
09:00:00 16/12/2015,5148,1
09:00:00 17/12/2015,5494,1
09:00:00 18/12/2015,5898,1
09:00:00 19/12/2015,5857,1
09:00:00 20/12/2015,5442,1
09:00:00 21/12/2015,4813,1
09:00:00 22/12/2015,4694.5,1
09:00:00 23/12/2015,4977.5,1
09:00:00 24/12/2015,2629.5,1
09:00:00 25/12/2015,2849.59090909091,1
09:00:00 26/12/2015,3069.68181818182,1
09:00:00 27/12/2015,3289.77272727273,1
09:00:00 28/12/2015,3509.86363636364,1
09:00:00 29/12/2015,3729.95454545455,1
09:00:00 30/12/2015,3950.04545454545,1
09:00:00 31/12/2015,4170.13636363636,1
09:00:00 01/01/2016,4390.22727272727,1
09:00:00 02/01/2016,4610.31818181818,1
09:00:00 03/01/2016,4830.40909090909,1
09:00:00 04/01/2016,5050.5,1
09:00:00 05/01/2016,5288.5,1
09:00:00 06/01/2016,5508.5,1
09:00:00 07/01/2016,5571,1
09:00:00 08/01/2016,5432,1
09:00:00 09/01/2016,5293.5,1
09:00:00 10/01/2016,5197.5,1
09:00:00 11/01/2016,5134,1
09:00:00 12/01/2016,5158,1
09:00:00 13/01/2016,5246,1
09:00:00 14/01/2016,5144,1
09:00:00 15/01/2016,5299,1
09:00:00 16/01/2016,5847,1
09:00:00 17/01/2016,6057,1
09:00:00 18/01/2016,6099,1
09:00:00 19/01/2016,6099,1
09:00:00 20/01/2016,5940,1
09:00:00 21/01/2016,5815.5,1
09:00:00 22/01/2016,6129.5,1
09:00:00 23/01/2016,6716.5,1
09:00:00 24/01/2016,7001,1
09:00:00 25/01/2016,6983,1
09:00:00 26/01/2016,6821.5,1
09:00:00 27/01/2016,6634.5,1
09:00:00 28/01/2016,6399,1
09:00:00 29/01/2016,6312,1
09:00:00 30/01/2016,6601,1
09:00:00 31/01/2016,6902,1
09:00:00 01/02/2016,7037.5,1
09:00:00 02/02/2016,7592,1
09:00:00 03/02/2016,7582,1
09:00:00 04/02/2016,7241.5,1
09:00:00 05/02/2016,7294.5,1
09:00:00 06/02/2016,7116.5,1
09:00:00 07/02/2016,7002.5,1
09:00:00 08/02/2016,6669,1
09:00:00 09/02/2016,6946,1
09:00:00 10/02/2016,7762.5,1
09:00:00 11/02/2016,8149,1
09:00:00 12/02/2016,8747,1
09:00:00 13/02/2016,9160.5,1
09:00:00 14/02/2016,8945.5,1
09:00:00 15/02/2016,8713.5,1
09:00:00 16/02/2016,8686,1
09:00:00 17/02/2016,8759.5,1
09:00:00 18/02/2016,8843,1
09:00:00 19/02/2016,8954.5,1
09:00:00 20/02/2016,8908.5,1
09:00:00 21/02/2016,8779,1
09:00:00 22/02/2016,8760,1
09:00:00 23/02/2016,8806,1
09:00:00 24/02/2016,8806,1
09:00:00 25/02/2016,8824.5,1
09:00:00 26/02/2016,8861.5,1
09:00:00 27/02/2016,8806,1
09:00:00 28/02/2016,8750.5,1
09:00:00 29/02/2016,8796.5,1
09:00:00 01/03/2016,8505,1
09:00:00 02/03/2016,8167.5,1
09:00:00 03/03/2016,7827,1
09:00:00 04/03/2016,7415,1
09:00:00 05/03/2016,6882.5,1
