"Time","A4260517","X"
"and","Discharge (Ml/day)",""
"Date","Mean","Qual"
09:00:00 02/06/2015,3633,1
09:00:00 03/06/2015,3597,1
09:00:00 04/06/2015,3583,1
09:00:00 05/06/2015,3478.5,1
09:00:00 06/06/2015,3163.5,1
09:00:00 07/06/2015,2939,1
09:00:00 08/06/2015,3003,1
09:00:00 09/06/2015,3113.5,1
09:00:00 10/06/2015,3146.5,1
09:00:00 11/06/2015,3126.5,1
09:00:00 12/06/2015,3126.5,1
09:00:00 13/06/2015,3160,1
09:00:00 14/06/2015,3207,1
09:00:00 15/06/2015,3247.5,1
09:00:00 16/06/2015,3268,1
09:00:00 17/06/2015,3303,1
09:00:00 18/06/2015,3352,1
09:00:00 19/06/2015,3337.5,1
09:00:00 20/06/2015,3323.5,1
09:00:00 21/06/2015,3310,1
09:00:00 22/06/2015,3295.5,1
09:00:00 23/06/2015,3288.5,1
09:00:00 24/06/2015,3268,1
09:00:00 25/06/2015,3281.5,1
09:00:00 26/06/2015,3302,1
09:00:00 27/06/2015,3309,1
09:00:00 28/06/2015,3323.5,1
09:00:00 29/06/2015,3323.5,1
09:00:00 30/06/2015,3295.5,1
09:00:00 01/07/2015,3320.25,1
09:00:00 02/07/2015,3345,1
09:00:00 03/07/2015,4117,1
09:00:00 04/07/2015,6198,1
09:00:00 05/07/2015,7469.5,1
09:00:00 06/07/2015,7427.5,1
09:00:00 07/07/2015,7579.5,1
09:00:00 08/07/2015,7808,1
09:00:00 09/07/2015,8199,1
09:00:00 10/07/2015,8719,1
09:00:00 11/07/2015,8993.5,1
09:00:00 12/07/2015,9112.5,1
09:00:00 13/07/2015,9093.5,1
09:00:00 14/07/2015,9093.5,1
09:00:00 15/07/2015,9323.5,1
09:00:00 16/07/2015,9507,1
09:00:00 17/07/2015,9449,1
09:00:00 18/07/2015,9037,1
09:00:00 19/07/2015,8567.5,1
09:00:00 20/07/2015,8268.5,1
09:00:00 21/07/2015,7873.5,1
09:00:00 22/07/2015,7392,1
09:00:00 23/07/2015,7205,1
09:00:00 24/07/2015,7100,1
09:00:00 25/07/2015,6288.5,1
09:00:00 26/07/2015,5739,1
09:00:00 27/07/2015,5782.5,1
09:00:00 28/07/2015,5533.5,1
09:00:00 29/07/2015,5460,1
09:00:00 30/07/2015,5615.5,1
09:00:00 31/07/2015,6152.66666666667,1
09:00:00 01/08/2015,6689.83333333333,1
09:00:00 02/08/2015,7227,1
09:00:00 03/08/2015,7323,1
09:00:00 04/08/2015,7359,1
09:00:00 05/08/2015,7516.5,1
09:00:00 06/08/2015,7547.5,1
09:00:00 07/08/2015,7450.5,1
09:00:00 08/08/2015,7415.5,1
09:00:00 09/08/2015,7398,1
09:00:00 10/08/2015,7337.5,1
09:00:00 11/08/2015,7210,1
09:00:00 12/08/2015,7176,1
09:00:00 13/08/2015,7167.5,1
09:00:00 14/08/2015,7142,1
09:00:00 15/08/2015,7167,1
09:00:00 16/08/2015,7192.5,1
09:00:00 17/08/2015,7184.5,1
09:00:00 18/08/2015,7209.5,1
09:00:00 19/08/2015,7251.5,1
09:00:00 20/08/2015,6990.5,1
09:00:00 21/08/2015,6729.5,1
09:00:00 22/08/2015,6361.5,1
09:00:00 23/08/2015,5928.5,1
09:00:00 24/08/2015,5855,1
09:00:00 25/08/2015,5661,1
09:00:00 26/08/2015,5221.5,1
09:00:00 27/08/2015,5000,1
09:00:00 28/08/2015,5072,1
09:00:00 29/08/2015,5209,1
09:00:00 30/08/2015,5225.5,1
09:00:00 31/08/2015,5209.5,1
09:00:00 01/09/2015,5363.5,1
09:00:00 02/09/2015,5517.5,1
09:00:00 03/09/2015,6274.5,1
09:00:00 04/09/2015,7285.5,1
09:00:00 05/09/2015,7552.5,1
09:00:00 06/09/2015,7335.5,1
09:00:00 07/09/2015,7112,1
09:00:00 08/09/2015,6722.5,1
09:00:00 09/09/2015,6321.5,1
09:00:00 10/09/2015,6218.5,1
09:00:00 11/09/2015,6341,1
09:00:00 12/09/2015,6464,1
09:00:00 13/09/2015,6431.5,1
09:00:00 14/09/2015,6341.5,1
09:00:00 15/09/2015,6309,1
09:00:00 16/09/2015,6309,1
09:00:00 17/09/2015,6424,1
09:00:00 18/09/2015,7000,1
09:00:00 19/09/2015,8077,1
09:00:00 20/09/2015,8746.5,1
09:00:00 21/09/2015,8790.5,1
09:00:00 22/09/2015,8974.5,1
09:00:00 23/09/2015,9177.5,1
09:00:00 24/09/2015,9160.5,1
09:00:00 25/09/2015,9069.5,1
09:00:00 26/09/2015,8755,1
09:00:00 27/09/2015,8522,1
09:00:00 28/09/2015,8707,1
09:00:00 29/09/2015,8805,1
09:00:00 30/09/2015,8687,1
09:00:00 01/10/2015,8622,1
09:00:00 02/10/2015,8557,1
09:00:00 03/10/2015,8638,1
09:00:00 04/10/2015,8819.5,1
09:00:00 05/10/2015,8902,1
09:00:00 06/10/2015,8911,1
09:00:00 07/10/2015,8901.5,1
09:00:00 08/10/2015,8928.5,1
09:00:00 09/10/2015,9038,1
09:00:00 10/10/2015,9331.5,1
09:00:00 11/10/2015,9512.5,1
09:00:00 12/10/2015,9388,1
09:00:00 13/10/2015,9254.5,1
09:00:00 14/10/2015,9130.5,1
09:00:00 15/10/2015,8946,1
09:00:00 16/10/2015,8764.5,1
09:00:00 17/10/2015,8494,1
09:00:00 18/10/2015,8235.5,1
09:00:00 19/10/2015,8184,1
09:00:00 20/10/2015,8210,1
09:00:00 21/10/2015,8193,1
09:00:00 22/10/2015,8158.5,1
09:00:00 23/10/2015,8167,1
09:00:00 24/10/2015,8407,1
09:00:00 25/10/2015,8665,1
09:00:00 26/10/2015,8774,1
09:00:00 27/10/2015,8841.5,1
09:00:00 28/10/2015,8874.5,1
09:00:00 29/10/2015,9035.5,1
09:00:00 30/10/2015,9026,1
09:00:00 31/10/2015,8400,1
09:00:00 01/11/2015,8045,1
09:00:00 02/11/2015,8175,1
09:00:00 03/11/2015,8247,1
09:00:00 04/11/2015,8528,1
09:00:00 05/11/2015,8773.5,1
09:00:00 06/11/2015,8864.5,1
09:00:00 07/11/2015,8765,1
09:00:00 08/11/2015,8429,1
09:00:00 09/11/2015,8030,1
09:00:00 10/11/2015,7439,1
09:00:00 11/11/2015,6249,1
09:00:00 12/11/2015,5219,1
09:00:00 13/11/2015,4779,1
09:00:00 14/11/2015,4445.5,1
09:00:00 15/11/2015,4362,1
09:00:00 16/11/2015,4450,1
09:00:00 17/11/2015,4578.5,1
09:00:00 18/11/2015,4717,1
09:00:00 19/11/2015,4871,1
09:00:00 20/11/2015,5053,1
09:00:00 21/11/2015,4955.5,1
09:00:00 22/11/2015,4812.5,1
09:00:00 23/11/2015,4768.5,1
09:00:00 24/11/2015,4430.5,1
09:00:00 25/11/2015,4151.5,1
09:00:00 26/11/2015,4130,1
09:00:00 27/11/2015,4034,1
09:00:00 28/11/2015,3807,1
09:00:00 29/11/2015,3683,1
09:00:00 30/11/2015,3740.5,1
09:00:00 01/12/2015,3769.5,1
09:00:00 02/12/2015,3704.5,1
09:00:00 03/12/2015,3690,1
09:00:00 04/12/2015,3828,1
09:00:00 05/12/2015,4028.5,1
09:00:00 06/12/2015,4142.5,1
09:00:00 07/12/2015,4158,1
09:00:00 08/12/2015,4074,1
09:00:00 09/12/2015,3945.5,1
09:00:00 10/12/2015,3930.5,1
09:00:00 11/12/2015,3975,1
09:00:00 12/12/2015,3938,1
09:00:00 13/12/2015,3945.5,1
09:00:00 14/12/2015,4074,1
09:00:00 15/12/2015,4174,1
09:00:00 16/12/2015,4384,1
09:00:00 17/12/2015,4656,1
09:00:00 18/12/2015,4780.5,1
09:00:00 19/12/2015,4796,1
09:00:00 20/12/2015,4748.5,1
09:00:00 21/12/2015,4470.5,1
09:00:00 22/12/2015,4047.5,1
09:00:00 23/12/2015,3871,1
09:00:00 24/12/2015,3887.29166666667,1
09:00:00 25/12/2015,3903.58333333333,1
09:00:00 26/12/2015,3919.875,1
09:00:00 27/12/2015,3936.16666666667,1
09:00:00 28/12/2015,3952.45833333333,1
09:00:00 29/12/2015,3968.75,1
09:00:00 30/12/2015,3985.04166666667,1
09:00:00 31/12/2015,4001.33333333333,1
09:00:00 01/01/2016,4017.625,1
09:00:00 02/01/2016,4033.91666666667,1
09:00:00 03/01/2016,4050.20833333333,1
09:00:00 04/01/2016,4066.5,1
09:00:00 05/01/2016,4237,1
09:00:00 06/01/2016,4580,1
09:00:00 07/01/2016,4940,1
09:00:00 08/01/2016,4851,1
09:00:00 09/01/2016,4459,1
09:00:00 10/01/2016,4259.5,1
09:00:00 11/01/2016,4267,1
09:00:00 12/01/2016,4296,1
09:00:00 13/01/2016,4310.5,1
09:00:00 14/01/2016,4325.5,1
09:00:00 15/01/2016,4246,1
09:00:00 16/01/2016,4290,1
09:00:00 17/01/2016,4525.5,1
09:00:00 18/01/2016,4726,1
09:00:00 19/01/2016,5009.5,1
09:00:00 20/01/2016,5214.5,1
09:00:00 21/01/2016,5115,1
09:00:00 22/01/2016,5162.5,1
09:00:00 23/01/2016,5635.5,1
09:00:00 24/01/2016,5957,1
09:00:00 25/01/2016,5983,1
09:00:00 26/01/2016,5965.5,1
09:00:00 27/01/2016,5905,1
09:00:00 28/01/2016,5708.5,1
09:00:00 29/01/2016,5514,1
09:00:00 30/01/2016,5860.5,1
09:00:00 31/01/2016,5944,1
09:00:00 01/02/2016,5673.5,1
09:00:00 02/02/2016,6344.5,1
09:00:00 03/02/2016,7107.5,1
09:00:00 04/02/2016,7033,1
09:00:00 05/02/2016,6832.5,1
09:00:00 06/02/2016,6713,1
09:00:00 07/02/2016,6616.5,1
09:00:00 08/02/2016,6545.5,1
09:00:00 09/02/2016,6435,1
09:00:00 10/02/2016,6506,1
09:00:00 11/02/2016,6852,1
09:00:00 12/02/2016,7470.5,1
09:00:00 13/02/2016,8106.5,1
09:00:00 14/02/2016,8255.5,1
09:00:00 15/02/2016,8028.5,1
09:00:00 16/02/2016,7746,1
09:00:00 17/02/2016,7588,1
09:00:00 18/02/2016,7619,1
09:00:00 19/02/2016,7761.5,1
09:00:00 20/02/2016,7998.5,1
09:00:00 21/02/2016,8015,1
09:00:00 22/02/2016,7990,1
09:00:00 23/02/2016,8091.5,1
09:00:00 24/02/2016,8116.5,1
09:00:00 25/02/2016,8066,1
09:00:00 26/02/2016,8007,1
09:00:00 27/02/2016,8007,1
09:00:00 28/02/2016,8041,1
09:00:00 29/02/2016,8007,1
09:00:00 01/03/2016,7931,1
09:00:00 02/03/2016,7696,1
09:00:00 03/03/2016,7378,1
09:00:00 04/03/2016,6969.5,1
09:00:00 05/03/2016,6315,1
