"Time","A4260513","X"
"and","Discharge (Ml/day)",""
"Date","Mean","Qual"
09:00:00 02/06/2015,3499,1
09:00:00 03/06/2015,3461.5,1
09:00:00 04/06/2015,3409,1
09:00:00 05/06/2015,3153,1
09:00:00 06/06/2015,2912,1
09:00:00 07/06/2015,2955,1
09:00:00 08/06/2015,3055.5,1
09:00:00 09/06/2015,3149.5,1
09:00:00 10/06/2015,3201,1
09:00:00 11/06/2015,3172,1
09:00:00 12/06/2015,3106,1
09:00:00 13/06/2015,3113,1
09:00:00 14/06/2015,3164,1
09:00:00 15/06/2015,3261,1
09:00:00 16/06/2015,3373.5,1
09:00:00 17/06/2015,3358,1
09:00:00 18/06/2015,3209,1
09:00:00 19/06/2015,3113,1
09:00:00 20/06/2015,3127.5,1
09:00:00 21/06/2015,3135,1
09:00:00 22/06/2015,3151.5,1
09:00:00 23/06/2015,3180.5,1
09:00:00 24/06/2015,3201,1
09:00:00 25/06/2015,3216,1
09:00:00 26/06/2015,3216,1
09:00:00 27/06/2015,3208.5,1
09:00:00 28/06/2015,3231,1
09:00:00 29/06/2015,3275.5,1
09:00:00 30/06/2015,3282.5,1
09:00:00 01/07/2015,3578.25,1
09:00:00 02/07/2015,3874,1
09:00:00 03/07/2015,5217.5,1
09:00:00 04/07/2015,6607.5,1
09:00:00 05/07/2015,6804.5,1
09:00:00 06/07/2015,6914,1
09:00:00 07/07/2015,7543.5,1
09:00:00 08/07/2015,8195,1
09:00:00 09/07/2015,8518.5,1
09:00:00 10/07/2015,8957,1
09:00:00 11/07/2015,9253,1
09:00:00 12/07/2015,9120,1
09:00:00 13/07/2015,9069,1
09:00:00 14/07/2015,9192,1
09:00:00 15/07/2015,9212.5,1
09:00:00 16/07/2015,9079,1
09:00:00 17/07/2015,8578,1
09:00:00 18/07/2015,7878.5,1
09:00:00 19/07/2015,7497,1
09:00:00 20/07/2015,7437,1
09:00:00 21/07/2015,7537,1
09:00:00 22/07/2015,7470,1
09:00:00 23/07/2015,7167.5,1
09:00:00 24/07/2015,6587.5,1
09:00:00 25/07/2015,5883,1
09:00:00 26/07/2015,5685.5,1
09:00:00 27/07/2015,5749,1
09:00:00 28/07/2015,5740,1
09:00:00 29/07/2015,5712.5,1
09:00:00 30/07/2015,5721.5,1
09:00:00 31/07/2015,6145.66666666667,1
09:00:00 01/08/2015,6569.83333333333,1
09:00:00 02/08/2015,6994,1
09:00:00 03/08/2015,6985,1
09:00:00 04/08/2015,6828.5,1
09:00:00 05/08/2015,6645,1
09:00:00 06/08/2015,6608.5,1
09:00:00 07/08/2015,6773.5,1
09:00:00 08/08/2015,6865.5,1
09:00:00 09/08/2015,6755,1
09:00:00 10/08/2015,6599.5,1
09:00:00 11/08/2015,6491,1
09:00:00 12/08/2015,6295.5,1
09:00:00 13/08/2015,6215,1
09:00:00 14/08/2015,6383.5,1
09:00:00 15/08/2015,6545,1
09:00:00 16/08/2015,6681,1
09:00:00 17/08/2015,6809.5,1
09:00:00 18/08/2015,6883.5,1
09:00:00 19/08/2015,6545.5,1
09:00:00 20/08/2015,6161.5,1
09:00:00 21/08/2015,5788,1
09:00:00 22/08/2015,5397.5,1
09:00:00 23/08/2015,5300,1
09:00:00 24/08/2015,5238.5,1
09:00:00 25/08/2015,5229.5,1
09:00:00 26/08/2015,5282,1
09:00:00 27/08/2015,5352.5,1
09:00:00 28/08/2015,5344,1
09:00:00 29/08/2015,5397.5,1
09:00:00 30/08/2015,5558.5,1
09:00:00 31/08/2015,5649,1
09:00:00 01/09/2015,6004.75,1
09:00:00 02/09/2015,6360.5,1
09:00:00 03/09/2015,6977.5,1
09:00:00 04/09/2015,7393.5,1
09:00:00 05/09/2015,6887,1
09:00:00 06/09/2015,6384.5,1
09:00:00 07/09/2015,6385,1
09:00:00 08/09/2015,6256,1
09:00:00 09/09/2015,6224,1
09:00:00 10/09/2015,6280,1
09:00:00 11/09/2015,6280,1
09:00:00 12/09/2015,6160.5,1
09:00:00 13/09/2015,6057.5,1
09:00:00 14/09/2015,6089.5,1
09:00:00 15/09/2015,6554.5,1
09:00:00 16/09/2015,7003.5,1
09:00:00 17/09/2015,7278.5,1
09:00:00 18/09/2015,7853,1
09:00:00 19/09/2015,8439,1
09:00:00 20/09/2015,8848.5,1
09:00:00 21/09/2015,9075,1
09:00:00 22/09/2015,9185.5,1
09:00:00 23/09/2015,9135.5,1
09:00:00 24/09/2015,8980.5,1
09:00:00 25/09/2015,9018.5,1
09:00:00 26/09/2015,9077.5,1
09:00:00 27/09/2015,9097.5,1
09:00:00 28/09/2015,9174,1
09:00:00 29/09/2015,9041.5,1
09:00:00 30/09/2015,8704.5,1
09:00:00 01/10/2015,8845.25,1
09:00:00 02/10/2015,8986,1
09:00:00 03/10/2015,9634.5,1
09:00:00 04/10/2015,9916.5,1
09:00:00 05/10/2015,10019.5,1
09:00:00 06/10/2015,10061,1
09:00:00 07/10/2015,10040.5,1
09:00:00 08/10/2015,10232,1
09:00:00 09/10/2015,10548.5,1
09:00:00 10/10/2015,10402,1
09:00:00 11/10/2015,10339,1
09:00:00 12/10/2015,10433.5,1
09:00:00 13/10/2015,10297.5,1
09:00:00 14/10/2015,10023.5,1
09:00:00 15/10/2015,9686.5,1
09:00:00 16/10/2015,9278,1
09:00:00 17/10/2015,8986,1
09:00:00 18/10/2015,8965.5,1
09:00:00 19/10/2015,8986,1
09:00:00 20/10/2015,8996.5,1
09:00:00 21/10/2015,8674.5,1
09:00:00 22/10/2015,8311,1
09:00:00 23/10/2015,9003.5,1
09:00:00 24/10/2015,9793.5,1
09:00:00 25/10/2015,9968,1
09:00:00 26/10/2015,9979,1
09:00:00 27/10/2015,10032,1
09:00:00 28/10/2015,10281,1
09:00:00 29/10/2015,10445,1
09:00:00 30/10/2015,10045.5,1
09:00:00 31/10/2015,9521,1
09:00:00 01/11/2015,9250.5,1
09:00:00 02/11/2015,9030,1
09:00:00 03/11/2015,9020,1
09:00:00 04/11/2015,8703.5,1
09:00:00 05/11/2015,8723.5,1
09:00:00 06/11/2015,8842.5,1
09:00:00 07/11/2015,7967,1
09:00:00 08/11/2015,7123,1
09:00:00 09/11/2015,6802,1
09:00:00 10/11/2015,6429.5,1
09:00:00 11/11/2015,5893.5,1
09:00:00 12/11/2015,5656.5,1
09:00:00 13/11/2015,5709.5,1
09:00:00 14/11/2015,5709.5,1
09:00:00 15/11/2015,5656.5,1
09:00:00 16/11/2015,5550.5,1
09:00:00 17/11/2015,5692.5,1
09:00:00 18/11/2015,5879.5,1
09:00:00 19/11/2015,5815.5,1
09:00:00 20/11/2015,5637,1
09:00:00 21/11/2015,5372.5,1
09:00:00 22/11/2015,5058,1
09:00:00 23/11/2015,4858,1
09:00:00 24/11/2015,4813,1
09:00:00 25/11/2015,4946,1
09:00:00 26/11/2015,4828,1
09:00:00 27/11/2015,4627,1
09:00:00 28/11/2015,4643.5,1
09:00:00 29/11/2015,4592.5,1
09:00:00 30/11/2015,4669.5,1
09:00:00 01/12/2015,4686.5,1
09:00:00 02/12/2015,4791,1
09:00:00 03/12/2015,5008,1
09:00:00 04/12/2015,5096.5,1
09:00:00 05/12/2015,5177,1
09:00:00 06/12/2015,5106,1
09:00:00 07/12/2015,4920.5,1
09:00:00 08/12/2015,4876.5,1
09:00:00 09/12/2015,4946.5,1
09:00:00 10/12/2015,5008.5,1
09:00:00 11/12/2015,5115,1
09:00:00 12/12/2015,5222,1
09:00:00 13/12/2015,5222,1
09:00:00 14/12/2015,5150.5,1
09:00:00 15/12/2015,5150.5,1
09:00:00 16/12/2015,5258.5,1
09:00:00 17/12/2015,5502,1
09:00:00 18/12/2015,5879,1
09:00:00 19/12/2015,5919.5,1
09:00:00 20/12/2015,5551,1
09:00:00 21/12/2015,5216,1
09:00:00 22/12/2015,5230,1
09:00:00 23/12/2015,5408.5,1
09:00:00 24/12/2015,2819.5,1
09:00:00 25/12/2015,3049.45454545455,1
09:00:00 26/12/2015,3279.40909090909,1
09:00:00 27/12/2015,3509.36363636364,1
09:00:00 28/12/2015,3739.31818181818,1
09:00:00 29/12/2015,3969.27272727273,1
09:00:00 30/12/2015,4199.22727272727,1
09:00:00 31/12/2015,4429.18181818182,1
09:00:00 01/01/2016,4659.13636363636,1
09:00:00 02/01/2016,4889.09090909091,1
09:00:00 03/01/2016,5119.04545454545,1
09:00:00 04/01/2016,5349,1
09:00:00 05/01/2016,5500,1
09:00:00 06/01/2016,5545,1
09:00:00 07/01/2016,5487,1
09:00:00 08/01/2016,5416.5,1
09:00:00 09/01/2016,5381.5,1
09:00:00 10/01/2016,5303,1
09:00:00 11/01/2016,5303,1
09:00:00 12/01/2016,5355,1
09:00:00 13/01/2016,5407.5,1
09:00:00 14/01/2016,5416.5,1
09:00:00 15/01/2016,5736,1
09:00:00 16/01/2016,6064,1
09:00:00 17/01/2016,6082,1
09:00:00 18/01/2016,6153,1
09:00:00 19/01/2016,6206,1
09:00:00 20/01/2016,6152.5,1
09:00:00 21/01/2016,6055,1
09:00:00 22/01/2016,6204,1
09:00:00 23/01/2016,6502,1
09:00:00 24/01/2016,6615.5,1
09:00:00 25/01/2016,6563.5,1
09:00:00 26/01/2016,6424,1
09:00:00 27/01/2016,6284,1
09:00:00 28/01/2016,6241,1
09:00:00 29/01/2016,6266.5,1
09:00:00 30/01/2016,6440.5,1
09:00:00 31/01/2016,6643,1
09:00:00 01/02/2016,6643,1
09:00:00 02/02/2016,7097.5,1
09:00:00 03/02/2016,7364.5,1
09:00:00 04/02/2016,7134,1
09:00:00 05/02/2016,7106,1
09:00:00 06/02/2016,7041,1
09:00:00 07/02/2016,7059.5,1
09:00:00 08/02/2016,7078,1
09:00:00 09/02/2016,7510.5,1
09:00:00 10/02/2016,8120,1
09:00:00 11/02/2016,8439,1
09:00:00 12/02/2016,8856,1
09:00:00 13/02/2016,9054.5,1
09:00:00 14/02/2016,8883,1
09:00:00 15/02/2016,8818.5,1
09:00:00 16/02/2016,8885,1
09:00:00 17/02/2016,8949.5,1
09:00:00 18/02/2016,9016.5,1
09:00:00 19/02/2016,9016.5,1
09:00:00 20/02/2016,8930.5,1
09:00:00 21/02/2016,8883,1
09:00:00 22/02/2016,8892.5,1
09:00:00 23/02/2016,8940,1
09:00:00 24/02/2016,8921,1
09:00:00 25/02/2016,8911.5,1
09:00:00 26/02/2016,8949.5,1
09:00:00 27/02/2016,8949.5,1
09:00:00 28/02/2016,8930.5,1
09:00:00 29/02/2016,8911.5,1
09:00:00 01/03/2016,8537.5,1
09:00:00 02/03/2016,8109,1
09:00:00 03/03/2016,7734.5,1
09:00:00 04/03/2016,7369.5,1
