"Time","A4260528","X"
"and","Level (m)",""
"Date","Mean","Qual"
09:00:00 02/06/2015,6.202,1
09:00:00 03/06/2015,6.198,1
09:00:00 04/06/2015,6.195,1
09:00:00 05/06/2015,6.214,1
09:00:00 06/06/2015,6.198,1
09:00:00 07/06/2015,6.192,1
09:00:00 08/06/2015,6.195,1
09:00:00 09/06/2015,6.205,1
09:00:00 10/06/2015,6.202,1
09:00:00 11/06/2015,6.194,1
09:00:00 12/06/2015,6.194,1
09:00:00 13/06/2015,6.194,1
09:00:00 14/06/2015,6.194,1
09:00:00 15/06/2015,6.203,1
09:00:00 16/06/2015,6.211,1
09:00:00 17/06/2015,6.216,1
09:00:00 18/06/2015,6.215,1
09:00:00 19/06/2015,6.214,1
09:00:00 20/06/2015,6.205,1
09:00:00 21/06/2015,6.2,1
09:00:00 22/06/2015,6.193,1
09:00:00 23/06/2015,6.189,1
09:00:00 24/06/2015,6.199,1
09:00:00 25/06/2015,6.205,1
09:00:00 26/06/2015,6.202,1
09:00:00 27/06/2015,6.197,1
09:00:00 28/06/2015,6.196,1
09:00:00 29/06/2015,6.193,1
09:00:00 30/06/2015,6.194,1
09:00:00 01/07/2015,6.195,1
09:00:00 02/07/2015,6.199,1
09:00:00 03/07/2015,6.217,1
09:00:00 04/07/2015,6.284,1
09:00:00 05/07/2015,6.289,1
09:00:00 06/07/2015,6.281,1
09:00:00 07/07/2015,6.286,1
09:00:00 08/07/2015,6.286,1
09:00:00 09/07/2015,6.296,1
09:00:00 10/07/2015,6.312,1
09:00:00 11/07/2015,6.349,1
09:00:00 12/07/2015,6.371,1
09:00:00 13/07/2015,6.372,1
09:00:00 14/07/2015,6.354,1
09:00:00 15/07/2015,6.359,1
09:00:00 16/07/2015,6.363,1
09:00:00 17/07/2015,6.366,1
09:00:00 18/07/2015,6.352,1
09:00:00 19/07/2015,6.326,1
09:00:00 20/07/2015,6.31,1
09:00:00 21/07/2015,6.289,1
09:00:00 22/07/2015,6.28,1
09:00:00 23/07/2015,6.286,1
09:00:00 24/07/2015,6.274,1
09:00:00 25/07/2015,6.261,1
09:00:00 26/07/2015,6.261,1
09:00:00 27/07/2015,6.253,1
09:00:00 28/07/2015,6.231,1
09:00:00 29/07/2015,6.229,1
09:00:00 30/07/2015,6.233,1
09:00:00 31/07/2015,6.252,1
09:00:00 01/08/2015,6.273,1
09:00:00 02/08/2015,6.291,1
09:00:00 03/08/2015,6.308,1
09:00:00 04/08/2015,6.307,1
09:00:00 05/08/2015,6.312,1
09:00:00 06/08/2015,6.31,1
09:00:00 07/08/2015,6.296,1
09:00:00 08/08/2015,6.288,1
09:00:00 09/08/2015,6.282,1
09:00:00 10/08/2015,6.28,1
09:00:00 11/08/2015,6.29,1
09:00:00 12/08/2015,6.292,1
09:00:00 13/08/2015,6.287,1
09:00:00 14/08/2015,6.277,1
09:00:00 15/08/2015,6.275,1
09:00:00 16/08/2015,6.272,1
09:00:00 17/08/2015,6.274,1
09:00:00 18/08/2015,6.283,1
09:00:00 19/08/2015,6.275,1
09:00:00 20/08/2015,6.264,1
09:00:00 21/08/2015,6.254,1
09:00:00 22/08/2015,6.253,1
09:00:00 23/08/2015,6.242,1
09:00:00 24/08/2015,6.23,1
09:00:00 25/08/2015,6.232,1
09:00:00 26/08/2015,6.225,1
09:00:00 27/08/2015,6.225,1
09:00:00 28/08/2015,6.224,1
09:00:00 29/08/2015,6.223,1
09:00:00 30/08/2015,6.222,1
09:00:00 31/08/2015,6.224,1
09:00:00 01/09/2015,6.238,1
09:00:00 02/09/2015,6.262,1
09:00:00 03/09/2015,6.284,1
09:00:00 04/09/2015,6.294,1
09:00:00 05/09/2015,6.304,1
09:00:00 06/09/2015,6.302,1
09:00:00 07/09/2015,6.299,1
09:00:00 08/09/2015,6.298,1
09:00:00 09/09/2015,6.296,1
09:00:00 10/09/2015,6.305,1
09:00:00 11/09/2015,6.334,1
09:00:00 12/09/2015,6.371,1
09:00:00 13/09/2015,6.387,1
09:00:00 14/09/2015,6.389,1
09:00:00 15/09/2015,6.419,1
09:00:00 16/09/2015,6.42,1
09:00:00 17/09/2015,6.449,1
09:00:00 18/09/2015,6.494,1
09:00:00 19/09/2015,6.539,1
09:00:00 20/09/2015,6.568,1
09:00:00 21/09/2015,6.584,1
09:00:00 22/09/2015,6.612,1
09:00:00 23/09/2015,6.624,1
09:00:00 24/09/2015,6.627,1
09:00:00 25/09/2015,6.632,1
09:00:00 26/09/2015,6.634,1
09:00:00 27/09/2015,6.644,1
09:00:00 28/09/2015,6.651,1
09:00:00 29/09/2015,6.665,1
09:00:00 30/09/2015,6.675,1
09:00:00 01/10/2015,6.685,1
09:00:00 02/10/2015,6.7,1
09:00:00 03/10/2015,6.717,1
09:00:00 04/10/2015,6.735,1
09:00:00 05/10/2015,6.747,1
09:00:00 06/10/2015,6.75,1
09:00:00 07/10/2015,6.775,1
09:00:00 08/10/2015,6.752,1
09:00:00 09/10/2015,6.758,1
09:00:00 10/10/2015,6.775,1
09:00:00 11/10/2015,6.782,1
09:00:00 12/10/2015,6.783,1
09:00:00 13/10/2015,6.781,1
09:00:00 14/10/2015,6.773,1
09:00:00 15/10/2015,6.76,1
09:00:00 16/10/2015,6.761,1
09:00:00 17/10/2015,6.754,1
09:00:00 18/10/2015,6.745,1
09:00:00 19/10/2015,6.734,1
09:00:00 20/10/2015,6.736,1
09:00:00 21/10/2015,6.756,1
09:00:00 22/10/2015,6.768,1
09:00:00 23/10/2015,6.751,1
09:00:00 24/10/2015,6.748,1
09:00:00 25/10/2015,6.748,1
09:00:00 26/10/2015,6.772,1
09:00:00 27/10/2015,6.761,1
09:00:00 28/10/2015,6.754,1
09:00:00 29/10/2015,6.759,1
09:00:00 30/10/2015,6.756,1
09:00:00 31/10/2015,6.743,1
09:00:00 01/11/2015,6.744,1
09:00:00 02/11/2015,6.757,1
09:00:00 03/11/2015,6.766,1
09:00:00 04/11/2015,6.765,1
09:00:00 05/11/2015,6.786,1
09:00:00 06/11/2015,6.774,1
09:00:00 07/11/2015,6.744,1
09:00:00 08/11/2015,6.719,1
09:00:00 09/11/2015,6.694,1
09:00:00 10/11/2015,6.662,1
09:00:00 11/11/2015,6.605,1
09:00:00 12/11/2015,6.56,1
09:00:00 13/11/2015,6.546,1
09:00:00 14/11/2015,6.52,1
09:00:00 15/11/2015,6.498,1
09:00:00 16/11/2015,6.491,1
09:00:00 17/11/2015,6.485,1
09:00:00 18/11/2015,6.473,1
09:00:00 19/11/2015,6.455,1
09:00:00 20/11/2015,6.435,1
09:00:00 21/11/2015,6.417,1
09:00:00 22/11/2015,6.384,1
09:00:00 23/11/2015,6.366,1
09:00:00 24/11/2015,6.341,1
09:00:00 25/11/2015,6.31,1
09:00:00 26/11/2015,6.337,1
09:00:00 27/11/2015,6.29,1
09:00:00 28/11/2015,6.245,1
09:00:00 29/11/2015,6.23,1
09:00:00 30/11/2015,6.219,1
09:00:00 01/12/2015,6.226,1
09:00:00 02/12/2015,6.212,1
09:00:00 03/12/2015,6.189,1
09:00:00 04/12/2015,6.191,1
09:00:00 05/12/2015,6.209,1
09:00:00 06/12/2015,6.217,1
09:00:00 07/12/2015,6.221,1
09:00:00 08/12/2015,6.241,1
09:00:00 09/12/2015,6.246,1
09:00:00 10/12/2015,6.217,1
09:00:00 11/12/2015,6.221,1
09:00:00 12/12/2015,6.222,1
09:00:00 13/12/2015,6.203,1
09:00:00 14/12/2015,6.215,1
09:00:00 15/12/2015,6.215,1
09:00:00 16/12/2015,6.22,1
09:00:00 17/12/2015,6.219,1
09:00:00 18/12/2015,6.222,1
09:00:00 19/12/2015,6.231,1
09:00:00 20/12/2015,6.227,1
09:00:00 21/12/2015,6.235,1
09:00:00 22/12/2015,6.205,1
09:00:00 23/12/2015,6.198,1
09:00:00 24/12/2015,6.208,1
09:00:00 25/12/2015,6.214,1
09:00:00 26/12/2015,6.237,1
09:00:00 27/12/2015,6.241,1
09:00:00 28/12/2015,6.215,1
09:00:00 29/12/2015,6.214,1
09:00:00 30/12/2015,6.212,1
09:00:00 31/12/2015,6.218,1
09:00:00 01/01/2016,6.229,1
09:00:00 02/01/2016,6.244,1
09:00:00 03/01/2016,6.239,1
09:00:00 04/01/2016,6.23,1
09:00:00 05/01/2016,6.227,1
09:00:00 06/01/2016,6.241,1
09:00:00 07/01/2016,6.257,1
09:00:00 08/01/2016,6.243,1
09:00:00 09/01/2016,6.228,1
09:00:00 10/01/2016,6.226,1
09:00:00 11/01/2016,6.227,1
09:00:00 12/01/2016,6.229,1
09:00:00 13/01/2016,6.225,1
09:00:00 14/01/2016,6.244,1
09:00:00 15/01/2016,6.244,1
09:00:00 16/01/2016,6.225,1
09:00:00 17/01/2016,6.231,1
09:00:00 18/01/2016,6.24,1
09:00:00 19/01/2016,6.257,1
09:00:00 20/01/2016,6.256,1
09:00:00 21/01/2016,6.263,1
09:00:00 22/01/2016,6.244,1
09:00:00 23/01/2016,6.266,1
09:00:00 24/01/2016,6.28,1
09:00:00 25/01/2016,6.278,1
09:00:00 26/01/2016,6.275,1
09:00:00 27/01/2016,6.269,1
09:00:00 28/01/2016,6.276,1
09:00:00 29/01/2016,6.284,1
09:00:00 30/01/2016,6.277,1
09:00:00 31/01/2016,6.292,1
09:00:00 01/02/2016,6.305,1
09:00:00 02/02/2016,6.293,1
09:00:00 03/02/2016,6.349,1
09:00:00 04/02/2016,6.324,1
09:00:00 05/02/2016,6.297,1
09:00:00 06/02/2016,6.273,1
09:00:00 07/02/2016,6.259,1
09:00:00 08/02/2016,6.259,1
09:00:00 09/02/2016,6.255,1
09:00:00 10/02/2016,6.251,1
09:00:00 11/02/2016,6.271,1
09:00:00 12/02/2016,6.29,1
09:00:00 13/02/2016,6.315,1
09:00:00 14/02/2016,6.33,1
09:00:00 15/02/2016,6.318,1
09:00:00 16/02/2016,6.298,1
09:00:00 17/02/2016,6.288,1
09:00:00 18/02/2016,6.284,1
09:00:00 19/02/2016,6.289,1
09:00:00 20/02/2016,6.299,1
09:00:00 21/02/2016,6.291,1
09:00:00 22/02/2016,6.289,1
09:00:00 23/02/2016,6.295,1
09:00:00 24/02/2016,6.308,1
09:00:00 25/02/2016,6.304,1
09:00:00 26/02/2016,6.317,1
09:00:00 27/02/2016,6.308,1
09:00:00 28/02/2016,6.302,1
09:00:00 29/02/2016,6.302,1
09:00:00 01/03/2016,6.298,1
09:00:00 02/03/2016,6.287,1
09:00:00 03/03/2016,6.289,1
09:00:00 04/03/2016,6.269,1
09:00:00 05/03/2016,6.256,1
09:00:00 06/03/2016,6.249,1
09:00:00 07/03/2016,6.251,1
09:00:00 08/03/2016,6.24,1
09:00:00 09/03/2016,6.236,1
09:00:00 10/03/2016,6.246,1
09:00:00 11/03/2016,6.243,1
09:00:00 12/03/2016,6.246,1
09:00:00 13/03/2016,6.243,1
09:00:00 14/03/2016,6.234,1
09:00:00 15/03/2016,6.239,1
