"Time","A4261091","X"
"and","Discharge (Ml/day)",""
"Date","Mean","Qual"
09:00:00 02/06/2015,2583.9,1
09:00:00 03/06/2015,2518.4,1
09:00:00 04/06/2015,2489.5,1
09:00:00 05/06/2015,2501.1,1
09:00:00 06/06/2015,2589.5,1
09:00:00 07/06/2015,2641.8,1
09:00:00 08/06/2015,2761.3,1
09:00:00 09/06/2015,2803,1
09:00:00 10/06/2015,2810.7,1
09:00:00 11/06/2015,2536.6,1
09:00:00 12/06/2015,2485,1
09:00:00 13/06/2015,2716.2,1
09:00:00 14/06/2015,2817.3,1
09:00:00 15/06/2015,2824.2,1
09:00:00 16/06/2015,2912.8,1
09:00:00 17/06/2015,2817,1
09:00:00 18/06/2015,2671.1,1
09:00:00 19/06/2015,2729,1
09:00:00 20/06/2015,2735.7,1
09:00:00 21/06/2015,2726.1,1
09:00:00 22/06/2015,2735,1
09:00:00 23/06/2015,2716.9,1
09:00:00 24/06/2015,2772.2,1
09:00:00 25/06/2015,2794.2,1
09:00:00 26/06/2015,2766.4,1
09:00:00 27/06/2015,2779.5,1
09:00:00 28/06/2015,2821.3,1
09:00:00 29/06/2015,2835.6,1
09:00:00 30/06/2015,2806.2,1
09:00:00 01/07/2015,2718.8,1
09:00:00 02/07/2015,2820.9,1
09:00:00 03/07/2015,2925.6,1
09:00:00 04/07/2015,2799,1
09:00:00 05/07/2015,2822,1
09:00:00 06/07/2015,2954.2,1
09:00:00 07/07/2015,3002.3,1
09:00:00 08/07/2015,3095.4,1
09:00:00 09/07/2015,3192.6,1
09:00:00 10/07/2015,3168.6,1
09:00:00 11/07/2015,3165.3,1
09:00:00 12/07/2015,3136.9,1
09:00:00 13/07/2015,3198.3,1
09:00:00 14/07/2015,3189.2,1
09:00:00 15/07/2015,3175.5,1
09:00:00 16/07/2015,3078.2,1
09:00:00 17/07/2015,2993.7,1
09:00:00 18/07/2015,2828.6,1
09:00:00 19/07/2015,2733.4,1
09:00:00 20/07/2015,2757.3,1
09:00:00 21/07/2015,2802.9,1
09:00:00 22/07/2015,2839.4,1
09:00:00 23/07/2015,2753.6,1
09:00:00 24/07/2015,2564.7,1
09:00:00 25/07/2015,2566.4,1
09:00:00 26/07/2015,2682.6,1
09:00:00 27/07/2015,2715.2,1
09:00:00 28/07/2015,2720.1,1
09:00:00 29/07/2015,2687,1
09:00:00 30/07/2015,2670.8,1
09:00:00 31/07/2015,2787.5,1
09:00:00 01/08/2015,2742.3,1
09:00:00 02/08/2015,2754.1,1
09:00:00 03/08/2015,2708.4,1
09:00:00 04/08/2015,2698.4,1
09:00:00 05/08/2015,2645.7,1
09:00:00 06/08/2015,2715.5,1
09:00:00 07/08/2015,2892.4,1
09:00:00 08/08/2015,2960.5,1
09:00:00 09/08/2015,2862.2,1
09:00:00 10/08/2015,2781.3,1
09:00:00 11/08/2015,2845.7,1
09:00:00 12/08/2015,2736.1,1
09:00:00 13/08/2015,2873.6,1
09:00:00 14/08/2015,2929.6,1
09:00:00 15/08/2015,2968.6,1
09:00:00 16/08/2015,2951.6,1
09:00:00 17/08/2015,2949.8,1
09:00:00 18/08/2015,2961.5,1
09:00:00 19/08/2015,3003.4,1
09:00:00 20/08/2015,2945.4,1
09:00:00 21/08/2015,2987.9,1
09:00:00 22/08/2015,3016.3,1
09:00:00 23/08/2015,2969.9,1
09:00:00 24/08/2015,2956,1
09:00:00 25/08/2015,2965.3,1
09:00:00 26/08/2015,2948.9,1
09:00:00 27/08/2015,2934.9,1
09:00:00 28/08/2015,2972.4,1
09:00:00 29/08/2015,3079.5,1
09:00:00 30/08/2015,3185,1
09:00:00 31/08/2015,3187.7,1
09:00:00 01/09/2015,3060.1,1
09:00:00 02/09/2015,3100.9,1
09:00:00 03/09/2015,3231.9,1
09:00:00 04/09/2015,3243.3,1
09:00:00 05/09/2015,3245.3,1
09:00:00 06/09/2015,3174.4,1
09:00:00 07/09/2015,3069.9,1
09:00:00 08/09/2015,3068.4,1
09:00:00 09/09/2015,3072.1,1
09:00:00 10/09/2015,3141.7,1
09:00:00 11/09/2015,3048.2,1
09:00:00 12/09/2015,2978.6,1
09:00:00 13/09/2015,3009.1,1
09:00:00 14/09/2015,3064.5,1
09:00:00 15/09/2015,2970.8,1
09:00:00 16/09/2015,3058.2,1
09:00:00 17/09/2015,3158.9,1
09:00:00 18/09/2015,3250.2,1
09:00:00 19/09/2015,3361.7,1
09:00:00 20/09/2015,3420.7,1
09:00:00 21/09/2015,3468,1
09:00:00 22/09/2015,3451.6,1
09:00:00 23/09/2015,3233.2,1
09:00:00 24/09/2015,3375.9,1
09:00:00 25/09/2015,3386,1
09:00:00 26/09/2015,3332.4,1
09:00:00 27/09/2015,3337.2,1
09:00:00 28/09/2015,3315.4,1
09:00:00 29/09/2015,3305.6,1
09:00:00 30/09/2015,3265.9,1
09:00:00 01/10/2015,3260.4,1
09:00:00 02/10/2015,3407,1
09:00:00 03/10/2015,3541,1
09:00:00 04/10/2015,3675.2,1
09:00:00 05/10/2015,3634.9,1
09:00:00 06/10/2015,3558.7,1
09:00:00 07/10/2015,3556.8,1
09:00:00 08/10/2015,3807.2,1
09:00:00 09/10/2015,3746.4,1
09:00:00 10/10/2015,3360.7,1
09:00:00 11/10/2015,3798.9,1
09:00:00 12/10/2015,3840.4,1
09:00:00 13/10/2015,3556.4,1
09:00:00 14/10/2015,3802.3,1
09:00:00 15/10/2015,3588.5,1
09:00:00 16/10/2015,4007.1,1
09:00:00 17/10/2015,4267.4,1
09:00:00 18/10/2015,4218,1
09:00:00 19/10/2015,3998.9,1
09:00:00 20/10/2015,3876.2,1
09:00:00 21/10/2015,4009.7,1
09:00:00 22/10/2015,4438,1
09:00:00 23/10/2015,4499.5,1
09:00:00 24/10/2015,4503,1
09:00:00 25/10/2015,4508.3,1
09:00:00 26/10/2015,4639.5,1
09:00:00 27/10/2015,4756.9,1
09:00:00 28/10/2015,4607.2,1
09:00:00 29/10/2015,4846.2,1
09:00:00 30/10/2015,5042.8,1
09:00:00 31/10/2015,4819.1,1
09:00:00 01/11/2015,4715,1
09:00:00 02/11/2015,4627.2,1
09:00:00 03/11/2015,4643.4,1
09:00:00 04/11/2015,4610.3,1
09:00:00 05/11/2015,4529.8,1
09:00:00 06/11/2015,4380.1,1
09:00:00 07/11/2015,4396.7,1
09:00:00 08/11/2015,4324.6,1
09:00:00 09/11/2015,4214.6,1
09:00:00 10/11/2015,4026.4,1
09:00:00 11/11/2015,4126.3,1
09:00:00 12/11/2015,4395.5,1
09:00:00 13/11/2015,4424,1
09:00:00 14/11/2015,4548.3,1
09:00:00 15/11/2015,4536.6,1
09:00:00 16/11/2015,4414.9,1
09:00:00 17/11/2015,4605.3,1
09:00:00 18/11/2015,4472,1
09:00:00 19/11/2015,4435,1
09:00:00 20/11/2015,4338.4,1
09:00:00 21/11/2015,4521.7,1
09:00:00 22/11/2015,4332.3,1
09:00:00 23/11/2015,4203.2,1
09:00:00 24/11/2015,4233.4,1
09:00:00 25/11/2015,4140,1
09:00:00 26/11/2015,4215.9,1
09:00:00 27/11/2015,4314.5,1
09:00:00 28/11/2015,4166.5,1
09:00:00 29/11/2015,4092,1
09:00:00 30/11/2015,4115.1,1
09:00:00 01/12/2015,4125.8,1
09:00:00 02/12/2015,4222.4,1
09:00:00 03/12/2015,4086.6,1
09:00:00 04/12/2015,4218.2,1
09:00:00 05/12/2015,4367.1,1
09:00:00 06/12/2015,4115.1,1
09:00:00 07/12/2015,4077.2,1
09:00:00 08/12/2015,4172.5,1
09:00:00 09/12/2015,4187.6,1
09:00:00 10/12/2015,4235.1,1
09:00:00 11/12/2015,4310.2,1
09:00:00 12/12/2015,4299.2,1
09:00:00 13/12/2015,4185.2,1
09:00:00 14/12/2015,4212.9,1
09:00:00 15/12/2015,4281.6,1
09:00:00 16/12/2015,4415.4,1
09:00:00 17/12/2015,4328.3,1
09:00:00 18/12/2015,3999.2,1
09:00:00 19/12/2015,3931.4,1
09:00:00 20/12/2015,3918.6,1
09:00:00 21/12/2015,3967.8,1
09:00:00 22/12/2015,4002.7,1
09:00:00 23/12/2015,3932.9,1
09:00:00 24/12/2015,3975.6,1
09:00:00 25/12/2015,3867.3,1
09:00:00 26/12/2015,3831.4,1
09:00:00 27/12/2015,3911.6,1
09:00:00 28/12/2015,3908.6,1
09:00:00 29/12/2015,3958.9,1
09:00:00 30/12/2015,3947.4,1
09:00:00 31/12/2015,3947.9,1
09:00:00 01/01/2016,3938,1
09:00:00 02/01/2016,3961.3,1
09:00:00 03/01/2016,3983.9,1
09:00:00 04/01/2016,3977,1
09:00:00 05/01/2016,4037,1
09:00:00 06/01/2016,3859.5,1
09:00:00 07/01/2016,3883.3,1
09:00:00 08/01/2016,3918.5,1
09:00:00 09/01/2016,3854.9,1
09:00:00 10/01/2016,3843.2,1
09:00:00 11/01/2016,3888.5,1
09:00:00 12/01/2016,3900.7,1
09:00:00 13/01/2016,3992.4,1
09:00:00 14/01/2016,3877.3,1
09:00:00 15/01/2016,3953.7,1
09:00:00 16/01/2016,3876.4,1
09:00:00 17/01/2016,3992.6,1
09:00:00 18/01/2016,4012.2,1
09:00:00 19/01/2016,3990.4,1
09:00:00 20/01/2016,3912.1,1
09:00:00 21/01/2016,3942.2,1
09:00:00 22/01/2016,3977.3,1
09:00:00 23/01/2016,4129.2,1
09:00:00 24/01/2016,4080.5,1
09:00:00 25/01/2016,3981.3,1
09:00:00 26/01/2016,3933.2,1
09:00:00 27/01/2016,3951.4,1
09:00:00 28/01/2016,3961.2,1
09:00:00 29/01/2016,4000.4,1
09:00:00 30/01/2016,4033.7,1
09:00:00 31/01/2016,4120.5,1
09:00:00 01/02/2016,4010,1
09:00:00 02/02/2016,3943.1,1
09:00:00 03/02/2016,3732.8,1
09:00:00 04/02/2016,3839.3,1
09:00:00 05/02/2016,3779.2,1
09:00:00 06/02/2016,3756.1,1
09:00:00 07/02/2016,3827.8,1
09:00:00 08/02/2016,3881.1,1
09:00:00 09/02/2016,3834.2,1
09:00:00 10/02/2016,3831.3,1
09:00:00 11/02/2016,3966.3,1
09:00:00 12/02/2016,3950.3,1
09:00:00 13/02/2016,3870.1,1
09:00:00 14/02/2016,3803.7,1
09:00:00 15/02/2016,3827.6,1
09:00:00 16/02/2016,3802.5,1
09:00:00 17/02/2016,3850,1
09:00:00 18/02/2016,3894.1,1
09:00:00 19/02/2016,3858.7,1
09:00:00 20/02/2016,3838,1
09:00:00 21/02/2016,3814.5,1
09:00:00 22/02/2016,3837.4,1
09:00:00 23/02/2016,3888.4,1
09:00:00 24/02/2016,3897.4,1
09:00:00 25/02/2016,3932,1
