"Time","A4260518",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/07/2014,       6.332,      1
09:00:00 02/07/2014,       6.325,      1
09:00:00 03/07/2014,       6.317,      1
09:00:00 04/07/2014,       6.308,      1
09:00:00 05/07/2014,       6.304,      1
09:00:00 06/07/2014,       6.310,      1
09:00:00 07/07/2014,       6.322,      1
09:00:00 08/07/2014,       6.329,      1
09:00:00 09/07/2014,       6.339,      1
09:00:00 10/07/2014,       6.356,      1
09:00:00 11/07/2014,       6.358,      1
09:00:00 12/07/2014,       6.346,      1
09:00:00 13/07/2014,       6.349,      1
09:00:00 14/07/2014,       6.348,      1
09:00:00 15/07/2014,       6.357,      1
09:00:00 16/07/2014,       6.303,      1
09:00:00 17/07/2014,       6.264,      1
09:00:00 18/07/2014,       6.254,      1
09:00:00 19/07/2014,       6.240,      1
09:00:00 20/07/2014,       6.213,      1
09:00:00 21/07/2014,       6.198,      1
09:00:00 22/07/2014,       6.193,      1
09:00:00 23/07/2014,       6.179,      1
09:00:00 24/07/2014,       6.161,      1
09:00:00 25/07/2014,       6.134,      1
09:00:00 26/07/2014,       6.120,      1
09:00:00 27/07/2014,       6.130,      1
09:00:00 28/07/2014,       6.155,      1
09:00:00 29/07/2014,       6.156,      1
09:00:00 30/07/2014,       6.156,      1
09:00:00 31/07/2014,       6.152,      1
09:00:00 01/08/2014,       6.130,      1
09:00:00 02/08/2014,       6.142,      1
09:00:00 03/08/2014,       6.137,      1
09:00:00 04/08/2014,       6.132,      1
09:00:00 05/08/2014,       6.131,      1
09:00:00 06/08/2014,       6.130,      1
09:00:00 07/08/2014,       6.151,      1
09:00:00 08/08/2014,       6.187,      1
09:00:00 09/08/2014,       6.222,      1
09:00:00 10/08/2014,       6.226,      1
09:00:00 11/08/2014,       6.220,      1
09:00:00 12/08/2014,       6.231,      1
09:00:00 13/08/2014,       6.257,      1
09:00:00 14/08/2014,       6.282,      1
09:00:00 15/08/2014,       6.314,      1
09:00:00 16/08/2014,       6.345,      1
09:00:00 17/08/2014,       6.367,      1
09:00:00 18/08/2014,       6.368,      1
09:00:00 19/08/2014,       6.393,      1
09:00:00 20/08/2014,       6.400,      1
09:00:00 21/08/2014,       6.412,      1
09:00:00 22/08/2014,       6.407,      1
09:00:00 23/08/2014,       6.428,      1
09:00:00 24/08/2014,       6.421,      1
09:00:00 25/08/2014,       6.420,      1
09:00:00 26/08/2014,       6.410,      1
09:00:00 27/08/2014,       6.399,      1
09:00:00 28/08/2014,       6.393,      1
09:00:00 29/08/2014,       6.401,      1
09:00:00 30/08/2014,       6.412,      1
09:00:00 31/08/2014,       6.406,      1
09:00:00 01/09/2014,       6.402,      1
09:00:00 02/09/2014,       6.420,      1
09:00:00 03/09/2014,       6.406,      1
09:00:00 04/09/2014,       6.401,      1
09:00:00 05/09/2014,       6.418,      1
09:00:00 06/09/2014,       6.426,      1
09:00:00 07/09/2014,       6.425,      1
09:00:00 08/09/2014,       6.422,      1
09:00:00 09/09/2014,       6.411,      1
09:00:00 10/09/2014,       6.406,      1
09:00:00 11/09/2014,       6.402,      1
09:00:00 12/09/2014,       6.385,      1
09:00:00 13/09/2014,       6.383,      1
09:00:00 14/09/2014,       6.396,      1
09:00:00 15/09/2014,       6.411,      1
09:00:00 16/09/2014,       6.396,      1
09:00:00 17/09/2014,       6.400,      1
09:00:00 18/09/2014,       6.397,      1
09:00:00 19/09/2014,       6.401,      1
09:00:00 20/09/2014,       6.402,      1
09:00:00 21/09/2014,       6.399,      1
09:00:00 22/09/2014,       6.398,      1
09:00:00 23/09/2014,       6.395,      1
09:00:00 24/09/2014,       6.392,      1
09:00:00 25/09/2014,       6.411,      1
09:00:00 26/09/2014,       6.426,      1
09:00:00 27/09/2014,       6.424,      1
09:00:00 28/09/2014,       6.424,      1
09:00:00 29/09/2014,       6.400,      1
09:00:00 30/09/2014,       6.409,      1
09:00:00 01/10/2014,       6.385,      1
09:00:00 02/10/2014,       6.389,      1
09:00:00 03/10/2014,       6.385,      1
09:00:00 04/10/2014,       6.390,      1
09:00:00 05/10/2014,       6.394,      1
09:00:00 06/10/2014,       6.409,      1
09:00:00 07/10/2014,       6.395,      1
09:00:00 08/10/2014,       6.421,      1
09:00:00 09/10/2014,       6.426,      1
09:00:00 10/10/2014,       6.428,      1
09:00:00 11/10/2014,       6.430,      1
09:00:00 12/10/2014,       6.429,      1
09:00:00 13/10/2014,       6.420,      1
09:00:00 14/10/2014,       6.420,      1
09:00:00 15/10/2014,       6.423,      1
09:00:00 16/10/2014,       6.433,      1
09:00:00 17/10/2014,       6.464,      1
09:00:00 18/10/2014,       6.501,      1
09:00:00 19/10/2014,       6.508,      1
09:00:00 20/10/2014,       6.500,      1
09:00:00 21/10/2014,       6.507,      1
09:00:00 22/10/2014,       6.509,      1
09:00:00 23/10/2014,       6.501,      1
09:00:00 24/10/2014,       6.502,      1
09:00:00 25/10/2014,       6.501,      1
09:00:00 26/10/2014,       6.503,      1
09:00:00 27/10/2014,       6.500,      1
09:00:00 28/10/2014,       6.507,      1
09:00:00 29/10/2014,       6.519,      1
09:00:00 30/10/2014,       6.536,      1
09:00:00 31/10/2014,       6.555,      1
09:00:00 01/11/2014,       6.569,      1
09:00:00 02/11/2014,       6.597,      1
09:00:00 03/11/2014,       6.609,      1
09:00:00 04/11/2014,       6.614,      1
09:00:00 05/11/2014,       6.615,      1
09:00:00 06/11/2014,       6.615,      1
09:00:00 07/11/2014,       6.612,      1
09:00:00 08/11/2014,       6.609,      1
09:00:00 09/11/2014,       6.609,      1
09:00:00 10/11/2014,       6.604,      1
09:00:00 11/11/2014,       6.602,      1
09:00:00 12/11/2014,       6.605,      1
09:00:00 13/11/2014,       6.609,      1
09:00:00 14/11/2014,       6.598,      1
09:00:00 15/11/2014,       6.580,      1
09:00:00 16/11/2014,       6.562,      1
09:00:00 17/11/2014,       6.563,      1
09:00:00 18/11/2014,       6.551,      1
09:00:00 19/11/2014,       6.530,      1
09:00:00 20/11/2014,       6.505,      1
09:00:00 21/11/2014,       6.489,      1
09:00:00 22/11/2014,       6.466,      1
09:00:00 23/11/2014,       6.445,      1
09:00:00 24/11/2014,       6.429,      1
09:00:00 25/11/2014,       6.407,      1
09:00:00 26/11/2014,       6.377,      1
09:00:00 27/11/2014,       6.348,      1
09:00:00 28/11/2014,       6.323,      1
09:00:00 29/11/2014,       6.295,      1
09:00:00 30/11/2014,       6.278,      1
09:00:00 01/12/2014,       6.261,      1
09:00:00 02/12/2014,       6.258,      1
09:00:00 03/12/2014,       6.247,      1
09:00:00 04/12/2014,       6.216,      1
09:00:00 05/12/2014,       6.191,      1
09:00:00 06/12/2014,       6.177,      1
09:00:00 07/12/2014,       6.167,      1
09:00:00 08/12/2014,       6.164,      1
09:00:00 09/12/2014,       6.166,      1
09:00:00 10/12/2014,       6.158,      1
09:00:00 11/12/2014,       6.165,      1
09:00:00 12/12/2014,       6.173,      1
09:00:00 13/12/2014,       6.156,      1
09:00:00 14/12/2014,       6.138,      1
09:00:00 15/12/2014,       6.129,      1
09:00:00 16/12/2014,       6.128,      1
09:00:00 17/12/2014,       6.122,      1
09:00:00 18/12/2014,       6.126,      1
09:00:00 19/12/2014,       6.123,      1
09:00:00 20/12/2014,       6.135,      1
09:00:00 21/12/2014,       6.139,      1
09:00:00 22/12/2014,       6.138,      1
09:00:00 23/12/2014,       6.144,      1
09:00:00 24/12/2014,       6.155,      1
09:00:00 25/12/2014,       6.156,      1
09:00:00 26/12/2014,       6.155,      1
09:00:00 27/12/2014,       6.162,      1
09:00:00 28/12/2014,       6.157,      1
09:00:00 29/12/2014,       6.152,      1
09:00:00 30/12/2014,       6.143,      1
09:00:00 31/12/2014,       6.155,      1
09:00:00 01/01/2015,       6.156,      1
09:00:00 02/01/2015,       6.150,      1
09:00:00 03/01/2015,       6.138,      1
09:00:00 04/01/2015,       6.130,      1
09:00:00 05/01/2015,       6.140,      1
09:00:00 06/01/2015,       6.138,      1
09:00:00 07/01/2015,       6.139,      1
09:00:00 08/01/2015,       6.140,      1
09:00:00 09/01/2015,       6.148,      1
09:00:00 10/01/2015,       6.161,      1
09:00:00 11/01/2015,       6.187,      1
09:00:00 12/01/2015,       6.196,      1
09:00:00 13/01/2015,       6.189,      1
09:00:00 14/01/2015,       6.153,      1
09:00:00 15/01/2015,       6.133,      1
09:00:00 16/01/2015,       6.119,      1
09:00:00 17/01/2015,       6.109,      1
09:00:00 18/01/2015,       6.102,      1
09:00:00 19/01/2015,       6.105,      1
09:00:00 20/01/2015,       6.108,      1
09:00:00 21/01/2015,       6.106,      1
09:00:00 22/01/2015,       6.115,      1
09:00:00 23/01/2015,       6.126,      1
09:00:00 24/01/2015,       6.127,      1
09:00:00 25/01/2015,       6.119,      1
09:00:00 26/01/2015,       6.120,      1
09:00:00 27/01/2015,       6.121,      1
09:00:00 28/01/2015,       6.125,      1
09:00:00 29/01/2015,       6.124,      1
09:00:00 30/01/2015,       6.123,      1
09:00:00 31/01/2015,       6.121,      1
09:00:00 01/02/2015,       6.105,      1
09:00:00 02/02/2015,       6.096,      1
09:00:00 03/02/2015,       6.111,      1
09:00:00 04/02/2015,       6.117,      1
09:00:00 05/02/2015,       6.125,      1
09:00:00 06/02/2015,       6.132,      1
09:00:00 07/02/2015,       6.132,      1
09:00:00 08/02/2015,       6.133,      1
09:00:00 09/02/2015,       6.131,      1
09:00:00 10/02/2015,       6.129,      1
09:00:00 11/02/2015,       6.128,      1
09:00:00 12/02/2015,       6.126,      1
09:00:00 13/02/2015,       6.125,      1
09:00:00 14/02/2015,       6.128,      1
09:00:00 15/02/2015,       6.124,      1
09:00:00 16/02/2015,       6.120,      1
09:00:00 17/02/2015,       6.126,      1
09:00:00 18/02/2015,       6.129,      1
09:00:00 19/02/2015,       6.132,      1
09:00:00 20/02/2015,       6.135,      1
09:00:00 21/02/2015,       6.138,      1
09:00:00 22/02/2015,       6.136,      1
09:00:00 23/02/2015,       6.134,      1
09:00:00 24/02/2015,       6.132,      1
09:00:00 25/02/2015,       6.128,      1
09:00:00 26/02/2015,       6.122,      1
09:00:00 27/02/2015,       6.134,      1
09:00:00 28/02/2015,       6.137,      1
09:00:00 01/03/2015,       6.127,      1
09:00:00 02/03/2015,       6.131,      1
09:00:00 03/03/2015,       6.134,      1
09:00:00 04/03/2015,       6.135,      1
09:00:00 05/03/2015,       6.130,      1
09:00:00 06/03/2015,       6.132,      1
09:00:00 07/03/2015,       6.127,      1
09:00:00 08/03/2015,       6.127,      1
09:00:00 09/03/2015,       6.125,      1
09:00:00 10/03/2015,       6.131,      1
09:00:00 11/03/2015,       6.133,      1
09:00:00 12/03/2015,       6.134,      1
09:00:00 13/03/2015,       6.133,      1
09:00:00 14/03/2015,       6.131,      1
09:00:00 15/03/2015,       6.126,      1
09:00:00 16/03/2015,       6.125,      1
09:00:00 17/03/2015,       6.122,      1
