"Time","A4261164",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 18/02/2016,       0.670,    132
09:00:00 19/02/2016,       0.649,    132
09:00:00 20/02/2016,       0.669,    132
09:00:00 21/02/2016,       0.656,    132
09:00:00 22/02/2016,       0.588,    132
09:00:00 23/02/2016,       0.613,    132
09:00:00 24/02/2016,       0.620,    132
09:00:00 25/02/2016,       0.612,    132
09:00:00 26/02/2016,       0.702,    132
09:00:00 27/02/2016,       0.669,    132
09:00:00 28/02/2016,       0.651,    132
09:00:00 29/02/2016,       0.659,    132
09:00:00 01/03/2016,       0.616,    132
09:00:00 02/03/2016,       0.586,    132
09:00:00 03/03/2016,       0.680,    132
09:00:00 04/03/2016,       0.671,    132
09:00:00 05/03/2016,       0.651,    132
09:00:00 06/03/2016,       0.631,    132
09:00:00 07/03/2016,       0.675,    132
09:00:00 08/03/2016,       0.659,    132
09:00:00 09/03/2016,       0.593,      1
09:00:00 10/03/2016,       0.594,      1
09:00:00 11/03/2016,       0.580,      1
09:00:00 12/03/2016,       0.600,      1
09:00:00 13/03/2016,       0.635,      1
09:00:00 14/03/2016,       0.630,      1
09:00:00 15/03/2016,       0.659,      1
09:00:00 16/03/2016,       0.597,      1
09:00:00 17/03/2016,       0.533,      1
09:00:00 18/03/2016,       0.572,      1
09:00:00 19/03/2016,       0.807,      1
09:00:00 20/03/2016,       0.579,      1
09:00:00 21/03/2016,       0.566,      1
09:00:00 22/03/2016,       0.554,      1
09:00:00 23/03/2016,       0.499,      1
09:00:00 24/03/2016,       0.592,      1
09:00:00 25/03/2016,       0.558,      1
09:00:00 26/03/2016,       0.584,      1
09:00:00 27/03/2016,       0.571,      1
09:00:00 28/03/2016,       0.563,      1
09:00:00 29/03/2016,       0.542,      1
09:00:00 30/03/2016,       0.574,      1
09:00:00 31/03/2016,       0.535,      1
09:00:00 01/04/2016,       0.510,      1
09:00:00 02/04/2016,       0.504,      1
09:00:00 03/04/2016,       0.600,      1
