"Time","A4260510",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,      19.260,      1
09:00:00 02/06/2015,      19.256,      1
09:00:00 03/06/2015,      19.245,      1
09:00:00 04/06/2015,      19.239,      1
09:00:00 05/06/2015,      19.252,      1
09:00:00 06/06/2015,      19.268,      1
09:00:00 07/06/2015,      19.292,      1
09:00:00 08/06/2015,      19.311,      1
09:00:00 09/06/2015,      19.308,      1
09:00:00 10/06/2015,      19.304,      1
09:00:00 11/06/2015,      19.315,      1
09:00:00 12/06/2015,      19.317,      1
09:00:00 13/06/2015,      19.303,      1
09:00:00 14/06/2015,      19.307,      1
09:00:00 15/06/2015,      19.309,      1
09:00:00 16/06/2015,      19.305,      1
09:00:00 17/06/2015,      19.278,      1
09:00:00 18/06/2015,      19.269,      1
09:00:00 19/06/2015,      19.292,      1
09:00:00 20/06/2015,      19.295,      1
09:00:00 21/06/2015,      19.293,      1
09:00:00 22/06/2015,      19.303,      1
09:00:00 23/06/2015,      19.310,      1
09:00:00 24/06/2015,      19.304,      1
09:00:00 25/06/2015,      19.298,      1
09:00:00 26/06/2015,      19.298,      1
09:00:00 27/06/2015,      19.311,      1
09:00:00 28/06/2015,      19.320,      1
09:00:00 29/06/2015,      19.315,      1
09:00:00 30/06/2015,      19.307,      1
09:00:00 01/07/2015,      19.284,      1
09:00:00 02/07/2015,      19.323,      1
09:00:00 03/07/2015,      19.307,      1
09:00:00 04/07/2015,      19.279,      1
09:00:00 05/07/2015,      19.307,      1
09:00:00 06/07/2015,      19.346,      1
09:00:00 07/07/2015,      19.328,      1
09:00:00 08/07/2015,      19.343,      1
09:00:00 09/07/2015,      19.357,      1
09:00:00 10/07/2015,      19.346,      1
09:00:00 11/07/2015,      19.337,      1
09:00:00 12/07/2015,      19.323,      1
09:00:00 13/07/2015,      19.326,      1
09:00:00 14/07/2015,      19.332,      1
09:00:00 15/07/2015,      19.324,      1
09:00:00 16/07/2015,      19.299,      1
09:00:00 17/07/2015,      19.278,      1
09:00:00 18/07/2015,      19.255,      1
09:00:00 19/07/2015,      19.252,      1
09:00:00 20/07/2015,      19.270,      1
09:00:00 21/07/2015,      19.288,      1
09:00:00 22/07/2015,      19.288,      1
09:00:00 23/07/2015,      19.245,      1
09:00:00 24/07/2015,      19.234,      1
09:00:00 25/07/2015,      19.266,      1
09:00:00 26/07/2015,      19.281,      1
09:00:00 27/07/2015,      19.260,      1
09:00:00 28/07/2015,      19.270,      1
09:00:00 29/07/2015,      19.258,      1
09:00:00 30/07/2015,      19.281,      1
09:00:00 31/07/2015,      19.293,      1
09:00:00 01/08/2015,      19.269,      1
09:00:00 02/08/2015,      19.271,      1
09:00:00 03/08/2015,      19.256,      1
09:00:00 04/08/2015,      19.245,      1
09:00:00 05/08/2015,      19.239,      1
09:00:00 06/08/2015,      19.266,      1
09:00:00 07/08/2015,      19.270,      1
09:00:00 08/08/2015,      19.248,      1
09:00:00 09/08/2015,      19.227,      1
09:00:00 10/08/2015,      19.224,      1
09:00:00 11/08/2015,      19.231,      1
09:00:00 12/08/2015,      19.202,      1
09:00:00 13/08/2015,      19.241,      1
09:00:00 14/08/2015,      19.253,      1
09:00:00 15/08/2015,      19.251,      1
09:00:00 16/08/2015,      19.254,      1
09:00:00 17/08/2015,      19.251,      1
09:00:00 18/08/2015,      19.246,      1
09:00:00 19/08/2015,      19.262,      1
09:00:00 20/08/2015,      19.259,      1
09:00:00 21/08/2015,      19.269,      1
09:00:00 22/08/2015,      19.260,      1
09:00:00 23/08/2015,      19.255,      1
09:00:00 24/08/2015,      19.262,      1
09:00:00 25/08/2015,      19.258,      1
09:00:00 26/08/2015,      19.261,      1
09:00:00 27/08/2015,      19.268,      1
09:00:00 28/08/2015,      19.269,      1
09:00:00 29/08/2015,      19.290,      1
09:00:00 30/08/2015,      19.306,      1
09:00:00 31/08/2015,      19.301,      1
09:00:00 01/09/2015,      19.277,      1
09:00:00 02/09/2015,      19.299,      1
09:00:00 03/09/2015,      19.296,      1
09:00:00 04/09/2015,      19.274,      1
09:00:00 05/09/2015,      19.293,      1
09:00:00 06/09/2015,      19.280,      1
09:00:00 07/09/2015,      19.251,      1
09:00:00 08/09/2015,      19.249,      1
09:00:00 09/09/2015,      19.261,      1
09:00:00 10/09/2015,      19.268,      1
09:00:00 11/09/2015,      19.255,      1
09:00:00 12/09/2015,      19.237,      1
09:00:00 13/09/2015,      19.249,      1
09:00:00 14/09/2015,      19.258,      1
09:00:00 15/09/2015,      19.209,      1
09:00:00 16/09/2015,      19.241,      1
09:00:00 17/09/2015,      19.275,      1
09:00:00 18/09/2015,      19.274,      1
09:00:00 19/09/2015,      19.297,      1
09:00:00 20/09/2015,      19.307,      1
09:00:00 21/09/2015,      19.302,      1
09:00:00 22/09/2015,      19.277,      1
09:00:00 23/09/2015,      19.281,      1
09:00:00 24/09/2015,      19.293,      1
09:00:00 25/09/2015,      19.292,      1
09:00:00 26/09/2015,      19.276,      1
09:00:00 27/09/2015,      19.265,      1
09:00:00 28/09/2015,      19.258,      1
09:00:00 29/09/2015,      19.246,      1
09:00:00 30/09/2015,      19.246,      1
09:00:00 01/10/2015,      19.267,      1
09:00:00 02/10/2015,      19.280,      1
09:00:00 03/10/2015,      19.286,      1
09:00:00 04/10/2015,      19.278,      1
09:00:00 05/10/2015,      19.260,      1
09:00:00 06/10/2015,      19.261,      1
09:00:00 07/10/2015,      19.251,      1
09:00:00 08/10/2015,      19.263,      1
09:00:00 09/10/2015,      19.268,      1
09:00:00 10/10/2015,      19.266,      1
09:00:00 11/10/2015,      19.262,      1
09:00:00 12/10/2015,      19.245,      1
09:00:00 13/10/2015,      19.234,      1
09:00:00 14/10/2015,      19.244,      1
09:00:00 15/10/2015,      19.236,      1
09:00:00 16/10/2015,      19.235,      1
09:00:00 17/10/2015,      19.219,      1
09:00:00 18/10/2015,      19.212,      1
09:00:00 19/10/2015,      19.215,      1
09:00:00 20/10/2015,      19.199,      1
09:00:00 21/10/2015,      19.190,      1
09:00:00 22/10/2015,      19.218,      1
09:00:00 23/10/2015,      19.219,      1
09:00:00 24/10/2015,      19.231,      1
09:00:00 25/10/2015,      19.247,      1
09:00:00 26/10/2015,      19.243,      1
09:00:00 27/10/2015,      19.251,      1
09:00:00 28/10/2015,      19.255,      1
09:00:00 29/10/2015,      19.277,      1
09:00:00 30/10/2015,      19.316,      1
09:00:00 31/10/2015,      19.272,      1
09:00:00 01/11/2015,      19.249,      1
09:00:00 02/11/2015,      19.245,      1
09:00:00 03/11/2015,      19.249,      1
09:00:00 04/11/2015,      19.276,      1
09:00:00 05/11/2015,      19.272,      1
09:00:00 06/11/2015,      19.234,      1
09:00:00 07/11/2015,      19.244,      1
09:00:00 08/11/2015,      19.247,      1
09:00:00 09/11/2015,      19.238,      1
09:00:00 10/11/2015,      19.240,      1
09:00:00 11/11/2015,      19.278,      1
09:00:00 12/11/2015,      19.282,      1
09:00:00 13/11/2015,      19.292,      1
09:00:00 14/11/2015,      19.291,      1
09:00:00 15/11/2015,      19.279,      1
09:00:00 16/11/2015,      19.274,      1
09:00:00 17/11/2015,      19.269,      1
09:00:00 18/11/2015,      19.252,      1
09:00:00 19/11/2015,      19.247,      1
09:00:00 20/11/2015,      19.239,      1
09:00:00 21/11/2015,      19.235,      1
09:00:00 22/11/2015,      19.226,      1
09:00:00 23/11/2015,      19.232,      1
09:00:00 24/11/2015,      19.241,      1
09:00:00 25/11/2015,      19.245,      1
09:00:00 26/11/2015,      19.219,      1
09:00:00 27/11/2015,      19.220,      1
09:00:00 28/11/2015,      19.234,      1
09:00:00 29/11/2015,      19.258,      1
09:00:00 30/11/2015,      19.249,      1
09:00:00 01/12/2015,      19.236,      1
09:00:00 02/12/2015,      19.249,      1
09:00:00 03/12/2015,      19.252,      1
09:00:00 04/12/2015,      19.269,      1
09:00:00 05/12/2015,      19.260,      1
09:00:00 06/12/2015,      19.235,      1
09:00:00 07/12/2015,      19.230,      1
09:00:00 08/12/2015,      19.237,      1
09:00:00 09/12/2015,      19.246,      1
09:00:00 10/12/2015,      19.256,      1
09:00:00 11/12/2015,      19.267,      1
09:00:00 12/12/2015,      19.266,      1
09:00:00 13/12/2015,      19.261,      1
09:00:00 14/12/2015,      19.265,      1
09:00:00 15/12/2015,      19.273,      1
09:00:00 16/12/2015,      19.279,      1
09:00:00 17/12/2015,      19.266,      1
09:00:00 18/12/2015,      19.267,      1
09:00:00 19/12/2015,      19.262,      1
09:00:00 20/12/2015,      19.259,      1
09:00:00 21/12/2015,      19.263,      1
09:00:00 22/12/2015,      19.281,      1
09:00:00 23/12/2015,      19.275,      1
09:00:00 24/12/2015,      19.271,      1
09:00:00 25/12/2015,      19.260,      1
09:00:00 26/12/2015,      19.252,      1
09:00:00 27/12/2015,"",    201
09:00:00 28/12/2015,"",    201
09:00:00 29/12/2015,"",    201
09:00:00 30/12/2015,"",    201
09:00:00 31/12/2015,"",    201
09:00:00 01/01/2016,"",    201
09:00:00 02/01/2016,"",    201
09:00:00 03/01/2016,"",    201
09:00:00 04/01/2016,"",    201
09:00:00 05/01/2016,"",    201
09:00:00 06/01/2016,"",    201
09:00:00 07/01/2016,"",    201
09:00:00 08/01/2016,"",    201
09:00:00 09/01/2016,"",    201
09:00:00 10/01/2016,"",    201
09:00:00 11/01/2016,"",    201
09:00:00 12/01/2016,"",    201
09:00:00 13/01/2016,"",    201
09:00:00 14/01/2016,      19.291,      1
09:00:00 15/01/2016,      19.297,      1
09:00:00 16/01/2016,      19.296,      1
09:00:00 17/01/2016,      19.325,      1
09:00:00 18/01/2016,      19.322,      1
09:00:00 19/01/2016,      19.300,      1
09:00:00 20/01/2016,      19.291,      1
09:00:00 21/01/2016,      19.292,      1
09:00:00 22/01/2016,      19.314,      1
09:00:00 23/01/2016,      19.321,      1
09:00:00 24/01/2016,      19.303,      1
09:00:00 25/01/2016,      19.302,      1
09:00:00 26/01/2016,      19.299,      1
09:00:00 27/01/2016,      19.307,      1
09:00:00 28/01/2016,      19.309,      1
09:00:00 29/01/2016,      19.314,      1
09:00:00 30/01/2016,      19.328,      1
09:00:00 31/01/2016,      19.326,      1
09:00:00 01/02/2016,      19.311,      1
09:00:00 02/02/2016,      19.298,      1
09:00:00 03/02/2016,      19.264,      1
09:00:00 04/02/2016,      19.268,      1
09:00:00 05/02/2016,      19.266,      1
09:00:00 06/02/2016,      19.283,      1
09:00:00 07/02/2016,      19.296,      1
09:00:00 08/02/2016,      19.288,      1
09:00:00 09/02/2016,      19.271,      1
09:00:00 10/02/2016,      19.288,      1
09:00:00 11/02/2016,      19.292,      1
09:00:00 12/02/2016,      19.272,      1
09:00:00 13/02/2016,      19.249,      1
09:00:00 14/02/2016,      19.244,      1
09:00:00 15/02/2016,      19.245,      1
09:00:00 16/02/2016,      19.250,      1
09:00:00 17/02/2016,      19.252,      1
09:00:00 18/02/2016,      19.251,      1
