"Time","A4261163",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,       0.714,      1
09:00:00 02/06/2015,       0.665,      1
09:00:00 03/06/2015,       0.659,      1
09:00:00 04/06/2015,       0.626,      1
09:00:00 05/06/2015,       0.721,      1
09:00:00 06/06/2015,       0.683,      1
09:00:00 07/06/2015,       0.632,      1
09:00:00 08/06/2015,       0.647,      1
09:00:00 09/06/2015,       0.689,      1
09:00:00 10/06/2015,       0.718,      1
09:00:00 11/06/2015,       0.682,      1
09:00:00 12/06/2015,       0.680,      1
09:00:00 13/06/2015,       0.659,      1
09:00:00 14/06/2015,       0.658,      1
09:00:00 15/06/2015,       0.667,      1
09:00:00 16/06/2015,       0.686,      1
09:00:00 17/06/2015,       0.691,      1
09:00:00 18/06/2015,       0.721,      1
09:00:00 19/06/2015,       0.757,      1
09:00:00 20/06/2015,       0.702,      1
09:00:00 21/06/2015,       0.689,      1
09:00:00 22/06/2015,       0.596,      1
09:00:00 23/06/2015,       0.569,      1
09:00:00 24/06/2015,       0.687,      1
09:00:00 25/06/2015,       0.747,      1
09:00:00 26/06/2015,       0.705,      1
09:00:00 27/06/2015,       0.688,      1
09:00:00 28/06/2015,       0.694,      1
09:00:00 29/06/2015,       0.692,      1
09:00:00 30/06/2015,       0.703,      1
09:00:00 01/07/2015,       0.708,      1
09:00:00 02/07/2015,       0.701,      1
09:00:00 03/07/2015,       0.730,      1
09:00:00 04/07/2015,       0.701,      1
09:00:00 05/07/2015,       0.706,      1
09:00:00 06/07/2015,       0.704,      1
09:00:00 07/07/2015,       0.740,      1
09:00:00 08/07/2015,       0.739,      1
09:00:00 09/07/2015,       0.726,      1
09:00:00 10/07/2015,       0.705,      1
09:00:00 11/07/2015,       0.725,      1
09:00:00 12/07/2015,       0.953,      1
09:00:00 13/07/2015,       1.022,      1
09:00:00 14/07/2015,       0.859,      1
09:00:00 15/07/2015,       0.898,      1
09:00:00 16/07/2015,       0.877,      1
09:00:00 17/07/2015,       0.861,      1
09:00:00 18/07/2015,       0.863,      1
09:00:00 19/07/2015,       0.817,      1
09:00:00 20/07/2015,       0.802,      1
09:00:00 21/07/2015,       0.766,      1
09:00:00 22/07/2015,       0.722,      1
09:00:00 23/07/2015,       0.793,      1
09:00:00 24/07/2015,       0.764,      1
09:00:00 25/07/2015,       0.817,      1
09:00:00 26/07/2015,       0.820,      1
09:00:00 27/07/2015,       0.920,      1
09:00:00 28/07/2015,       0.823,      1
09:00:00 29/07/2015,       0.795,      1
09:00:00 30/07/2015,       0.742,      1
09:00:00 31/07/2015,       0.789,      1
09:00:00 01/08/2015,       0.762,      1
09:00:00 02/08/2015,       0.822,      1
09:00:00 03/08/2015,       0.873,      1
09:00:00 04/08/2015,       0.880,      1
09:00:00 05/08/2015,       0.858,      1
09:00:00 06/08/2015,       0.925,      1
09:00:00 07/08/2015,       0.853,      1
09:00:00 08/08/2015,       0.807,      1
09:00:00 09/08/2015,       0.752,      1
09:00:00 10/08/2015,       0.702,      1
09:00:00 11/08/2015,       0.805,      1
09:00:00 12/08/2015,       0.733,      1
09:00:00 13/08/2015,       0.893,      1
09:00:00 14/08/2015,       0.790,      1
09:00:00 15/08/2015,       0.788,      1
09:00:00 16/08/2015,       0.793,      1
09:00:00 17/08/2015,       0.804,      1
09:00:00 18/08/2015,       0.858,      1
09:00:00 19/08/2015,       0.780,      1
09:00:00 20/08/2015,       0.742,      1
09:00:00 21/08/2015,       0.721,      1
09:00:00 22/08/2015,       0.804,      1
09:00:00 23/08/2015,       0.812,      1
09:00:00 24/08/2015,       0.836,      1
09:00:00 25/08/2015,       0.901,      1
09:00:00 26/08/2015,       0.871,      1
09:00:00 27/08/2015,       0.831,      1
09:00:00 28/08/2015,       0.859,      1
09:00:00 29/08/2015,       0.822,      1
09:00:00 30/08/2015,       0.807,      1
09:00:00 31/08/2015,       0.794,      1
09:00:00 01/09/2015,       0.789,      1
09:00:00 02/09/2015,       0.762,      1
09:00:00 03/09/2015,       0.797,      1
09:00:00 04/09/2015,       0.919,      1
09:00:00 05/09/2015,       0.840,      1
09:00:00 06/09/2015,       0.810,      1
09:00:00 07/09/2015,       0.905,      1
09:00:00 08/09/2015,       0.910,      1
09:00:00 09/09/2015,       0.930,      1
09:00:00 10/09/2015,       0.875,      1
09:00:00 11/09/2015,       0.815,      1
09:00:00 12/09/2015,       0.798,      1
09:00:00 13/09/2015,       0.818,      1
09:00:00 14/09/2015,       0.773,      1
09:00:00 15/09/2015,       0.884,      1
09:00:00 16/09/2015,       0.849,      1
09:00:00 17/09/2015,       0.826,      1
09:00:00 18/09/2015,       0.880,      1
09:00:00 19/09/2015,       0.833,      1
09:00:00 20/09/2015,       0.813,      1
09:00:00 21/09/2015,       0.864,      1
09:00:00 22/09/2015,       0.977,      1
09:00:00 23/09/2015,       0.895,      1
09:00:00 24/09/2015,       0.888,      1
09:00:00 25/09/2015,       0.868,      1
09:00:00 26/09/2015,       0.862,      1
09:00:00 27/09/2015,       0.828,      1
09:00:00 28/09/2015,       0.840,      1
09:00:00 29/09/2015,       0.902,      1
09:00:00 30/09/2015,       0.874,      1
09:00:00 01/10/2015,       0.841,      1
09:00:00 02/10/2015,       0.878,      1
09:00:00 03/10/2015,       0.819,      1
09:00:00 04/10/2015,       0.820,      1
09:00:00 05/10/2015,       0.853,      1
09:00:00 06/10/2015,       0.790,      1
09:00:00 07/10/2015,       0.962,      1
09:00:00 08/10/2015,       0.873,      1
09:00:00 09/10/2015,       0.845,      1
09:00:00 10/10/2015,       0.843,      1
09:00:00 11/10/2015,       0.868,      1
09:00:00 12/10/2015,       0.938,      1
09:00:00 13/10/2015,       0.910,      1
09:00:00 14/10/2015,       0.889,      1
09:00:00 15/10/2015,       0.823,      1
09:00:00 16/10/2015,       0.852,      1
09:00:00 17/10/2015,       0.894,      1
09:00:00 18/10/2015,       0.916,      1
09:00:00 19/10/2015,       0.863,      1
09:00:00 20/10/2015,       0.838,      1
09:00:00 21/10/2015,       0.896,      1
09:00:00 22/10/2015,       0.989,      1
09:00:00 23/10/2015,       0.941,      1
09:00:00 24/10/2015,       0.880,      1
09:00:00 25/10/2015,       0.825,      1
09:00:00 26/10/2015,       0.980,      1
09:00:00 27/10/2015,       0.968,      1
09:00:00 28/10/2015,       0.896,      1
09:00:00 29/10/2015,       0.912,      1
09:00:00 30/10/2015,       0.903,      1
09:00:00 31/10/2015,       0.905,      1
09:00:00 01/11/2015,       0.906,      1
09:00:00 02/11/2015,       0.923,      1
09:00:00 03/11/2015,       0.902,      1
09:00:00 04/11/2015,       0.833,      1
09:00:00 05/11/2015,       0.875,      1
09:00:00 06/11/2015,       1.026,      1
09:00:00 07/11/2015,       0.985,      1
09:00:00 08/11/2015,       0.923,      1
09:00:00 09/11/2015,       0.896,      1
09:00:00 10/11/2015,       0.941,      1
09:00:00 11/11/2015,       0.982,      1
09:00:00 12/11/2015,       0.937,      1
09:00:00 13/11/2015,       1.018,      1
09:00:00 14/11/2015,       1.014,      1
09:00:00 15/11/2015,       0.965,      1
09:00:00 16/11/2015,       0.947,      1
09:00:00 17/11/2015,       0.875,      1
09:00:00 18/11/2015,       0.887,      1
09:00:00 19/11/2015,       0.878,      1
09:00:00 20/11/2015,       0.946,      1
09:00:00 21/11/2015,       0.981,      1
09:00:00 22/11/2015,       0.938,      1
09:00:00 23/11/2015,       0.918,      1
09:00:00 24/11/2015,       0.910,      1
09:00:00 25/11/2015,       0.835,      1
09:00:00 26/11/2015,       0.910,      1
09:00:00 27/11/2015,       0.999,      1
09:00:00 28/11/2015,       0.864,      1
09:00:00 29/11/2015,       0.851,      1
09:00:00 30/11/2015,       0.825,      1
09:00:00 01/12/2015,       0.861,      1
09:00:00 02/12/2015,       0.966,      1
09:00:00 03/12/2015,       0.843,      1
09:00:00 04/12/2015,       0.803,      1
09:00:00 05/12/2015,       0.797,      1
09:00:00 06/12/2015,       0.802,      1
09:00:00 07/12/2015,       0.812,      1
09:00:00 08/12/2015,       0.803,      1
09:00:00 09/12/2015,       0.879,      1
09:00:00 10/12/2015,       0.823,      1
09:00:00 11/12/2015,       0.834,      1
09:00:00 12/12/2015,       0.905,      1
09:00:00 13/12/2015,       0.775,      1
09:00:00 14/12/2015,       0.776,      1
09:00:00 15/12/2015,       0.803,      1
09:00:00 16/12/2015,       0.756,      1
09:00:00 17/12/2015,       0.776,      1
09:00:00 18/12/2015,       0.774,      1
09:00:00 19/12/2015,       0.814,      1
09:00:00 20/12/2015,       0.730,      1
09:00:00 21/12/2015,       0.885,      1
09:00:00 22/12/2015,       0.773,      1
09:00:00 23/12/2015,       0.795,      1
09:00:00 24/12/2015,       0.780,      1
09:00:00 25/12/2015,       0.695,      1
09:00:00 26/12/2015,       0.765,      1
09:00:00 27/12/2015,       0.864,      1
09:00:00 28/12/2015,       0.759,      1
09:00:00 29/12/2015,       0.743,      1
09:00:00 30/12/2015,       0.713,      1
09:00:00 31/12/2015,       0.662,      1
09:00:00 01/01/2016,       0.720,      1
09:00:00 02/01/2016,       0.832,      1
09:00:00 03/01/2016,       0.805,      1
09:00:00 04/01/2016,       0.780,      1
09:00:00 05/01/2016,       0.731,      1
09:00:00 06/01/2016,       0.719,      1
09:00:00 07/01/2016,       0.781,      1
09:00:00 08/01/2016,       0.754,      1
09:00:00 09/01/2016,       0.711,      1
09:00:00 10/01/2016,       0.689,      1
09:00:00 11/01/2016,       0.632,      1
09:00:00 12/01/2016,       0.681,      1
09:00:00 13/01/2016,       0.660,      1
09:00:00 14/01/2016,       0.713,      1
09:00:00 15/01/2016,       0.765,      1
09:00:00 16/01/2016,       0.699,      1
09:00:00 17/01/2016,       0.663,      1
09:00:00 18/01/2016,       0.625,      1
09:00:00 19/01/2016,       0.672,      1
09:00:00 20/01/2016,       0.591,      1
09:00:00 21/01/2016,       0.675,      1
09:00:00 22/01/2016,       0.616,      1
09:00:00 23/01/2016,       0.679,      1
09:00:00 24/01/2016,       0.699,      1
09:00:00 25/01/2016,       0.686,      1
09:00:00 26/01/2016,       0.693,      1
09:00:00 27/01/2016,       0.656,      1
09:00:00 28/01/2016,       0.717,      1
09:00:00 29/01/2016,       0.740,      1
09:00:00 30/01/2016,       0.633,      1
09:00:00 31/01/2016,       0.685,      1
09:00:00 01/02/2016,       0.702,      1
09:00:00 02/02/2016,       0.606,      1
09:00:00 03/02/2016,       0.689,      1
09:00:00 04/02/2016,       0.805,      1
09:00:00 05/02/2016,       0.784,      1
09:00:00 06/02/2016,       0.737,      1
09:00:00 07/02/2016,       0.724,      1
09:00:00 08/02/2016,       0.764,      1
09:00:00 09/02/2016,       0.744,      1
09:00:00 10/02/2016,       0.698,      1
09:00:00 11/02/2016,       0.725,      1
09:00:00 12/02/2016,       0.726,      1
09:00:00 13/02/2016,       0.670,      1
09:00:00 14/02/2016,       0.725,      1
09:00:00 15/02/2016,       0.703,      1
