"Time","A4260528",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/07/2014,       6.391,      1
09:00:00 02/07/2014,       6.371,      1
09:00:00 03/07/2014,       6.359,      1
09:00:00 04/07/2014,       6.358,      1
09:00:00 05/07/2014,       6.368,      1
09:00:00 06/07/2014,       6.367,      1
09:00:00 07/07/2014,       6.368,      1
09:00:00 08/07/2014,       6.377,      1
09:00:00 09/07/2014,       6.396,      1
09:00:00 10/07/2014,       6.445,      1
09:00:00 11/07/2014,       6.442,      1
09:00:00 12/07/2014,       6.430,      1
09:00:00 13/07/2014,       6.419,      1
09:00:00 14/07/2014,       6.407,      1
09:00:00 15/07/2014,       6.411,      1
09:00:00 16/07/2014,       6.394,      1
09:00:00 17/07/2014,       6.383,      1
09:00:00 18/07/2014,       6.378,      1
09:00:00 19/07/2014,       6.346,      1
09:00:00 20/07/2014,       6.307,      1
09:00:00 21/07/2014,       6.287,      1
09:00:00 22/07/2014,       6.280,      1
09:00:00 23/07/2014,       6.279,      1
09:00:00 24/07/2014,       6.276,      1
09:00:00 25/07/2014,       6.278,      1
09:00:00 26/07/2014,       6.281,      1
09:00:00 27/07/2014,       6.422,      1
09:00:00 28/07/2014,       6.515,      1
09:00:00 29/07/2014,       6.563,      1
09:00:00 30/07/2014,       6.595,      1
09:00:00 31/07/2014,       6.621,      1
09:00:00 01/08/2014,       6.641,      1
09:00:00 02/08/2014,       6.609,      1
09:00:00 03/08/2014,       6.586,      1
09:00:00 04/08/2014,       6.580,      1
09:00:00 05/08/2014,       6.580,      1
09:00:00 06/08/2014,       6.607,      1
09:00:00 07/08/2014,       6.662,      1
09:00:00 08/08/2014,       6.730,      1
09:00:00 09/08/2014,       6.771,      1
09:00:00 10/08/2014,       6.778,      1
09:00:00 11/08/2014,       6.767,      1
09:00:00 12/08/2014,       6.738,      1
09:00:00 13/08/2014,       6.755,      1
09:00:00 14/08/2014,       6.776,      1
09:00:00 15/08/2014,       6.789,      1
09:00:00 16/08/2014,       6.805,      1
09:00:00 17/08/2014,       6.840,      1
09:00:00 18/08/2014,       6.852,      1
09:00:00 19/08/2014,       6.854,      1
09:00:00 20/08/2014,       6.856,      1
09:00:00 21/08/2014,       6.805,      1
09:00:00 22/08/2014,       6.710,      1
09:00:00 23/08/2014,       6.698,      1
09:00:00 24/08/2014,       6.701,      1
09:00:00 25/08/2014,       6.687,      1
09:00:00 26/08/2014,       6.667,      1
09:00:00 27/08/2014,       6.648,      1
09:00:00 28/08/2014,       6.636,      1
09:00:00 29/08/2014,       6.596,      1
09:00:00 30/08/2014,       6.562,      1
09:00:00 31/08/2014,       6.553,      1
09:00:00 01/09/2014,       6.558,      1
09:00:00 02/09/2014,       6.559,      1
09:00:00 03/09/2014,       6.482,      1
09:00:00 04/09/2014,       6.466,      1
09:00:00 05/09/2014,       6.492,      1
09:00:00 06/09/2014,       6.508,      1
09:00:00 07/09/2014,       6.505,      1
09:00:00 08/09/2014,       6.500,      1
09:00:00 09/09/2014,       6.501,      1
09:00:00 10/09/2014,       6.520,      1
09:00:00 11/09/2014,       6.487,      1
09:00:00 12/09/2014,       6.449,      1
09:00:00 13/09/2014,       6.440,      1
09:00:00 14/09/2014,       6.464,      1
09:00:00 15/09/2014,       6.478,      1
09:00:00 16/09/2014,       6.518,      1
09:00:00 17/09/2014,       6.500,      1
09:00:00 18/09/2014,       6.492,      1
09:00:00 19/09/2014,       6.472,      1
09:00:00 20/09/2014,       6.468,      1
09:00:00 21/09/2014,       6.463,      1
09:00:00 22/09/2014,       6.464,      1
09:00:00 23/09/2014,       6.458,      1
09:00:00 24/09/2014,       6.458,      1
09:00:00 25/09/2014,       6.500,      1
09:00:00 26/09/2014,       6.515,      1
09:00:00 27/09/2014,       6.537,      1
09:00:00 28/09/2014,       6.537,      1
09:00:00 29/09/2014,       6.546,      1
09:00:00 30/09/2014,       6.521,      1
09:00:00 01/10/2014,       6.518,      1
09:00:00 02/10/2014,       6.458,      1
09:00:00 03/10/2014,       6.452,      1
09:00:00 04/10/2014,       6.458,      1
09:00:00 05/10/2014,       6.472,      1
09:00:00 06/10/2014,       6.476,      1
09:00:00 07/10/2014,       6.519,      1
09:00:00 08/10/2014,       6.513,      1
09:00:00 09/10/2014,       6.507,      1
09:00:00 10/10/2014,       6.507,      1
09:00:00 11/10/2014,       6.513,      1
09:00:00 12/10/2014,       6.509,      1
09:00:00 13/10/2014,       6.521,      1
09:00:00 14/10/2014,       6.501,      1
09:00:00 15/10/2014,       6.489,      1
09:00:00 16/10/2014,       6.493,      1
09:00:00 17/10/2014,       6.542,      1
09:00:00 18/10/2014,       6.619,      1
09:00:00 19/10/2014,       6.637,      1
09:00:00 20/10/2014,       6.635,      1
09:00:00 21/10/2014,       6.617,      1
09:00:00 22/10/2014,       6.608,      1
09:00:00 23/10/2014,       6.617,      1
09:00:00 24/10/2014,       6.606,      1
09:00:00 25/10/2014,       6.610,      1
09:00:00 26/10/2014,       6.618,      1
09:00:00 27/10/2014,       6.617,      1
09:00:00 28/10/2014,       6.641,      1
09:00:00 29/10/2014,       6.638,      1
09:00:00 30/10/2014,       6.640,      1
09:00:00 31/10/2014,       6.672,      1
09:00:00 01/11/2014,       6.731,      1
09:00:00 02/11/2014,       6.759,      1
09:00:00 03/11/2014,       6.752,      1
09:00:00 04/11/2014,       6.766,      1
09:00:00 05/11/2014,       6.786,      1
09:00:00 06/11/2014,       6.768,      1
09:00:00 07/11/2014,       6.760,      1
09:00:00 08/11/2014,       6.759,      1
09:00:00 09/11/2014,       6.774,      1
09:00:00 10/11/2014,       6.753,      1
09:00:00 11/11/2014,       6.737,      1
09:00:00 12/11/2014,       6.723,      1
09:00:00 13/11/2014,       6.728,      1
09:00:00 14/11/2014,       6.733,      1
09:00:00 15/11/2014,       6.725,      1
09:00:00 16/11/2014,       6.718,      1
09:00:00 17/11/2014,       6.718,      1
09:00:00 18/11/2014,       6.702,      1
09:00:00 19/11/2014,       6.686,      1
09:00:00 20/11/2014,       6.662,      1
09:00:00 21/11/2014,       6.661,      1
09:00:00 22/11/2014,       6.626,      1
09:00:00 23/11/2014,       6.594,      1
09:00:00 24/11/2014,       6.583,      1
09:00:00 25/11/2014,       6.584,      1
09:00:00 26/11/2014,       6.535,      1
09:00:00 27/11/2014,       6.505,      1
09:00:00 28/11/2014,       6.476,      1
09:00:00 29/11/2014,       6.443,      1
09:00:00 30/11/2014,       6.425,      1
09:00:00 01/12/2014,       6.428,      1
09:00:00 02/12/2014,       6.405,      1
09:00:00 03/12/2014,       6.359,      1
09:00:00 04/12/2014,       6.363,      1
09:00:00 05/12/2014,       6.340,      1
09:00:00 06/12/2014,       6.322,      1
09:00:00 07/12/2014,       6.315,      1
09:00:00 08/12/2014,       6.305,      1
09:00:00 09/12/2014,       6.301,      1
09:00:00 10/12/2014,       6.300,      1
09:00:00 11/12/2014,       6.301,      1
09:00:00 12/12/2014,       6.298,      1
09:00:00 13/12/2014,       6.273,      1
09:00:00 14/12/2014,       6.257,      1
09:00:00 15/12/2014,       6.255,      1
09:00:00 16/12/2014,       6.241,      1
09:00:00 17/12/2014,       6.265,      1
09:00:00 18/12/2014,       6.230,      1
09:00:00 19/12/2014,       6.248,      1
09:00:00 20/12/2014,       6.239,      1
09:00:00 21/12/2014,       6.238,      1
09:00:00 22/12/2014,       6.239,      1
09:00:00 23/12/2014,       6.259,      1
09:00:00 24/12/2014,       6.274,      1
09:00:00 25/12/2014,       6.252,      1
09:00:00 26/12/2014,       6.275,      1
09:00:00 27/12/2014,       6.258,      1
09:00:00 28/12/2014,       6.250,      1
09:00:00 29/12/2014,       6.262,      1
09:00:00 30/12/2014,       6.287,      1
09:00:00 31/12/2014,       6.264,      1
09:00:00 01/01/2015,       6.249,      1
09:00:00 02/01/2015,       6.239,      1
09:00:00 03/01/2015,       6.231,      1
09:00:00 04/01/2015,       6.241,      1
09:00:00 05/01/2015,       6.233,      1
09:00:00 06/01/2015,       6.230,      1
09:00:00 07/01/2015,       6.223,      1
09:00:00 08/01/2015,       6.238,      1
09:00:00 09/01/2015,       6.258,      1
09:00:00 10/01/2015,       6.271,      1
09:00:00 11/01/2015,       6.297,      1
09:00:00 12/01/2015,       6.301,      1
09:00:00 13/01/2015,       6.321,      1
09:00:00 14/01/2015,       6.371,      1
09:00:00 15/01/2015,       6.336,      1
09:00:00 16/01/2015,       6.298,      1
09:00:00 17/01/2015,       6.284,      1
09:00:00 18/01/2015,       6.260,      1
09:00:00 19/01/2015,       6.237,      1
09:00:00 20/01/2015,       6.232,      1
09:00:00 21/01/2015,       6.247,      1
09:00:00 22/01/2015,       6.303,      1
09:00:00 23/01/2015,       6.305,      1
09:00:00 24/01/2015,       6.314,      1
09:00:00 25/01/2015,       6.317,      1
09:00:00 26/01/2015,       6.306,      1
09:00:00 27/01/2015,       6.303,      1
09:00:00 28/01/2015,       6.305,      1
09:00:00 29/01/2015,       6.297,      1
09:00:00 30/01/2015,       6.291,      1
09:00:00 31/01/2015,       6.282,      1
09:00:00 01/02/2015,       6.268,      1
09:00:00 02/02/2015,       6.261,      1
09:00:00 03/02/2015,       6.250,      1
09:00:00 04/02/2015,       6.261,      1
09:00:00 05/02/2015,       6.268,      1
09:00:00 06/02/2015,       6.268,      1
09:00:00 07/02/2015,       6.274,      1
09:00:00 08/02/2015,       6.282,      1
09:00:00 09/02/2015,       6.279,      1
09:00:00 10/02/2015,       6.268,      1
09:00:00 11/02/2015,       6.266,      1
09:00:00 12/02/2015,       6.265,      1
09:00:00 13/02/2015,"",    201
09:00:00 14/02/2015,"",    201
09:00:00 15/02/2015,       6.275,      1
09:00:00 16/02/2015,       6.293,      1
09:00:00 17/02/2015,       6.280,      1
09:00:00 18/02/2015,       6.282,      1
09:00:00 19/02/2015,       6.280,      1
09:00:00 20/02/2015,       6.284,      1
09:00:00 21/02/2015,       6.288,      1
09:00:00 22/02/2015,       6.286,      1
09:00:00 23/02/2015,       6.287,      1
09:00:00 24/02/2015,       6.304,      1
09:00:00 25/02/2015,       6.282,      1
09:00:00 26/02/2015,       6.275,      1
09:00:00 27/02/2015,       6.291,      1
09:00:00 28/02/2015,       6.289,      1
09:00:00 01/03/2015,       6.305,      1
09:00:00 02/03/2015,       6.285,      1
09:00:00 03/03/2015,       6.287,      1
09:00:00 04/03/2015,       6.324,      1
09:00:00 05/03/2015,       6.339,      1
09:00:00 06/03/2015,       6.331,      1
09:00:00 07/03/2015,       6.328,      1
09:00:00 08/03/2015,       6.324,      1
09:00:00 09/03/2015,       6.327,      1
09:00:00 10/03/2015,       6.328,      1
09:00:00 11/03/2015,       6.329,      1
09:00:00 12/03/2015,       6.334,      1
09:00:00 13/03/2015,       6.331,      1
09:00:00 14/03/2015,       6.323,      1
09:00:00 15/03/2015,       6.326,      1
09:00:00 16/03/2015,       6.312,      1
09:00:00 17/03/2015,       6.288,      1
09:00:00 18/03/2015,       6.295,      1
