Discharge[Ml/day]:Instantaneous
Time	A4260515	
09:00:00 02/06/2015	3522
09:00:00 03/06/2015	3568
09:00:00 04/06/2015	3583
09:00:00 05/06/2015	3329.5
09:00:00 06/06/2015	3110
09:00:00 07/06/2015	3180
09:00:00 08/06/2015	3229.5
09:00:00 09/06/2015	3323
09:00:00 10/06/2015	3410
09:00:00 11/06/2015	3446.5
09:00:00 12/06/2015	3461
09:00:00 13/06/2015	3475.5
09:00:00 14/06/2015	3468
09:00:00 15/06/2015	3550
09:00:00 16/06/2015	3722.5
09:00:00 17/06/2015	3783
09:00:00 18/06/2015	3707
09:00:00 19/06/2015	3609
09:00:00 20/06/2015	3571
09:00:00 21/06/2015	3541.5
09:00:00 22/06/2015	3542.5
09:00:00 23/06/2015	3535
09:00:00 24/06/2015	3505
09:00:00 25/06/2015	3542
09:00:00 26/06/2015	3594
09:00:00 27/06/2015	3609
09:00:00 28/06/2015	3601.5
09:00:00 29/06/2015	3616.5
09:00:00 30/06/2015	3639
09:00:00 01/07/2015	3804.5
09:00:00 02/07/2015	3970
09:00:00 03/07/2015	5843
09:00:00 04/07/2015	7545
09:00:00 05/07/2015	7428
09:00:00 06/07/2015	7287
09:00:00 07/07/2015	7659.5
09:00:00 08/07/2015	8238.5
09:00:00 09/07/2015	8497.5
09:00:00 10/07/2015	8921.5
09:00:00 11/07/2015	9239.5
09:00:00 12/07/2015	9141.5
09:00:00 13/07/2015	9204
09:00:00 14/07/2015	9401
09:00:00 15/07/2015	9527.5
09:00:00 16/07/2015	9428.5
09:00:00 17/07/2015	9045
09:00:00 18/07/2015	8246.5
09:00:00 19/07/2015	7580
09:00:00 20/07/2015	7439
09:00:00 21/07/2015	7496.5
09:00:00 22/07/2015	7420.5
09:00:00 23/07/2015	7245.5
09:00:00 24/07/2015	6787.5
09:00:00 25/07/2015	6218.5
09:00:00 26/07/2015	6020
09:00:00 27/07/2015	5941.5
09:00:00 28/07/2015	5918.5
09:00:00 29/07/2015	5918.5
