Discharge[Ml/day]:Instantaneous
Time	A4261110	
09:00:00 05/07/2014	671.3
09:00:00 06/07/2014	1381.7
09:00:00 07/07/2014	1022.2
09:00:00 08/07/2014	1106.1
09:00:00 09/07/2014	1287
09:00:00 10/07/2014	1831.7
09:00:00 11/07/2014	1721.1
09:00:00 12/07/2014	1545.4
09:00:00 13/07/2014	1786.3
09:00:00 14/07/2014	1818.3
09:00:00 15/07/2014	2405.2
09:00:00 16/07/2014	2636.9
09:00:00 17/07/2014	2595.1
09:00:00 18/07/2014	2482.1
09:00:00 19/07/2014	2643.7
09:00:00 20/07/2014	2209.1
09:00:00 21/07/2014	2472.3
09:00:00 22/07/2014	1945.4
09:00:00 23/07/2014	2713.8
09:00:00 24/07/2014	2868.9
09:00:00 25/07/2014	3464.5
09:00:00 26/07/2014	4261.4
09:00:00 27/07/2014	5367.5
09:00:00 28/07/2014	6444.8
09:00:00 29/07/2014	6817.1
09:00:00 30/07/2014	6979.6
09:00:00 31/07/2014	7957.4
09:00:00 01/08/2014	8081.3
09:00:00 02/08/2014	10804.7
09:00:00 03/08/2014	10908.7
09:00:00 04/08/2014	9731.5
09:00:00 05/08/2014	10100.5
09:00:00 06/08/2014	9690.8
09:00:00 07/08/2014	9594.7
09:00:00 08/08/2014	11197.4
09:00:00 09/08/2014	11247.3
09:00:00 10/08/2014	11584.2
09:00:00 11/08/2014	12471.8
09:00:00 12/08/2014	11504.3
09:00:00 13/08/2014	11735.3
09:00:00 14/08/2014	11547.1
09:00:00 15/08/2014	11382.3
09:00:00 16/08/2014	11700.4
09:00:00 17/08/2014	10971.2
09:00:00 18/08/2014	11664.3
09:00:00 19/08/2014	11074.8
09:00:00 20/08/2014	11410.7
09:00:00 21/08/2014	10687.5
09:00:00 22/08/2014	9563.9
09:00:00 23/08/2014	7778.1
09:00:00 24/08/2014	7972
09:00:00 25/08/2014	7516.7
09:00:00 26/08/2014	6845.8
09:00:00 27/08/2014	6451.5
09:00:00 28/08/2014	6706.9
09:00:00 29/08/2014	6070.6
09:00:00 30/08/2014	5093.7
09:00:00 31/08/2014	5380.1
09:00:00 01/09/2014	5081
09:00:00 02/09/2014	4488.3
09:00:00 03/09/2014	2754
09:00:00 04/09/2014	1988.2
09:00:00 05/09/2014	2103.9
09:00:00 06/09/2014	2436.4
09:00:00 07/09/2014	2468.1
09:00:00 08/09/2014	3116.4
09:00:00 09/09/2014	2825.4
09:00:00 10/09/2014	3266.5
09:00:00 11/09/2014	2323.3
09:00:00 12/09/2014	2281.3
09:00:00 13/09/2014	2324.8
09:00:00 14/09/2014	2360.8
09:00:00 15/09/2014	1679.4
09:00:00 16/09/2014	2918.8
09:00:00 17/09/2014	3138.4
09:00:00 18/09/2014	2558.7
09:00:00 19/09/2014	2266.2
09:00:00 20/09/2014	1974.1
09:00:00 21/09/2014	2227.9
09:00:00 22/09/2014	2045.1
09:00:00 23/09/2014	2123.8
09:00:00 24/09/2014	2497.1
09:00:00 25/09/2014	3222.9
09:00:00 26/09/2014	3051
09:00:00 27/09/2014	2623.4
09:00:00 28/09/2014	4389.7
09:00:00 29/09/2014	3335.1
09:00:00 30/09/2014	3695
09:00:00 01/10/2014	3142.9
09:00:00 02/10/2014	2639.7
09:00:00 03/10/2014	2796.9
09:00:00 04/10/2014	2410.6
09:00:00 05/10/2014	2258.3
09:00:00 06/10/2014	3041.6
09:00:00 07/10/2014	3154.1
09:00:00 08/10/2014	3753.5
09:00:00 09/10/2014	2829.1
09:00:00 10/10/2014	2695.5
09:00:00 11/10/2014	3008
09:00:00 12/10/2014	2694.6
09:00:00 13/10/2014	3094.8
09:00:00 14/10/2014	2553.3
09:00:00 15/10/2014	1970.4
09:00:00 16/10/2014	1935.5
09:00:00 17/10/2014	2528.9
09:00:00 18/10/2014	3141
09:00:00 19/10/2014	4781.9
09:00:00 20/10/2014	4457.6
09:00:00 21/10/2014	3788
09:00:00 22/10/2014	3733.4
09:00:00 23/10/2014	3965.5
09:00:00 24/10/2014	4343.9
09:00:00 25/10/2014	3823.5
09:00:00 26/10/2014	4377
09:00:00 27/10/2014	3487.6
09:00:00 28/10/2014	3766.6
09:00:00 29/10/2014	3803.1
09:00:00 30/10/2014	3837.2
09:00:00 31/10/2014	3893.8
09:00:00 01/11/2014	4513.8
09:00:00 02/11/2014	5302.7
09:00:00 03/11/2014	4810.8
09:00:00 04/11/2014	5031.1
09:00:00 05/11/2014	5739
09:00:00 06/11/2014	4448
09:00:00 07/11/2014	3280.5
09:00:00 08/11/2014	4903.4
09:00:00 09/11/2014	5636.4
09:00:00 10/11/2014	5951.8
