Water Level[meter]:Instantaneous
Time	A4260513	
09:00:00 02/06/2015	13.314
09:00:00 03/06/2015	13.312
09:00:00 04/06/2015	13.307
09:00:00 05/06/2015	13.297
09:00:00 06/06/2015	13.299
09:00:00 07/06/2015	13.299
09:00:00 08/06/2015	13.303
09:00:00 09/06/2015	13.314
09:00:00 10/06/2015	13.324
09:00:00 11/06/2015	13.324
09:00:00 12/06/2015	13.319
09:00:00 13/06/2015	13.317
09:00:00 14/06/2015	13.317
09:00:00 15/06/2015	13.323
09:00:00 16/06/2015	13.336
09:00:00 17/06/2015	13.338
09:00:00 18/06/2015	13.335
09:00:00 19/06/2015	13.33
09:00:00 20/06/2015	13.324
09:00:00 21/06/2015	13.32
09:00:00 22/06/2015	13.314
09:00:00 23/06/2015	13.312
09:00:00 24/06/2015	13.317
09:00:00 25/06/2015	13.326
09:00:00 26/06/2015	13.326
09:00:00 27/06/2015	13.327
09:00:00 28/06/2015	13.326
09:00:00 29/06/2015	13.327
09:00:00 30/06/2015	13.327
09:00:00 01/07/2015	13.335
09:00:00 02/07/2015	13.36
09:00:00 03/07/2015	13.453
09:00:00 04/07/2015	13.441
09:00:00 05/07/2015	13.432
09:00:00 06/07/2015	13.434
09:00:00 07/07/2015	13.47
09:00:00 08/07/2015	13.499
09:00:00 09/07/2015	13.523
09:00:00 10/07/2015	13.545
09:00:00 11/07/2015	13.553
09:00:00 12/07/2015	13.56
09:00:00 13/07/2015	13.564
09:00:00 14/07/2015	13.562
09:00:00 15/07/2015	13.565
09:00:00 16/07/2015	13.558
09:00:00 17/07/2015	13.526
09:00:00 18/07/2015	13.485
09:00:00 19/07/2015	13.468
09:00:00 20/07/2015	13.458
09:00:00 21/07/2015	13.461
09:00:00 22/07/2015	13.456
09:00:00 23/07/2015	13.455
09:00:00 24/07/2015	13.433
09:00:00 25/07/2015	13.414
09:00:00 26/07/2015	13.407
09:00:00 27/07/2015	13.409
09:00:00 28/07/2015	13.406
09:00:00 29/07/2015	13.403
09:00:00 30/07/2015	13.397
09:00:00 31/07/2015	13.409
09:00:00 01/08/2015	13.42
09:00:00 02/08/2015	13.432
09:00:00 03/08/2015	13.437
09:00:00 04/08/2015	13.429
09:00:00 05/08/2015	13.415
09:00:00 06/08/2015	13.411
09:00:00 07/08/2015	13.415
09:00:00 08/08/2015	13.421
