Discharge[Ml/day]:Instantaneous
Time	A4260511	
09:00:00 02/06/2015	1535
09:00:00 03/06/2015	1488.5
09:00:00 04/06/2015	1469
09:00:00 05/06/2015	1261
09:00:00 06/06/2015	1058.5
09:00:00 07/06/2015	1117.5
09:00:00 08/06/2015	1196.5
09:00:00 09/06/2015	1219
09:00:00 10/06/2015	1196.5
09:00:00 11/06/2015	1194
09:00:00 12/06/2015	1233.5
09:00:00 13/06/2015	1239
09:00:00 14/06/2015	1230.5
09:00:00 15/06/2015	1245
09:00:00 16/06/2015	1217
09:00:00 17/06/2015	1133.5
09:00:00 18/06/2015	1108.5
09:00:00 19/06/2015	1166
09:00:00 20/06/2015	1179.5
09:00:00 21/06/2015	1160
09:00:00 22/06/2015	1185.5
09:00:00 23/06/2015	1216.5
09:00:00 24/06/2015	1196.5
09:00:00 25/06/2015	1177
09:00:00 26/06/2015	1191
09:00:00 27/06/2015	1239.5
09:00:00 28/06/2015	1282.5
09:00:00 29/06/2015	1276.5
09:00:00 30/06/2015	1245
09:00:00 01/07/2015	1822.5
09:00:00 02/07/2015	2400
09:00:00 03/07/2015	2942
09:00:00 04/07/2015	3779.5
09:00:00 05/07/2015	4455.5
09:00:00 06/07/2015	4815.5
09:00:00 07/07/2015	5448
09:00:00 08/07/2015	6024.5
09:00:00 09/07/2015	6194.5
09:00:00 10/07/2015	6470
09:00:00 11/07/2015	6589.5
09:00:00 12/07/2015	6515.5
09:00:00 13/07/2015	6486
09:00:00 14/07/2015	6508
09:00:00 15/07/2015	6413
09:00:00 16/07/2015	6158.5
09:00:00 17/07/2015	5678.5
09:00:00 18/07/2015	5236.5
09:00:00 19/07/2015	5201.5
09:00:00 20/07/2015	5356
09:00:00 21/07/2015	5511
09:00:00 22/07/2015	5261.5
09:00:00 23/07/2015	4791.5
09:00:00 24/07/2015	4437.5
09:00:00 25/07/2015	4128.5
09:00:00 26/07/2015	3929
09:00:00 27/07/2015	3811
09:00:00 28/07/2015	3789
09:00:00 29/07/2015	3750.5
