Discharge[Ml/day]:Instantaneous
Time	A4260903	
09:00:00 02/06/2015	3572.5
09:00:00 03/06/2015	3565.5
09:00:00 04/06/2015	3558.5
09:00:00 05/06/2015	3488
09:00:00 06/06/2015	3184.5
09:00:00 07/06/2015	2992.5
09:00:00 08/06/2015	2979.5
09:00:00 09/06/2015	2923
09:00:00 10/06/2015	2929.5
09:00:00 11/06/2015	3011.5
09:00:00 12/06/2015	3081.5
09:00:00 13/06/2015	3126.5
09:00:00 14/06/2015	3146
09:00:00 15/06/2015	3192
09:00:00 16/06/2015	3311
09:00:00 17/06/2015	3661
09:00:00 18/06/2015	3741
09:00:00 19/06/2015	3608.5
09:00:00 20/06/2015	3608.5
09:00:00 21/06/2015	3487.5
09:00:00 22/06/2015	3382
09:00:00 23/06/2015	3262.5
09:00:00 24/06/2015	3152
09:00:00 25/06/2015	3212.5
09:00:00 26/06/2015	3340
09:00:00 27/06/2015	3319.5
09:00:00 28/06/2015	3272
09:00:00 29/06/2015	3279
09:00:00 30/06/2015	3286
09:00:00 01/07/2015	3299.25
09:00:00 02/07/2015	3312.5
09:00:00 03/07/2015	3745
09:00:00 04/07/2015	5652
09:00:00 05/07/2015	7202
09:00:00 06/07/2015	7237
09:00:00 07/07/2015	7272.5
09:00:00 08/07/2015	7389
09:00:00 09/07/2015	7690.5
09:00:00 10/07/2015	8039
09:00:00 11/07/2015	8417.5
09:00:00 12/07/2015	8657.5
09:00:00 13/07/2015	8876
09:00:00 14/07/2015	9209
09:00:00 15/07/2015	9257
09:00:00 16/07/2015	9276.5
09:00:00 17/07/2015	9286.5
09:00:00 18/07/2015	9014
09:00:00 19/07/2015	8751.5
09:00:00 20/07/2015	8599.5
09:00:00 21/07/2015	8123
09:00:00 22/07/2015	7410
09:00:00 23/07/2015	7050
09:00:00 24/07/2015	7095
09:00:00 25/07/2015	6394.5
09:00:00 26/07/2015	5563
09:00:00 27/07/2015	5520
09:00:00 28/07/2015	5298.5
09:00:00 29/07/2015	5034
09:00:00 30/07/2015	5059.5
09:00:00 31/07/2015	5531
09:00:00 01/08/2015	6002.5
09:00:00 02/08/2015	6474
09:00:00 03/08/2015	6626.5
09:00:00 04/08/2015	6826
09:00:00 05/08/2015	7251
09:00:00 06/08/2015	7413
09:00:00 07/08/2015	7340
09:00:00 08/08/2015	7185.5
09:00:00 09/08/2015	7077
09:00:00 10/08/2015	7005.5
09:00:00 11/08/2015	6979
09:00:00 12/08/2015	6838.5
09:00:00 13/08/2015	6820.5
09:00:00 14/08/2015	6934.5
09:00:00 15/08/2015	6899
09:00:00 16/08/2015	6917
09:00:00 17/08/2015	6944
09:00:00 18/08/2015	6926
09:00:00 19/08/2015	6943.5
09:00:00 20/08/2015	6764
09:00:00 21/08/2015	6392
09:00:00 22/08/2015	5994.5
09:00:00 23/08/2015	5720
09:00:00 24/08/2015	5552.5
09:00:00 25/08/2015	5366.5
09:00:00 26/08/2015	5148
09:00:00 27/08/2015	4889.5
09:00:00 28/08/2015	4731
09:00:00 29/08/2015	4739.5
09:00:00 30/08/2015	4805.5
09:00:00 31/08/2015	4805.5
09:00:00 01/09/2015	4898.25
09:00:00 02/09/2015	4991
09:00:00 03/09/2015	5877
09:00:00 04/09/2015	7246
09:00:00 05/09/2015	7840.5
09:00:00 06/09/2015	7655
09:00:00 07/09/2015	7251.5
09:00:00 08/09/2015	6675.5
09:00:00 09/09/2015	6033.5
09:00:00 10/09/2015	5751
09:00:00 11/09/2015	5641.5
09:00:00 12/09/2015	5391
09:00:00 13/09/2015	5326
09:00:00 14/09/2015	5487.5
09:00:00 15/09/2015	5539
09:00:00 16/09/2015	5513
09:00:00 17/09/2015	5461.5
09:00:00 18/09/2015	5765
09:00:00 19/09/2015	6668
09:00:00 20/09/2015	7334.5
09:00:00 21/09/2015	7380
09:00:00 22/09/2015	7500.5
09:00:00 23/09/2015	8204.5
09:00:00 24/09/2015	8766.5
09:00:00 25/09/2015	8715
09:00:00 26/09/2015	8369
09:00:00 27/09/2015	8052.5
09:00:00 28/09/2015	7933
09:00:00 29/09/2015	7905.5
09:00:00 30/09/2015	7878.5
09:00:00 01/10/2015	7783.25
09:00:00 02/10/2015	7688
09:00:00 03/10/2015	7517.5
09:00:00 04/10/2015	7357.5
09:00:00 05/10/2015	7393
09:00:00 06/10/2015	7544
09:00:00 07/10/2015	7589
09:00:00 08/10/2015	7807
09:00:00 09/10/2015	8108
09:00:00 10/10/2015	8434
09:00:00 11/10/2015	8695.5
09:00:00 12/10/2015	8723.5
09:00:00 13/10/2015	8818
09:00:00 14/10/2015	8903
09:00:00 15/10/2015	8631
09:00:00 16/10/2015	8238
09:00:00 17/10/2015	7905.5
09:00:00 18/10/2015	7758.5
09:00:00 19/10/2015	7823
09:00:00 20/10/2015	7777
09:00:00 21/10/2015	7731
09:00:00 22/10/2015	7777
09:00:00 23/10/2015	7906.5
09:00:00 24/10/2015	8203
09:00:00 25/10/2015	8406.5
09:00:00 26/10/2015	8020
09:00:00 27/10/2015	8141
09:00:00 28/10/2015	8648.5
09:00:00 29/10/2015	8583.5
09:00:00 30/10/2015	8537
09:00:00 31/10/2015	7897.5
09:00:00 01/11/2015	7149
09:00:00 02/11/2015	7194.5
09:00:00 03/11/2015	7348.5
09:00:00 04/11/2015	7919
09:00:00 05/11/2015	9241
09:00:00 06/11/2015	9858.5
09:00:00 07/11/2015	9352.5
09:00:00 08/11/2015	8882.5
09:00:00 09/11/2015	8539.5
09:00:00 10/11/2015	7738
09:00:00 11/11/2015	6564.5
09:00:00 12/11/2015	5787.5
09:00:00 13/11/2015	5220.5
09:00:00 14/11/2015	4498.5
09:00:00 15/11/2015	4048.5
09:00:00 16/11/2015	3964
09:00:00 17/11/2015	4040.5
09:00:00 18/11/2015	4071
09:00:00 19/11/2015	4188
09:00:00 20/11/2015	4180.5
09:00:00 21/11/2015	4301
09:00:00 22/11/2015	4561
09:00:00 23/11/2015	4440.5
09:00:00 24/11/2015	4071.5
09:00:00 25/11/2015	3761
09:00:00 26/11/2015	3219.5
09:00:00 27/11/2015	2950.5
09:00:00 28/11/2015	3237.5
09:00:00 29/11/2015	3292
09:00:00 30/11/2015	3210
09:00:00 01/12/2015	3095.5
09:00:00 02/12/2015	2970.5
09:00:00 03/12/2015	2991.5
09:00:00 04/12/2015	3022.5
09:00:00 05/12/2015	2985
09:00:00 06/12/2015	3060
09:00:00 07/12/2015	3123
09:00:00 08/12/2015	3174
09:00:00 09/12/2015	3478
09:00:00 10/12/2015	3611
09:00:00 11/12/2015	3201.5
09:00:00 12/12/2015	2881
09:00:00 13/12/2015	2929.5
09:00:00 14/12/2015	3034.5
09:00:00 15/12/2015	3123.5
09:00:00 16/12/2015	3547
09:00:00 17/12/2015	3932
09:00:00 18/12/2015	3848
09:00:00 19/12/2015	3603.5
09:00:00 20/12/2015	3396.5
09:00:00 21/12/2015	3375.5
09:00:00 22/12/2015	3237.5
09:00:00 23/12/2015	3005
09:00:00 24/12/2015	1657
09:00:00 25/12/2015	1786.59090909091
09:00:00 26/12/2015	1916.18181818182
09:00:00 27/12/2015	2045.77272727273
09:00:00 28/12/2015	2175.36363636364
09:00:00 29/12/2015	2304.95454545455
09:00:00 30/12/2015	2434.54545454545
09:00:00 31/12/2015	2564.13636363636
09:00:00 01/01/2016	2693.72727272727
09:00:00 02/01/2016	2823.31818181818
09:00:00 03/01/2016	2952.90909090909
09:00:00 04/01/2016	3082.5
09:00:00 05/01/2016	3257.5
09:00:00 06/01/2016	3460
09:00:00 07/01/2016	3793.5
09:00:00 08/01/2016	4041.5
09:00:00 09/01/2016	3864
09:00:00 10/01/2016	3558.5
09:00:00 11/01/2016	3410.5
09:00:00 12/01/2016	3292.5
09:00:00 13/01/2016	3262
09:00:00 14/01/2016	3031.5
09:00:00 15/01/2016	3092.5
09:00:00 16/01/2016	3394.5
09:00:00 17/01/2016	3477.5
09:00:00 18/01/2016	3540
09:00:00 19/01/2016	3831.5
09:00:00 20/01/2016	4204
09:00:00 21/01/2016	4221
09:00:00 22/01/2016	4320.5
09:00:00 23/01/2016	4353
09:00:00 24/01/2016	4403
09:00:00 25/01/2016	4653.5
09:00:00 26/01/2016	4816
09:00:00 27/01/2016	4972
09:00:00 28/01/2016	5004
09:00:00 29/01/2016	4874
09:00:00 30/01/2016	4765.5
09:00:00 31/01/2016	4942.5
09:00:00 01/02/2016	5136
09:00:00 02/02/2016	5662
09:00:00 03/02/2016	6092
09:00:00 04/02/2016	6167.5
09:00:00 05/02/2016	6330.5
09:00:00 06/02/2016	6313
09:00:00 07/02/2016	6133.5
09:00:00 08/02/2016	5765.5
09:00:00 09/02/2016	5363
09:00:00 10/02/2016	5258
09:00:00 11/02/2016	5514.5
09:00:00 12/02/2016	6092.5
09:00:00 13/02/2016	6890.5
09:00:00 14/02/2016	7248.5
09:00:00 15/02/2016	7257.5
09:00:00 16/02/2016	7159
09:00:00 17/02/2016	6944
09:00:00 18/02/2016	6890.5
09:00:00 19/02/2016	6908
09:00:00 20/02/2016	6793.5
09:00:00 21/02/2016	6793.5
09:00:00 22/02/2016	6872.5
09:00:00 23/02/2016	6890.5
09:00:00 24/02/2016	6890.5
09:00:00 25/02/2016	6908
09:00:00 26/02/2016	6952.5
09:00:00 27/02/2016	6988.5
09:00:00 28/02/2016	7050.5
09:00:00 29/02/2016	7059
09:00:00 01/03/2016	7059
09:00:00 02/03/2016	6747
09:00:00 03/03/2016	6330.5
09:00:00 04/03/2016	6175.5
09:00:00 05/03/2016	5490
09:00:00 06/03/2016	4914.5
