Discharge[Ml/day]:Instantaneous
Time	A4260519	
09:00:00 29/08/2015	4710
09:00:00 30/08/2015	4737.5
09:00:00 31/08/2015	4757.5
09:00:00 01/09/2015	4901.5
09:00:00 02/09/2015	5045.5
09:00:00 03/09/2015	5795.5
09:00:00 04/09/2015	6863.5
09:00:00 05/09/2015	7258
09:00:00 06/09/2015	7090.5
09:00:00 07/09/2015	6869.5
09:00:00 08/09/2015	6369
09:00:00 09/09/2015	5753.5
09:00:00 10/09/2015	5485.5
09:00:00 11/09/2015	5477.5
09:00:00 12/09/2015	5574
09:00:00 13/09/2015	5734
09:00:00 14/09/2015	5843
09:00:00 15/09/2015	5749.5
09:00:00 16/09/2015	5626.5
09:00:00 17/09/2015	5642
09:00:00 18/09/2015	6146.5
09:00:00 19/09/2015	7134
09:00:00 20/09/2015	7836
09:00:00 21/09/2015	8075
09:00:00 22/09/2015	8308
09:00:00 23/09/2015	8620.5
09:00:00 24/09/2015	8649.5
09:00:00 25/09/2015	8495
09:00:00 26/09/2015	8097.5
09:00:00 27/09/2015	7804.5
09:00:00 28/09/2015	7904.5
09:00:00 29/09/2015	7882
09:00:00 30/09/2015	7757.5
09:00:00 01/10/2015	7634.75
09:00:00 02/10/2015	7512
09:00:00 03/10/2015	7474.5
09:00:00 04/10/2015	7614
09:00:00 05/10/2015	7767.5
09:00:00 06/10/2015	7863
09:00:00 07/10/2015	8043.5
09:00:00 08/10/2015	8152
09:00:00 09/10/2015	8164
09:00:00 10/10/2015	8499.5
09:00:00 11/10/2015	8786.5
09:00:00 12/10/2015	8799
09:00:00 13/10/2015	8799
09:00:00 14/10/2015	8725
09:00:00 15/10/2015	8462.5
09:00:00 16/10/2015	8237
09:00:00 17/10/2015	7990
09:00:00 18/10/2015	7707.5
09:00:00 19/10/2015	7589.5
09:00:00 20/10/2015	7589.5
09:00:00 21/10/2015	7707.5
09:00:00 22/10/2015	7790.5
09:00:00 23/10/2015	7755
09:00:00 24/10/2015	7886
09:00:00 25/10/2015	8111.5
09:00:00 26/10/2015	8147
09:00:00 27/10/2015	8348.5
09:00:00 28/10/2015	8502.5
09:00:00 29/10/2015	8526.5
09:00:00 30/10/2015	8574
09:00:00 31/10/2015	7797.5
09:00:00 01/11/2015	7090
09:00:00 02/11/2015	7204.5
09:00:00 03/11/2015	7366.5
09:00:00 04/11/2015	7806
09:00:00 05/11/2015	8443.5
09:00:00 06/11/2015	8703
09:00:00 07/11/2015	8510.5
09:00:00 08/11/2015	8202.5
09:00:00 09/11/2015	7856
09:00:00 10/11/2015	7356.5
09:00:00 11/11/2015	6309
09:00:00 12/11/2015	5216.5
09:00:00 13/11/2015	4669
09:00:00 14/11/2015	4350
09:00:00 15/11/2015	4122
09:00:00 16/11/2015	4005.5
09:00:00 17/11/2015	4124.5
09:00:00 18/11/2015	4292.5
09:00:00 19/11/2015	4575.5
09:00:00 20/11/2015	4687
09:00:00 21/11/2015	4608
09:00:00 22/11/2015	4464
09:00:00 23/11/2015	4135.5
09:00:00 24/11/2015	3857
09:00:00 25/11/2015	3661.5
09:00:00 26/11/2015	3571.5
09:00:00 27/11/2015	3617.5
09:00:00 28/11/2015	3504.5
09:00:00 29/11/2015	3208.5
09:00:00 30/11/2015	3113
09:00:00 01/12/2015	3239.5
09:00:00 02/12/2015	3283.5
09:00:00 03/12/2015	3179.5
09:00:00 04/12/2015	3010
09:00:00 05/12/2015	2945
09:00:00 06/12/2015	3077.5
09:00:00 07/12/2015	3171
09:00:00 08/12/2015	3229.5
09:00:00 09/12/2015	3381
09:00:00 10/12/2015	3441.5
09:00:00 11/12/2015	3259.5
09:00:00 12/12/2015	3190
09:00:00 13/12/2015	3204.5
09:00:00 14/12/2015	3204.5
09:00:00 15/12/2015	3277.5
09:00:00 16/12/2015	3516
09:00:00 17/12/2015	3703.5
09:00:00 18/12/2015	3711
09:00:00 19/12/2015	3756
09:00:00 20/12/2015	3756
09:00:00 21/12/2015	3726
09:00:00 22/12/2015	3451
09:00:00 23/12/2015	3110.5
09:00:00 24/12/2015	1665.5
09:00:00 25/12/2015	1799.68181818182
09:00:00 26/12/2015	1933.86363636364
09:00:00 27/12/2015	2068.04545454545
09:00:00 28/12/2015	2202.22727272727
09:00:00 29/12/2015	2336.40909090909
09:00:00 30/12/2015	2470.59090909091
09:00:00 31/12/2015	2604.77272727273
09:00:00 01/01/2016	2738.95454545455
09:00:00 02/01/2016	2873.13636363636
09:00:00 03/01/2016	3007.31818181818
09:00:00 04/01/2016	3141.5
09:00:00 05/01/2016	3215
09:00:00 06/01/2016	3521
09:00:00 07/01/2016	3955
09:00:00 08/01/2016	4052
09:00:00 09/01/2016	3667.5
09:00:00 10/01/2016	3358.5
09:00:00 11/01/2016	3358.5
09:00:00 12/01/2016	3380.5
09:00:00 13/01/2016	3380.5
09:00:00 14/01/2016	3395.5
09:00:00 15/01/2016	3494.5
09:00:00 16/01/2016	3525
09:00:00 17/01/2016	3486
09:00:00 18/01/2016	3541
09:00:00 19/01/2016	3899.5
09:00:00 20/01/2016	4194
09:00:00 21/01/2016	4317.5
09:00:00 22/01/2016	4610.5
09:00:00 23/01/2016	4837
09:00:00 24/01/2016	4989.5
09:00:00 25/01/2016	5076
09:00:00 26/01/2016	5076
09:00:00 27/01/2016	5037.5
09:00:00 28/01/2016	4979.5
09:00:00 29/01/2016	4931.5
09:00:00 30/01/2016	5097
09:00:00 31/01/2016	5291
09:00:00 01/02/2016	5340.5
09:00:00 02/02/2016	5806.5
09:00:00 03/02/2016	6405
09:00:00 04/02/2016	6587
09:00:00 05/02/2016	6417
09:00:00 06/02/2016	6132.5
09:00:00 07/02/2016	5926.5
09:00:00 08/02/2016	5755.5
09:00:00 09/02/2016	5666
09:00:00 10/02/2016	5675.5
09:00:00 11/02/2016	5966
09:00:00 12/02/2016	6550
09:00:00 13/02/2016	7212
09:00:00 14/02/2016	7593.5
09:00:00 15/02/2016	7529
09:00:00 16/02/2016	7274.5
09:00:00 17/02/2016	7076
09:00:00 18/02/2016	7035
09:00:00 19/02/2016	7086.5
09:00:00 20/02/2016	7200.5
09:00:00 21/02/2016	7231.5
09:00:00 22/02/2016	7190
09:00:00 23/02/2016	7232
09:00:00 24/02/2016	7284
09:00:00 25/02/2016	7315.5
09:00:00 26/02/2016	7368
09:00:00 27/02/2016	7378.5
09:00:00 28/02/2016	7336.5
09:00:00 29/02/2016	7294.5
09:00:00 01/03/2016	7273.5
09:00:00 02/03/2016	7001
09:00:00 03/03/2016	6698
09:00:00 04/03/2016	6346.5
09:00:00 05/03/2016	5612.5
09:00:00 06/03/2016	5153.5
09:00:00 07/03/2016	5100.5
09:00:00 08/03/2016	4833
09:00:00 09/03/2016	4609
09:00:00 10/03/2016	4669.5
09:00:00 11/03/2016	4748.5
09:00:00 12/03/2016	4766
09:00:00 13/03/2016	4678.5
09:00:00 14/03/2016	4575.5
09:00:00 15/03/2016	4575.5
09:00:00 16/03/2016	4542
09:00:00 17/03/2016	4457.5
09:00:00 18/03/2016	4382.5
09:00:00 19/03/2016	4458
09:00:00 20/03/2016	4566.5
09:00:00 21/03/2016	4516
09:00:00 22/03/2016	4499
09:00:00 23/03/2016	4541
09:00:00 24/03/2016	4609
09:00:00 25/03/2016	4678.5
09:00:00 26/03/2016	4757.5
09:00:00 27/03/2016	4829
09:00:00 28/03/2016	4892.5
09:00:00 29/03/2016	4956.5
09:00:00 30/03/2016	5011.5
09:00:00 31/03/2016	5077
09:00:00 01/04/2016	5152
09:00:00 02/04/2016	5218
09:00:00 03/04/2016	5342.5
09:00:00 04/04/2016	5419
09:00:00 05/04/2016	5477
09:00:00 06/04/2016	5477
09:00:00 07/04/2016	5606
09:00:00 08/04/2016	5833
09:00:00 09/04/2016	5753.5
09:00:00 10/04/2016	5555.5
09:00:00 11/04/2016	5390
09:00:00 12/04/2016	5209
09:00:00 13/04/2016	4835.5
09:00:00 14/04/2016	4186
09:00:00 15/04/2016	3798
09:00:00 16/04/2016	3798
09:00:00 17/04/2016	3814.5
09:00:00 18/04/2016	3790.5
09:00:00 19/04/2016	3798.5
09:00:00 20/04/2016	3863
