Discharge[Ml/day]:Instantaneous
Time	A4260513	
09:00:00 02/06/2015	3499
09:00:00 03/06/2015	3461.5
09:00:00 04/06/2015	3409
09:00:00 05/06/2015	3153
09:00:00 06/06/2015	2912
09:00:00 07/06/2015	2955
09:00:00 08/06/2015	3055.5
09:00:00 09/06/2015	3149.5
09:00:00 10/06/2015	3201
09:00:00 11/06/2015	3172
09:00:00 12/06/2015	3106
09:00:00 13/06/2015	3113
09:00:00 14/06/2015	3164
09:00:00 15/06/2015	3261
09:00:00 16/06/2015	3373.5
09:00:00 17/06/2015	3358
09:00:00 18/06/2015	3209
09:00:00 19/06/2015	3113
09:00:00 20/06/2015	3127.5
09:00:00 21/06/2015	3135
09:00:00 22/06/2015	3151.5
09:00:00 23/06/2015	3180.5
09:00:00 24/06/2015	3201
09:00:00 25/06/2015	3216
09:00:00 26/06/2015	3216
09:00:00 27/06/2015	3208.5
09:00:00 28/06/2015	3231
09:00:00 29/06/2015	3275.5
09:00:00 30/06/2015	3282.5
09:00:00 01/07/2015	3578.25
09:00:00 02/07/2015	3874
09:00:00 03/07/2015	5217.5
09:00:00 04/07/2015	6607.5
09:00:00 05/07/2015	6804.5
09:00:00 06/07/2015	6914
09:00:00 07/07/2015	7543.5
09:00:00 08/07/2015	8195
09:00:00 09/07/2015	8518.5
09:00:00 10/07/2015	8957
09:00:00 11/07/2015	9253
09:00:00 12/07/2015	9120
09:00:00 13/07/2015	9069
09:00:00 14/07/2015	9192
09:00:00 15/07/2015	9212.5
09:00:00 16/07/2015	9079
09:00:00 17/07/2015	8578
09:00:00 18/07/2015	7878.5
09:00:00 19/07/2015	7497
09:00:00 20/07/2015	7437
09:00:00 21/07/2015	7537
09:00:00 22/07/2015	7470
09:00:00 23/07/2015	7167.5
09:00:00 24/07/2015	6587.5
09:00:00 25/07/2015	5883
09:00:00 26/07/2015	5685.5
09:00:00 27/07/2015	5749
09:00:00 28/07/2015	5740
09:00:00 29/07/2015	5712.5
09:00:00 30/07/2015	5721.5
09:00:00 31/07/2015	6145.66666666667
09:00:00 01/08/2015	6569.83333333333
09:00:00 02/08/2015	6994
09:00:00 03/08/2015	6985
09:00:00 04/08/2015	6828.5
09:00:00 05/08/2015	6645
09:00:00 06/08/2015	6608.5
09:00:00 07/08/2015	6773.5
09:00:00 08/08/2015	6865.5
09:00:00 09/08/2015	6755
09:00:00 10/08/2015	6599.5
09:00:00 11/08/2015	6491
09:00:00 12/08/2015	6295.5
09:00:00 13/08/2015	6215
09:00:00 14/08/2015	6383.5
09:00:00 15/08/2015	6545
09:00:00 16/08/2015	6681
09:00:00 17/08/2015	6809.5
