Sample Point Name,sampleDate,dailyStage (m),dailyVolume (ML/day),qualityCode,Comments
LK7DS_620km,07/09/2015 09:00:01,19.251,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/09/2015 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/09/2015 09:00:01,19.261,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/09/2015 09:00:01,19.268,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/09/2015 09:00:01,19.255,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/09/2015 09:00:01,19.237,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/09/2015 09:00:01,19.249,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/09/2015 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/09/2015 09:00:01,19.209,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/09/2015 09:00:01,19.241,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/09/2015 09:00:01,19.275,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/09/2015 09:00:01,19.274,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/09/2015 09:00:01,19.297,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/09/2015 09:00:01,19.307,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/09/2015 09:00:01,19.302,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/09/2015 09:00:01,19.277,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/09/2015 09:00:01,19.281,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/09/2015 09:00:01,19.293,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/09/2015 09:00:01,19.292,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/09/2015 09:00:01,19.276,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/09/2015 09:00:01,19.265,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,28/09/2015 09:00:01,19.258,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,29/09/2015 09:00:01,19.246,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,30/09/2015 09:00:01,19.246,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,01/10/2015 09:00:01,19.267,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,02/10/2015 09:00:01,19.280,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,03/10/2015 09:00:01,19.286,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,04/10/2015 09:00:01,19.278,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,05/10/2015 09:00:01,19.260,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,06/10/2015 09:00:01,19.261,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,07/10/2015 09:00:01,19.251,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,08/10/2015 09:00:01,19.263,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,09/10/2015 09:00:01,19.268,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,10/10/2015 09:00:01,19.266,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,11/10/2015 09:00:01,19.262,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,12/10/2015 09:00:01,19.245,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,13/10/2015 09:00:01,19.234,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,14/10/2015 09:00:01,19.244,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,15/10/2015 09:00:01,19.236,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,16/10/2015 09:00:01,19.235,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,17/10/2015 09:00:01,19.219,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,18/10/2015 09:00:01,19.212,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,19/10/2015 09:00:01,19.215,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,20/10/2015 09:00:01,19.199,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,21/10/2015 09:00:01,19.190,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,22/10/2015 09:00:01,19.218,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,23/10/2015 09:00:01,19.219,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,24/10/2015 09:00:01,19.231,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,25/10/2015 09:00:01,19.247,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,26/10/2015 09:00:01,19.243,0,5,No discharge at this sample point (1 Good)
LK7DS_620km,27/10/2015 09:00:01,19.251,0,5,No discharge at this sample point (1 Good)
