"Time","A4260515",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/07/2014,      10.144,      1
09:00:00 02/07/2014,      10.144,      1
09:00:00 03/07/2014,      10.163,      1
09:00:00 04/07/2014,      10.181,      1
09:00:00 05/07/2014,      10.193,      1
09:00:00 06/07/2014,      10.211,      1
09:00:00 07/07/2014,      10.232,      1
09:00:00 08/07/2014,      10.306,      1
09:00:00 09/07/2014,      10.371,      1
09:00:00 10/07/2014,      10.349,      1
09:00:00 11/07/2014,      10.340,      1
09:00:00 12/07/2014,      10.349,      1
09:00:00 13/07/2014,      10.344,      1
09:00:00 14/07/2014,      10.347,      1
09:00:00 15/07/2014,      10.367,      1
09:00:00 16/07/2014,      10.455,      1
09:00:00 17/07/2014,      10.496,      1
09:00:00 18/07/2014,      10.479,      1
09:00:00 19/07/2014,      10.408,      1
09:00:00 20/07/2014,      10.411,      1
09:00:00 21/07/2014,      10.440,      1
09:00:00 22/07/2014,      10.504,      1
09:00:00 23/07/2014,      10.522,      1
09:00:00 24/07/2014,      10.561,      1
09:00:00 25/07/2014,      10.769,      1
09:00:00 26/07/2014,      10.966,      1
09:00:00 27/07/2014,      11.155,      1
09:00:00 28/07/2014,      11.227,      1
09:00:00 29/07/2014,      11.270,      1
09:00:00 30/07/2014,      11.273,      1
09:00:00 31/07/2014,      11.293,      1
09:00:00 01/08/2014,      11.274,      1
09:00:00 02/08/2014,      11.276,      1
09:00:00 03/08/2014,      11.279,      1
09:00:00 04/08/2014,      11.280,      1
09:00:00 05/08/2014,      11.304,      1
09:00:00 06/08/2014,      11.375,      1
09:00:00 07/08/2014,      11.457,      1
09:00:00 08/08/2014,      11.491,      1
09:00:00 09/08/2014,      11.488,      1
09:00:00 10/08/2014,      11.461,      1
09:00:00 11/08/2014,      11.442,      1
09:00:00 12/08/2014,      11.459,      1
09:00:00 13/08/2014,      11.479,      1
09:00:00 14/08/2014,      11.483,      1
09:00:00 15/08/2014,      11.441,      1
09:00:00 16/08/2014,      11.442,      1
09:00:00 17/08/2014,      11.458,      1
09:00:00 18/08/2014,      11.451,      1
09:00:00 19/08/2014,      11.439,      1
09:00:00 20/08/2014,      11.364,      1
09:00:00 21/08/2014,      11.226,      1
09:00:00 22/08/2014,      11.191,      1
09:00:00 23/08/2014,      11.130,      1
09:00:00 24/08/2014,      11.096,      1
09:00:00 25/08/2014,      11.080,      1
09:00:00 26/08/2014,      11.066,      1
09:00:00 27/08/2014,      11.053,      1
09:00:00 28/08/2014,      10.947,      1
09:00:00 29/08/2014,      10.866,      1
09:00:00 30/08/2014,      10.791,      1
09:00:00 31/08/2014,      10.792,      1
09:00:00 01/09/2014,      10.826,      1
09:00:00 02/09/2014,      10.496,      1
09:00:00 03/09/2014,      10.419,      1
09:00:00 04/09/2014,      10.465,      1
09:00:00 05/09/2014,      10.530,      1
09:00:00 06/09/2014,      10.522,      1
09:00:00 07/09/2014,      10.500,      1
09:00:00 08/09/2014,      10.488,      1
09:00:00 09/09/2014,      10.459,      1
09:00:00 10/09/2014,      10.373,      1
09:00:00 11/09/2014,      10.213,      1
09:00:00 12/09/2014,      10.208,      1
09:00:00 13/09/2014,      10.369,      1
09:00:00 14/09/2014,      10.418,      1
09:00:00 15/09/2014,      10.406,      1
09:00:00 16/09/2014,      10.422,      1
09:00:00 17/09/2014,      10.437,      1
09:00:00 18/09/2014,      10.424,      1
09:00:00 19/09/2014,      10.416,      1
09:00:00 20/09/2014,      10.402,      1
09:00:00 21/09/2014,      10.380,      1
09:00:00 22/09/2014,      10.364,      1
09:00:00 23/09/2014,      10.361,      1
09:00:00 24/09/2014,      10.373,      1
09:00:00 25/09/2014,      10.430,      1
09:00:00 26/09/2014,      10.493,      1
09:00:00 27/09/2014,      10.590,      1
09:00:00 28/09/2014,      10.574,      1
09:00:00 29/09/2014,      10.525,      1
09:00:00 30/09/2014,      10.492,      1
09:00:00 01/10/2014,      10.416,      1
09:00:00 02/10/2014,      10.421,      1
09:00:00 03/10/2014,      10.444,      1
09:00:00 04/10/2014,      10.481,      1
09:00:00 05/10/2014,      10.493,      1
09:00:00 06/10/2014,      10.502,      1
09:00:00 07/10/2014,      10.509,      1
09:00:00 08/10/2014,      10.513,      1
09:00:00 09/10/2014,      10.522,      1
09:00:00 10/10/2014,      10.524,      1
09:00:00 11/10/2014,      10.508,      1
09:00:00 12/10/2014,      10.473,      1
09:00:00 13/10/2014,      10.434,      1
09:00:00 14/10/2014,      10.335,      1
09:00:00 15/10/2014,      10.352,      1
09:00:00 16/10/2014,      10.470,      1
09:00:00 17/10/2014,      10.696,      1
09:00:00 18/10/2014,      10.810,      1
09:00:00 19/10/2014,      10.794,      1
09:00:00 20/10/2014,      10.755,      1
09:00:00 21/10/2014,      10.682,      1
09:00:00 22/10/2014,      10.666,      1
09:00:00 23/10/2014,      10.671,      1
09:00:00 24/10/2014,      10.697,      1
09:00:00 25/10/2014,      10.709,      1
09:00:00 26/10/2014,      10.695,      1
09:00:00 27/10/2014,      10.697,      1
09:00:00 28/10/2014,      10.687,      1
09:00:00 29/10/2014,      10.700,      1
09:00:00 30/10/2014,      10.772,      1
09:00:00 31/10/2014,      10.795,      1
09:00:00 01/11/2014,      10.919,      1
09:00:00 02/11/2014,      10.934,      1
09:00:00 03/11/2014,      10.950,      1
09:00:00 04/11/2014,      10.935,      1
09:00:00 05/11/2014,      10.925,      1
09:00:00 06/11/2014,      10.929,      1
09:00:00 07/11/2014,      10.935,      1
09:00:00 08/11/2014,      10.935,      1
09:00:00 09/11/2014,      10.899,      1
09:00:00 10/11/2014,      10.894,      1
09:00:00 11/11/2014,      10.826,      1
09:00:00 12/11/2014,      10.840,      1
09:00:00 13/11/2014,      10.862,      1
09:00:00 14/11/2014,      10.869,      1
09:00:00 15/11/2014,      10.862,      1
09:00:00 16/11/2014,      10.876,      1
09:00:00 17/11/2014,      10.878,      1
09:00:00 18/11/2014,      10.883,      1
09:00:00 19/11/2014,      10.884,      1
09:00:00 20/11/2014,      10.883,     30
09:00:00 21/11/2014,      10.839,     30
09:00:00 22/11/2014,      10.857,     30
09:00:00 23/11/2014,      10.851,      1
09:00:00 24/11/2014,      10.861,      1
09:00:00 25/11/2014,      10.842,      1
09:00:00 26/11/2014,      10.868,      1
09:00:00 27/11/2014,      10.859,      1
09:00:00 28/11/2014,      10.860,      1
09:00:00 29/11/2014,      10.859,      1
09:00:00 30/11/2014,      10.815,      1
09:00:00 01/12/2014,      10.757,      1
09:00:00 02/12/2014,      10.666,      1
09:00:00 03/12/2014,      10.707,      1
09:00:00 04/12/2014,      10.745,      1
09:00:00 05/12/2014,      10.724,      1
09:00:00 06/12/2014,      10.762,      1
09:00:00 07/12/2014,      10.726,      1
09:00:00 08/12/2014,      10.690,      1
09:00:00 09/12/2014,      10.671,      1
09:00:00 10/12/2014,      10.678,      1
09:00:00 11/12/2014,      10.695,      1
09:00:00 12/12/2014,      10.670,      1
09:00:00 13/12/2014,      10.629,      1
09:00:00 14/12/2014,      10.585,      1
09:00:00 15/12/2014,      10.523,      1
09:00:00 16/12/2014,      10.513,      1
09:00:00 17/12/2014,      10.496,      1
09:00:00 18/12/2014,      10.526,      1
09:00:00 19/12/2014,      10.511,      1
09:00:00 20/12/2014,      10.557,      1
09:00:00 21/12/2014,      10.515,      1
09:00:00 22/12/2014,      10.523,      1
09:00:00 23/12/2014,      10.541,      1
09:00:00 24/12/2014,      10.500,      1
09:00:00 25/12/2014,      10.485,      1
09:00:00 26/12/2014,      10.465,      1
09:00:00 27/12/2014,      10.491,      1
09:00:00 28/12/2014,      10.494,      1
09:00:00 29/12/2014,      10.479,      1
09:00:00 30/12/2014,      10.436,      1
09:00:00 31/12/2014,      10.442,      1
09:00:00 01/01/2015,      10.398,      1
09:00:00 02/01/2015,      10.401,      1
09:00:00 03/01/2015,      10.425,      1
09:00:00 04/01/2015,      10.419,      1
09:00:00 05/01/2015,      10.420,      1
09:00:00 06/01/2015,      10.406,      1
09:00:00 07/01/2015,      10.449,      1
09:00:00 08/01/2015,      10.433,      1
09:00:00 09/01/2015,      10.430,      1
09:00:00 10/01/2015,      10.526,      1
09:00:00 11/01/2015,      10.604,      1
09:00:00 12/01/2015,      10.638,      1
09:00:00 13/01/2015,      10.662,      1
09:00:00 14/01/2015,      10.760,      1
09:00:00 15/01/2015,      10.710,      1
09:00:00 16/01/2015,      10.651,      1
09:00:00 17/01/2015,      10.601,      1
09:00:00 18/01/2015,      10.585,      1
09:00:00 19/01/2015,      10.592,      1
09:00:00 20/01/2015,      10.614,      1
09:00:00 21/01/2015,      10.790,      1
09:00:00 22/01/2015,      10.873,      1
09:00:00 23/01/2015,      10.893,      1
09:00:00 24/01/2015,      10.884,      1
09:00:00 25/01/2015,      10.880,      1
09:00:00 26/01/2015,      10.867,      1
09:00:00 27/01/2015,      10.883,      1
09:00:00 28/01/2015,      10.880,      1
09:00:00 29/01/2015,      10.877,      1
09:00:00 30/01/2015,      10.866,      1
09:00:00 31/01/2015,      10.724,      1
09:00:00 01/02/2015,      10.723,      1
09:00:00 02/02/2015,      10.743,      1
09:00:00 03/02/2015,      10.771,      1
09:00:00 04/02/2015,      10.779,      1
09:00:00 05/02/2015,      10.791,      1
09:00:00 06/02/2015,      10.797,      1
09:00:00 07/02/2015,      10.790,      1
09:00:00 08/02/2015,      10.751,      1
09:00:00 09/02/2015,      10.724,      1
09:00:00 10/02/2015,      10.738,      1
09:00:00 11/02/2015,      10.746,      1
09:00:00 12/02/2015,      10.741,      1
09:00:00 13/02/2015,      10.771,      1
09:00:00 14/02/2015,      10.790,      1
09:00:00 15/02/2015,      10.779,      1
09:00:00 16/02/2015,      10.741,      1
09:00:00 17/02/2015,      10.754,      1
09:00:00 18/02/2015,      10.777,      1
09:00:00 19/02/2015,      10.791,      1
09:00:00 20/02/2015,      10.803,      1
09:00:00 21/02/2015,      10.803,      1
09:00:00 22/02/2015,      10.782,      1
09:00:00 23/02/2015,      10.753,      1
09:00:00 24/02/2015,      10.734,      1
09:00:00 25/02/2015,      10.766,      1
09:00:00 26/02/2015,      10.786,      1
09:00:00 27/02/2015,      10.798,      1
09:00:00 28/02/2015,      10.811,      1
09:00:00 01/03/2015,      10.783,      1
09:00:00 02/03/2015,      10.793,      1
09:00:00 03/03/2015,      10.881,      1
09:00:00 04/03/2015,      10.898,      1
09:00:00 05/03/2015,      10.944,      1
09:00:00 06/03/2015,      10.939,      1
09:00:00 07/03/2015,      10.944,      1
09:00:00 08/03/2015,      10.959,      1
09:00:00 09/03/2015,      10.960,      1
09:00:00 10/03/2015,      10.969,      1
09:00:00 11/03/2015,      10.980,      1
09:00:00 12/03/2015,      10.969,      1
09:00:00 13/03/2015,      10.963,      1
09:00:00 14/03/2015,      10.955,      1
09:00:00 15/03/2015,      10.928,      1
09:00:00 16/03/2015,      10.913,      1
09:00:00 17/03/2015,      10.819,      1
