"Time","A4261091",
"and","Discharge (Ml/day)",
"Date","Mean","Qual"
09:00:00 30/06/2014,      2353.1,      1
09:00:00 01/07/2014,      2330.6,      1
09:00:00 02/07/2014,      2326.2,      1
09:00:00 03/07/2014,      2341.0,      1
09:00:00 04/07/2014,      2412.8,      1
09:00:00 05/07/2014,      2508.4,      1
09:00:00 06/07/2014,      2592.4,      1
09:00:00 07/07/2014,      2580.9,      1
09:00:00 08/07/2014,      2559.6,      1
09:00:00 09/07/2014,      2469.3,      1
09:00:00 10/07/2014,      2497.2,      1
09:00:00 11/07/2014,      2617.5,      1
09:00:00 12/07/2014,      2582.1,      1
09:00:00 13/07/2014,      2614.9,      1
09:00:00 14/07/2014,      2547.5,      1
09:00:00 15/07/2014,      2542.0,      1
09:00:00 16/07/2014,      2540.0,      1
09:00:00 17/07/2014,      2438.0,      1
09:00:00 18/07/2014,      2601.2,      1
09:00:00 19/07/2014,      2763.5,      1
09:00:00 20/07/2014,      2827.8,      1
09:00:00 21/07/2014,      2844.9,      1
09:00:00 22/07/2014,      2894.2,      1
09:00:00 23/07/2014,      2964.0,      1
09:00:00 24/07/2014,      2973.9,      1
09:00:00 25/07/2014,      2954.7,      1
09:00:00 26/07/2014,      3154.9,      1
09:00:00 27/07/2014,      3369.9,      1
09:00:00 28/07/2014,      3467.1,      1
09:00:00 29/07/2014,      3567.7,      1
09:00:00 30/07/2014,      3487.5,      1
09:00:00 31/07/2014,      3531.7,      1
09:00:00 01/08/2014,      3403.7,      1
09:00:00 02/08/2014,      3571.7,      1
09:00:00 03/08/2014,      3604.8,      1
09:00:00 04/08/2014,      3598.7,      1
09:00:00 05/08/2014,      3632.1,      1
09:00:00 06/08/2014,      3613.2,      1
09:00:00 07/08/2014,      3574.4,      1
09:00:00 08/08/2014,      3500.3,      1
09:00:00 09/08/2014,      3272.3,      1
09:00:00 10/08/2014,      3126.5,      1
09:00:00 11/08/2014,      3325.7,      1
09:00:00 12/08/2014,      3477.8,      1
09:00:00 13/08/2014,      3372.9,      1
09:00:00 14/08/2014,      3294.7,      1
09:00:00 15/08/2014,      3277.5,      1
09:00:00 16/08/2014,      3210.3,      1
09:00:00 17/08/2014,      3155.7,      1
09:00:00 18/08/2014,      3273.3,      1
09:00:00 19/08/2014,      3186.8,      1
09:00:00 20/08/2014,      3162.6,      1
09:00:00 21/08/2014,      3226.1,      1
09:00:00 22/08/2014,      3204.4,      1
09:00:00 23/08/2014,      3272.3,      1
09:00:00 24/08/2014,      3388.6,      1
09:00:00 25/08/2014,      3468.3,      1
09:00:00 26/08/2014,      3276.2,      1
09:00:00 27/08/2014,      2980.9,      1
09:00:00 28/08/2014,      2847.3,      1
09:00:00 29/08/2014,      2739.5,      1
09:00:00 30/08/2014,      2830.5,      1
09:00:00 31/08/2014,      2945.8,      1
09:00:00 01/09/2014,      2927.4,      1
09:00:00 02/09/2014,      3171.1,      1
09:00:00 03/09/2014,      3128.6,      1
09:00:00 04/09/2014,      3663.7,      1
09:00:00 05/09/2014,      3933.1,      1
09:00:00 06/09/2014,      4051.0,      1
09:00:00 07/09/2014,      4170.8,      1
09:00:00 08/09/2014,      4075.6,      1
09:00:00 09/09/2014,      3834.1,      1
09:00:00 10/09/2014,      3573.8,      1
09:00:00 11/09/2014,      3679.8,      1
09:00:00 12/09/2014,      3776.1,      1
09:00:00 13/09/2014,      3879.7,      1
09:00:00 14/09/2014,      3651.1,      1
09:00:00 15/09/2014,      3929.1,      1
09:00:00 16/09/2014,      3996.1,      1
09:00:00 17/09/2014,      4084.4,      1
09:00:00 18/09/2014,      4373.9,      1
09:00:00 19/09/2014,      4440.0,      1
09:00:00 20/09/2014,      4453.7,      1
09:00:00 21/09/2014,      4383.3,      1
09:00:00 22/09/2014,      4349.5,      1
09:00:00 23/09/2014,      4246.3,      1
09:00:00 24/09/2014,      4798.9,      1
09:00:00 25/09/2014,      4936.0,      1
09:00:00 26/09/2014,      5159.5,      1
09:00:00 27/09/2014,      4969.9,      1
09:00:00 28/09/2014,      4553.1,      1
09:00:00 29/09/2014,      4971.2,      1
09:00:00 30/09/2014,      4811.6,      1
09:00:00 01/10/2014,      4856.9,      1
09:00:00 02/10/2014,      5173.2,      1
09:00:00 03/10/2014,      5352.4,      1
09:00:00 04/10/2014,      5382.9,      1
09:00:00 05/10/2014,      5439.3,      1
09:00:00 06/10/2014,      5452.5,      1
09:00:00 07/10/2014,      5231.8,      1
09:00:00 08/10/2014,      5268.1,      1
09:00:00 09/10/2014,      5298.7,      1
09:00:00 10/10/2014,      5186.4,      1
09:00:00 11/10/2014,      5173.6,      1
09:00:00 12/10/2014,      4560.1,      1
09:00:00 13/10/2014,      4497.6,      1
09:00:00 14/10/2014,      4540.0,      1
09:00:00 15/10/2014,      5019.5,      1
09:00:00 16/10/2014,      6229.8,      1
09:00:00 17/10/2014,      7295.2,      1
09:00:00 18/10/2014,      6981.2,      1
09:00:00 19/10/2014,      6884.3,      1
09:00:00 20/10/2014,      6957.0,      1
09:00:00 21/10/2014,      6900.0,      1
09:00:00 22/10/2014,      6955.6,      1
09:00:00 23/10/2014,      7014.1,      1
09:00:00 24/10/2014,      7175.1,      1
09:00:00 25/10/2014,      7045.4,      1
09:00:00 26/10/2014,      7067.3,      1
09:00:00 27/10/2014,      6908.1,      1
09:00:00 28/10/2014,      6945.2,      1
09:00:00 29/10/2014,      6897.9,      1
09:00:00 30/10/2014,      7631.2,      1
09:00:00 31/10/2014,      8613.6,      1
09:00:00 01/11/2014,      8863.1,      1
09:00:00 02/11/2014,      8773.1,      1
09:00:00 03/11/2014,      8098.9,      1
09:00:00 04/11/2014,      7359.3,      1
09:00:00 05/11/2014,      7063.0,      1
09:00:00 06/11/2014,      6821.7,      1
09:00:00 07/11/2014,      6310.9,      1
09:00:00 08/11/2014,      6042.0,      1
09:00:00 09/11/2014,      5785.3,      1
09:00:00 10/11/2014,      5582.0,      1
09:00:00 11/11/2014,      5619.7,      1
09:00:00 12/11/2014,      5333.3,      1
09:00:00 13/11/2014,      4963.6,      1
09:00:00 14/11/2014,      4720.5,      1
09:00:00 15/11/2014,      4638.9,      1
09:00:00 16/11/2014,      4338.9,      1
09:00:00 17/11/2014,      4234.3,      1
09:00:00 18/11/2014,      4231.9,      1
09:00:00 19/11/2014,      4659.6,      1
09:00:00 20/11/2014,      4802.8,      1
09:00:00 21/11/2014,      5051.6,      1
09:00:00 22/11/2014,      5178.9,      1
09:00:00 23/11/2014,      5099.3,      1
09:00:00 24/11/2014,      5084.9,      1
09:00:00 25/11/2014,      5326.8,      1
09:00:00 26/11/2014,      5357.2,      1
09:00:00 27/11/2014,      5509.9,      1
09:00:00 28/11/2014,      5572.4,      1
09:00:00 29/11/2014,      5481.2,      1
09:00:00 30/11/2014,      5388.5,      1
09:00:00 01/12/2014,      5419.1,      1
09:00:00 02/12/2014,      5516.5,      1
09:00:00 03/12/2014,      5528.7,      1
09:00:00 04/12/2014,      5605.5,      1
09:00:00 05/12/2014,      5657.8,      1
09:00:00 06/12/2014,      5310.8,      1
09:00:00 07/12/2014,      5168.0,      1
09:00:00 08/12/2014,      5182.7,      1
09:00:00 09/12/2014,      5358.0,      1
09:00:00 10/12/2014,      5340.5,      1
09:00:00 11/12/2014,      5319.0,      1
09:00:00 12/12/2014,      5315.5,      1
09:00:00 13/12/2014,      5308.3,      1
09:00:00 14/12/2014,      5261.3,      1
09:00:00 15/12/2014,      5332.2,      1
09:00:00 16/12/2014,      5325.8,      1
09:00:00 17/12/2014,      5288.0,      1
09:00:00 18/12/2014,      5328.2,      1
09:00:00 19/12/2014,      5342.4,      1
09:00:00 20/12/2014,      5337.8,      1
09:00:00 21/12/2014,      5345.0,      1
09:00:00 22/12/2014,      5375.1,      1
09:00:00 23/12/2014,      5311.2,      1
09:00:00 24/12/2014,      5273.5,      1
09:00:00 25/12/2014,      5308.7,      1
09:00:00 26/12/2014,      5372.9,      1
09:00:00 27/12/2014,      5407.1,      1
09:00:00 28/12/2014,      5317.2,      1
09:00:00 29/12/2014,      5215.6,      1
09:00:00 30/12/2014,      5195.7,      1
09:00:00 31/12/2014,      5257.6,      1
09:00:00 01/01/2015,      5309.9,      1
09:00:00 02/01/2015,      5394.6,      1
09:00:00 03/01/2015,      5365.3,      1
09:00:00 04/01/2015,      5268.7,      1
09:00:00 05/01/2015,      5341.5,      1
09:00:00 06/01/2015,      5301.7,      1
09:00:00 07/01/2015,      5186.8,      1
09:00:00 08/01/2015,      5184.1,      1
09:00:00 09/01/2015,      5219.0,      1
09:00:00 10/01/2015,      5391.6,      1
09:00:00 11/01/2015,      5396.8,      1
09:00:00 12/01/2015,      5358.0,      1
09:00:00 13/01/2015,      5256.3,      1
09:00:00 14/01/2015,      5284.0,      1
09:00:00 15/01/2015,      5346.5,      1
09:00:00 16/01/2015,      5240.6,      1
09:00:00 17/01/2015,      5285.1,      1
09:00:00 18/01/2015,      5395.7,      1
09:00:00 19/01/2015,      5457.9,      1
09:00:00 20/01/2015,      5389.6,      1
09:00:00 21/01/2015,      5341.1,      1
09:00:00 22/01/2015,      5467.6,      1
09:00:00 23/01/2015,      5460.3,      1
09:00:00 24/01/2015,      5436.0,      1
09:00:00 25/01/2015,      5472.1,      1
09:00:00 26/01/2015,      5443.9,      1
09:00:00 27/01/2015,      5396.6,      1
09:00:00 28/01/2015,      5306.5,      1
09:00:00 29/01/2015,      5262.9,      1
09:00:00 30/01/2015,      5193.1,      1
09:00:00 31/01/2015,      5154.6,      1
09:00:00 01/02/2015,      5169.4,      1
09:00:00 02/02/2015,      5094.2,      1
09:00:00 03/02/2015,      5167.1,      1
09:00:00 04/02/2015,      5265.2,      1
09:00:00 05/02/2015,      5202.2,      1
09:00:00 06/02/2015,      5137.0,      1
09:00:00 07/02/2015,      5059.5,      1
09:00:00 08/02/2015,      5125.2,      1
09:00:00 09/02/2015,      5193.5,      1
09:00:00 10/02/2015,      5231.9,      1
09:00:00 11/02/2015,      5251.5,      1
09:00:00 12/02/2015,      5349.3,      1
09:00:00 13/02/2015,      5336.7,      1
09:00:00 14/02/2015,      5237.6,      1
09:00:00 15/02/2015,      5189.8,      1
09:00:00 16/02/2015,      5276.9,      1
09:00:00 17/02/2015,      5301.6,      1
09:00:00 18/02/2015,      5259.6,      1
09:00:00 19/02/2015,      5313.4,      1
09:00:00 20/02/2015,      5426.9,      1
09:00:00 21/02/2015,      5161.0,      1
09:00:00 22/02/2015,      5037.7,      1
09:00:00 23/02/2015,      5174.8,      1
09:00:00 24/02/2015,      5221.8,      1
09:00:00 25/02/2015,      5134.2,      1
09:00:00 26/02/2015,      5172.7,      1
