"Time","A4261162",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 29/10/2015,       0.808,      1
09:00:00 30/10/2015,       0.808,      1
09:00:00 31/10/2015,       0.804,      1
09:00:00 01/11/2015,       0.809,      1
09:00:00 02/11/2015,       0.814,      1
09:00:00 03/11/2015,       0.794,      1
09:00:00 04/11/2015,       0.743,      1
09:00:00 05/11/2015,       0.814,      1
09:00:00 06/11/2015,       0.905,      1
09:00:00 07/11/2015,       0.860,      1
09:00:00 08/11/2015,       0.829,      1
09:00:00 09/11/2015,       0.814,      1
09:00:00 10/11/2015,       0.855,      1
09:00:00 11/11/2015,       0.848,      1
09:00:00 12/11/2015,       0.850,      1
09:00:00 13/11/2015,       0.902,      1
09:00:00 14/11/2015,       0.887,      1
09:00:00 15/11/2015,       0.853,      1
09:00:00 16/11/2015,       0.840,      1
09:00:00 17/11/2015,       0.798,      1
09:00:00 18/11/2015,       0.799,      1
09:00:00 19/11/2015,       0.794,      1
09:00:00 20/11/2015,       0.841,      1
09:00:00 21/11/2015,       0.873,      1
09:00:00 22/11/2015,       0.823,      1
09:00:00 23/11/2015,       0.829,      1
09:00:00 24/11/2015,       0.808,      1
09:00:00 25/11/2015,       0.757,      1
09:00:00 26/11/2015,       0.892,      1
09:00:00 27/11/2015,       0.837,      1
09:00:00 28/11/2015,       0.769,      1
09:00:00 29/11/2015,       0.766,      1
09:00:00 30/11/2015,       0.741,      1
09:00:00 01/12/2015,       0.808,      1
09:00:00 02/12/2015,       0.839,      1
09:00:00 03/12/2015,       0.746,      1
09:00:00 04/12/2015,       0.730,      1
09:00:00 05/12/2015,       0.721,      1
09:00:00 06/12/2015,       0.724,      1
09:00:00 07/12/2015,       0.722,      1
09:00:00 08/12/2015,       0.738,      1
09:00:00 09/12/2015,       0.770,      1
09:00:00 10/12/2015,       0.731,      1
09:00:00 11/12/2015,       0.760,      1
09:00:00 12/12/2015,       0.769,      1
09:00:00 13/12/2015,       0.698,      1
09:00:00 14/12/2015,       0.697,      1
09:00:00 15/12/2015,       0.712,      1
09:00:00 16/12/2015,       0.680,      1
09:00:00 17/12/2015,       0.690,      1
09:00:00 18/12/2015,       0.703,      1
09:00:00 19/12/2015,       0.705,      1
09:00:00 20/12/2015,       0.673,      1
09:00:00 21/12/2015,       0.762,      1
09:00:00 22/12/2015,       0.683,      1
09:00:00 23/12/2015,       0.701,      1
09:00:00 24/12/2015,       0.685,      1
09:00:00 25/12/2015,       0.627,      1
09:00:00 26/12/2015,       0.722,      1
09:00:00 27/12/2015,       0.710,      1
09:00:00 28/12/2015,       0.664,      1
09:00:00 29/12/2015,       0.653,      1
09:00:00 30/12/2015,       0.633,      1
09:00:00 31/12/2015,       0.602,      1
09:00:00 01/01/2016,       0.644,      1
09:00:00 02/01/2016,       0.695,      1
09:00:00 03/01/2016,       0.684,      1
09:00:00 04/01/2016,       0.665,      1
09:00:00 05/01/2016,       0.644,      1
09:00:00 06/01/2016,       0.624,      1
09:00:00 07/01/2016,       0.656,      1
09:00:00 08/01/2016,       0.639,      1
09:00:00 09/01/2016,       0.613,      1
09:00:00 10/01/2016,       0.598,      1
09:00:00 11/01/2016,       0.559,      1
09:00:00 12/01/2016,       0.589,      1
09:00:00 13/01/2016,       0.578,      1
09:00:00 14/01/2016,       0.640,      1
09:00:00 15/01/2016,       0.625,      1
09:00:00 16/01/2016,       0.598,      1
09:00:00 17/01/2016,       0.573,      1
09:00:00 18/01/2016,       0.550,      1
09:00:00 19/01/2016,       0.567,      1
09:00:00 20/01/2016,       0.522,      1
09:00:00 21/01/2016,       0.571,      1
09:00:00 22/01/2016,       0.542,      1
09:00:00 23/01/2016,       0.586,      1
09:00:00 24/01/2016,       0.589,      1
09:00:00 25/01/2016,       0.578,      1
09:00:00 26/01/2016,       0.583,      1
09:00:00 27/01/2016,       0.561,      1
09:00:00 28/01/2016,       0.618,      1
09:00:00 29/01/2016,       0.621,      1
09:00:00 30/01/2016,       0.543,      1
09:00:00 31/01/2016,       0.578,      1
09:00:00 01/02/2016,       0.591,      1
09:00:00 02/02/2016,       0.529,      1
09:00:00 03/02/2016,       0.616,      1
09:00:00 04/02/2016,       0.661,      1
09:00:00 05/02/2016,       0.650,      1
09:00:00 06/02/2016,       0.625,      1
09:00:00 07/02/2016,       0.626,      1
09:00:00 08/02/2016,       0.639,      1
09:00:00 09/02/2016,       0.620,      1
09:00:00 10/02/2016,       0.598,      1
09:00:00 11/02/2016,       0.610,      1
09:00:00 12/02/2016,       0.606,      1
09:00:00 13/02/2016,       0.574,      1
09:00:00 14/02/2016,       0.613,      1
09:00:00 15/02/2016,       0.596,      1
09:00:00 16/02/2016,       0.618,      1
09:00:00 17/02/2016,       0.606,      1
09:00:00 18/02/2016,       0.590,      1
09:00:00 19/02/2016,       0.585,      1
09:00:00 20/02/2016,       0.590,      1
09:00:00 21/02/2016,       0.582,      1
09:00:00 22/02/2016,       0.555,      1
09:00:00 23/02/2016,       0.567,      1
09:00:00 24/02/2016,       0.570,      1
09:00:00 25/02/2016,       0.579,      1
09:00:00 26/02/2016,       0.631,      1
09:00:00 27/02/2016,       0.592,      1
09:00:00 28/02/2016,       0.586,      1
09:00:00 29/02/2016,       0.584,      1
09:00:00 01/03/2016,       0.570,      1
09:00:00 02/03/2016,       0.555,      1
09:00:00 03/03/2016,       0.603,      1
09:00:00 04/03/2016,       0.590,      1
09:00:00 05/03/2016,       0.590,      1
09:00:00 06/03/2016,       0.578,      1
09:00:00 07/03/2016,       0.600,      1
09:00:00 08/03/2016,       0.589,      1
09:00:00 09/03/2016,       0.575,    150
09:00:00 10/03/2016,       0.540,    150
09:00:00 11/03/2016,       0.557,    150
09:00:00 12/03/2016,       0.560,    150
09:00:00 13/03/2016,       0.574,    150
09:00:00 14/03/2016,       0.579,    150
09:00:00 15/03/2016,       0.574,    150
09:00:00 16/03/2016,       0.554,    150
09:00:00 17/03/2016,       0.520,    150
09:00:00 18/03/2016,       0.612,    150
09:00:00 19/03/2016,       0.649,    150
09:00:00 20/03/2016,       0.533,    150
09:00:00 21/03/2016,       0.526,    150
09:00:00 22/03/2016,       0.525,    150
09:00:00 23/03/2016,       0.494,    150
09:00:00 24/03/2016,       0.539,    150
09:00:00 25/03/2016,       0.529,    150
09:00:00 26/03/2016,       0.535,    150
09:00:00 27/03/2016,       0.529,    150
09:00:00 28/03/2016,       0.516,    150
09:00:00 29/03/2016,       0.511,    150
09:00:00 30/03/2016,       0.529,    150
09:00:00 31/03/2016,       0.508,    150
09:00:00 01/04/2016,       0.493,    150
09:00:00 02/04/2016,       0.502,    150
09:00:00 03/04/2016,       0.529,    150
09:00:00 04/04/2016,       0.513,    150
09:00:00 05/04/2016,       0.486,    150
09:00:00 06/04/2016,       0.540,    150
09:00:00 07/04/2016,       0.546,    150
09:00:00 08/04/2016,       0.517,    150
09:00:00 09/04/2016,       0.522,    150
09:00:00 10/04/2016,       0.525,    150
09:00:00 11/04/2016,       0.570,    150
09:00:00 12/04/2016,       0.559,    150
09:00:00 13/04/2016,       0.551,    150
09:00:00 14/04/2016,       0.535,    150
09:00:00 15/04/2016,       0.524,    150
09:00:00 16/04/2016,       0.541,    150
09:00:00 17/04/2016,       0.554,    150
09:00:00 18/04/2016,       0.540,    150
09:00:00 19/04/2016,       0.519,    150
09:00:00 20/04/2016,       0.514,    150
09:00:00 21/04/2016,       0.529,    150
09:00:00 22/04/2016,       0.554,    150
09:00:00 23/04/2016,       0.544,    150
09:00:00 24/04/2016,       0.539,    150
09:00:00 25/04/2016,       0.518,    150
09:00:00 26/04/2016,       0.505,    150
09:00:00 27/04/2016,       0.477,    150
09:00:00 28/04/2016,       0.500,    150
09:00:00 29/04/2016,       0.505,    150
09:00:00 30/04/2016,       0.515,    150
09:00:00 01/05/2016,       0.560,    150
09:00:00 02/05/2016,       0.551,    150
09:00:00 03/05/2016,       0.515,    150
09:00:00 04/05/2016,       0.557,    150
09:00:00 05/05/2016,       0.493,    150
09:00:00 06/05/2016,       0.501,    150
09:00:00 07/05/2016,       0.528,    150
09:00:00 08/05/2016,       0.498,    150
09:00:00 09/05/2016,       0.471,    150
09:00:00 10/05/2016,       0.605,    150
09:00:00 11/05/2016,       0.597,    150
09:00:00 12/05/2016,       0.570,    150
09:00:00 13/05/2016,       0.531,    150
09:00:00 14/05/2016,       0.507,    150
09:00:00 15/05/2016,       0.509,    150
09:00:00 16/05/2016,       0.520,    150
09:00:00 17/05/2016,       0.523,    150
09:00:00 18/05/2016,       0.524,    150
09:00:00 19/05/2016,       0.528,    150
09:00:00 20/05/2016,       0.534,    150
09:00:00 21/05/2016,       0.504,    150
09:00:00 22/05/2016,       0.450,    150
09:00:00 23/05/2016,       0.516,    150
09:00:00 24/05/2016,       0.518,    150
09:00:00 25/05/2016,       0.497,    150
09:00:00 26/05/2016,       0.508,    150
09:00:00 27/05/2016,       0.546,    150
09:00:00 28/05/2016,       0.593,    150
09:00:00 29/05/2016,       0.548,    150
09:00:00 30/05/2016,       0.497,    150
09:00:00 31/05/2016,       0.488,    150
09:00:00 01/06/2016,       0.526,    150
09:00:00 02/06/2016,       0.548,    150
09:00:00 03/06/2016,       0.560,    150
09:00:00 04/06/2016,       0.576,    150
09:00:00 05/06/2016,       0.579,    150
09:00:00 06/06/2016,       0.598,    150
09:00:00 07/06/2016,       0.646,    150
09:00:00 08/06/2016,       0.586,    150
09:00:00 09/06/2016,       0.540,    150
09:00:00 10/06/2016,       0.652,    150
09:00:00 11/06/2016,       0.615,    150
09:00:00 12/06/2016,       0.613,    150
09:00:00 13/06/2016,       0.582,    150
09:00:00 14/06/2016,       0.556,    150
09:00:00 15/06/2016,       0.590,    150
09:00:00 16/06/2016,       0.563,    150
09:00:00 17/06/2016,       0.584,    150
09:00:00 18/06/2016,       0.617,    150
09:00:00 19/06/2016,       0.613,    150
09:00:00 20/06/2016,       0.623,    150
09:00:00 21/06/2016,       0.606,    150
09:00:00 22/06/2016,       0.638,    150
09:00:00 23/06/2016,       0.608,    150
09:00:00 24/06/2016,       0.682,    150
09:00:00 25/06/2016,       0.700,    150
09:00:00 26/06/2016,       0.608,    150
09:00:00 27/06/2016,       0.623,    150
09:00:00 28/06/2016,       0.639,    150
09:00:00 29/06/2016,       0.628,    150
09:00:00 30/06/2016,       0.597,    150
09:00:00 01/07/2016,       0.713,    150
09:00:00 02/07/2016,       0.643,    150
09:00:00 03/07/2016,       0.644,    150
09:00:00 04/07/2016,       0.634,    150
09:00:00 05/07/2016,       0.706,    150
09:00:00 06/07/2016,       0.707,    150
09:00:00 07/07/2016,       0.700,    150
09:00:00 08/07/2016,"",    255
09:00:00 09/07/2016,"",    255
