"Time","A4261065",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,      10.097,      1
09:00:00 02/06/2015,      10.084,      1
09:00:00 03/06/2015,      10.085,      1
09:00:00 04/06/2015,      10.083,      1
09:00:00 05/06/2015,      10.067,      1
09:00:00 06/06/2015,      10.042,      1
09:00:00 07/06/2015,      10.046,      1
09:00:00 08/06/2015,      10.048,      1
09:00:00 09/06/2015,      10.056,      1
09:00:00 10/06/2015,      10.056,      1
09:00:00 11/06/2015,      10.055,      1
09:00:00 12/06/2015,      10.057,      1
09:00:00 13/06/2015,      10.059,      1
09:00:00 14/06/2015,      10.059,      1
09:00:00 15/06/2015,      10.063,      1
09:00:00 16/06/2015,      10.076,      1
09:00:00 17/06/2015,      10.085,      1
09:00:00 18/06/2015,      10.089,      1
09:00:00 19/06/2015,      10.080,      1
09:00:00 20/06/2015,      10.074,      1
09:00:00 21/06/2015,      10.072,      1
09:00:00 22/06/2015,      10.072,      1
09:00:00 23/06/2015,      10.074,      1
09:00:00 24/06/2015,      10.070,      1
09:00:00 25/06/2015,      10.072,      1
09:00:00 26/06/2015,      10.071,      1
09:00:00 27/06/2015,      10.075,      1
09:00:00 28/06/2015,      10.075,      1
09:00:00 29/06/2015,      10.072,      1
09:00:00 30/06/2015,      10.075,      1
09:00:00 01/07/2015,      10.076,      1
09:00:00 02/07/2015,      10.092,      1
09:00:00 03/07/2015,      10.265,      1
09:00:00 04/07/2015,      10.348,      1
09:00:00 05/07/2015,      10.340,      1
09:00:00 06/07/2015,      10.329,      1
09:00:00 07/07/2015,      10.357,      1
09:00:00 08/07/2015,      10.382,      1
09:00:00 09/07/2015,      10.404,      1
09:00:00 10/07/2015,      10.446,      1
09:00:00 11/07/2015,      10.469,      1
09:00:00 12/07/2015,      10.474,      1
09:00:00 13/07/2015,      10.470,      1
09:00:00 14/07/2015,      10.476,      1
09:00:00 15/07/2015,      10.488,      1
09:00:00 16/07/2015,      10.487,      1
09:00:00 17/07/2015,      10.471,      1
09:00:00 18/07/2015,      10.414,      1
09:00:00 19/07/2015,      10.383,      1
09:00:00 20/07/2015,      10.363,      1
09:00:00 21/07/2015,      10.355,      1
09:00:00 22/07/2015,      10.346,      1
09:00:00 23/07/2015,      10.340,      1
09:00:00 24/07/2015,      10.286,      1
09:00:00 25/07/2015,      10.259,      1
09:00:00 26/07/2015,      10.257,      1
09:00:00 27/07/2015,      10.246,      1
09:00:00 28/07/2015,      10.245,      1
09:00:00 29/07/2015,      10.252,      1
09:00:00 30/07/2015,      10.259,      1
09:00:00 31/07/2015,      10.319,      1
09:00:00 01/08/2015,      10.349,      1
09:00:00 02/08/2015,      10.362,      1
09:00:00 03/08/2015,      10.367,      1
09:00:00 04/08/2015,      10.367,      1
09:00:00 05/08/2015,      10.359,      1
09:00:00 06/08/2015,      10.345,      1
09:00:00 07/08/2015,      10.341,      1
09:00:00 08/08/2015,      10.345,      1
09:00:00 09/08/2015,      10.350,      1
09:00:00 10/08/2015,      10.347,      1
09:00:00 11/08/2015,      10.335,      1
09:00:00 12/08/2015,      10.339,      1
09:00:00 13/08/2015,      10.321,      1
09:00:00 14/08/2015,      10.323,      1
09:00:00 15/08/2015,      10.329,      1
09:00:00 16/08/2015,      10.338,      1
09:00:00 17/08/2015,      10.343,      1
09:00:00 18/08/2015,      10.347,      1
09:00:00 19/08/2015,      10.334,      1
09:00:00 20/08/2015,      10.313,      1
09:00:00 21/08/2015,      10.282,      1
09:00:00 22/08/2015,      10.246,      1
09:00:00 23/08/2015,      10.227,      1
09:00:00 24/08/2015,      10.206,      1
09:00:00 25/08/2015,      10.174,      1
09:00:00 26/08/2015,      10.177,      1
09:00:00 27/08/2015,      10.193,      1
09:00:00 28/08/2015,      10.198,      1
09:00:00 29/08/2015,      10.203,      1
09:00:00 30/08/2015,      10.208,      1
09:00:00 31/08/2015,      10.218,      1
09:00:00 01/09/2015,      10.227,      1
09:00:00 02/09/2015,      10.285,      1
09:00:00 03/09/2015,      10.348,      1
09:00:00 04/09/2015,      10.366,      1
09:00:00 05/09/2015,      10.326,      1
09:00:00 06/09/2015,      10.306,      1
09:00:00 07/09/2015,"",    201
09:00:00 08/09/2015,"",    201
09:00:00 09/09/2015,"",    201
09:00:00 10/09/2015,"",    201
09:00:00 11/09/2015,"",    201
09:00:00 12/09/2015,"",    201
09:00:00 13/09/2015,"",    201
09:00:00 14/09/2015,"",    201
09:00:00 15/09/2015,"",    201
09:00:00 16/09/2015,"",    201
09:00:00 17/09/2015,"",    201
09:00:00 18/09/2015,"",    201
09:00:00 19/09/2015,"",    201
09:00:00 20/09/2015,"",    201
09:00:00 21/09/2015,"",    201
09:00:00 22/09/2015,"",    201
09:00:00 23/09/2015,"",    201
09:00:00 24/09/2015,"",    201
09:00:00 25/09/2015,"",    201
09:00:00 26/09/2015,"",    201
09:00:00 27/09/2015,"",    201
09:00:00 28/09/2015,"",    201
09:00:00 29/09/2015,"",    201
09:00:00 30/09/2015,"",    201
09:00:00 01/10/2015,      10.441,      1
09:00:00 02/10/2015,      10.450,      1
09:00:00 03/10/2015,      10.470,      1
09:00:00 04/10/2015,      10.487,      1
09:00:00 05/10/2015,      10.493,      1
09:00:00 06/10/2015,      10.508,      1
09:00:00 07/10/2015,      10.501,      1
09:00:00 08/10/2015,      10.504,      1
09:00:00 09/10/2015,      10.518,      1
09:00:00 10/10/2015,      10.541,      1
09:00:00 11/10/2015,      10.533,      1
09:00:00 12/10/2015,      10.525,      1
09:00:00 13/10/2015,      10.522,      1
09:00:00 14/10/2015,      10.499,      1
09:00:00 15/10/2015,      10.495,      1
09:00:00 16/10/2015,      10.469,      1
09:00:00 17/10/2015,      10.448,      1
09:00:00 18/10/2015,      10.450,      1
09:00:00 19/10/2015,      10.450,      1
09:00:00 20/10/2015,      10.448,      1
09:00:00 21/10/2015,      10.450,      1
09:00:00 22/10/2015,      10.449,      1
09:00:00 23/10/2015,      10.485,      1
09:00:00 24/10/2015,      10.504,      1
09:00:00 25/10/2015,      10.507,      1
09:00:00 26/10/2015,      10.508,      1
09:00:00 27/10/2015,      10.506,      1
09:00:00 28/10/2015,      10.525,      1
09:00:00 29/10/2015,      10.536,      1
09:00:00 30/10/2015,      10.497,      1
09:00:00 31/10/2015,      10.487,      1
09:00:00 01/11/2015,      10.486,      1
09:00:00 02/11/2015,      10.486,      1
09:00:00 03/11/2015,      10.483,      1
09:00:00 04/11/2015,      10.455,      1
09:00:00 05/11/2015,      10.474,      1
09:00:00 06/11/2015,      10.495,      1
09:00:00 07/11/2015,      10.461,      1
09:00:00 08/11/2015,      10.413,      1
09:00:00 09/11/2015,      10.370,      1
09:00:00 10/11/2015,      10.314,      1
09:00:00 11/11/2015,      10.240,      1
09:00:00 12/11/2015,      10.218,      1
09:00:00 13/11/2015,      10.232,      1
09:00:00 14/11/2015,      10.234,      1
09:00:00 15/11/2015,      10.235,      1
09:00:00 16/11/2015,      10.232,      1
09:00:00 17/11/2015,      10.241,      1
09:00:00 18/11/2015,      10.265,      1
09:00:00 19/11/2015,      10.268,      1
09:00:00 20/11/2015,      10.257,      1
09:00:00 21/11/2015,      10.218,      1
09:00:00 22/11/2015,      10.195,      1
09:00:00 23/11/2015,      10.172,      1
09:00:00 24/11/2015,      10.143,      1
09:00:00 25/11/2015,      10.148,      1
09:00:00 26/11/2015,      10.168,      1
09:00:00 27/11/2015,      10.139,      1
09:00:00 28/11/2015,      10.141,      1
09:00:00 29/11/2015,      10.138,      1
09:00:00 30/11/2015,      10.133,      1
09:00:00 01/12/2015,      10.152,      1
09:00:00 02/12/2015,      10.141,      1
09:00:00 03/12/2015,      10.144,      1
09:00:00 04/12/2015,      10.160,      1
09:00:00 05/12/2015,      10.172,      1
09:00:00 06/12/2015,      10.172,      1
09:00:00 07/12/2015,      10.164,      1
09:00:00 08/12/2015,      10.157,      1
09:00:00 09/12/2015,      10.161,      1
09:00:00 10/12/2015,      10.160,      1
09:00:00 11/12/2015,      10.164,      1
09:00:00 12/12/2015,      10.164,      1
09:00:00 13/12/2015,      10.167,      1
09:00:00 14/12/2015,      10.170,      1
09:00:00 15/12/2015,      10.168,      1
09:00:00 16/12/2015,      10.166,      1
09:00:00 17/12/2015,      10.207,      1
09:00:00 18/12/2015,      10.213,      1
09:00:00 19/12/2015,      10.222,      1
09:00:00 20/12/2015,      10.203,      1
09:00:00 21/12/2015,      10.136,      1
09:00:00 22/12/2015,      10.135,      1
09:00:00 23/12/2015,      10.151,      1
09:00:00 24/12/2015,      10.159,      1
09:00:00 25/12/2015,      10.167,      1
09:00:00 26/12/2015,      10.174,      1
09:00:00 27/12/2015,      10.148,      1
09:00:00 28/12/2015,      10.141,      1
09:00:00 29/12/2015,      10.146,      1
09:00:00 30/12/2015,      10.155,      1
09:00:00 31/12/2015,      10.163,      1
09:00:00 01/01/2016,      10.161,      1
09:00:00 02/01/2016,      10.164,      1
09:00:00 03/01/2016,      10.154,      1
09:00:00 04/01/2016,      10.159,      1
09:00:00 05/01/2016,      10.179,      1
09:00:00 06/01/2016,      10.205,      1
09:00:00 07/01/2016,      10.193,      1
09:00:00 08/01/2016,      10.172,      1
09:00:00 09/01/2016,      10.165,      1
09:00:00 10/01/2016,      10.157,      1
09:00:00 11/01/2016,      10.150,      1
09:00:00 12/01/2016,      10.151,      1
09:00:00 13/01/2016,      10.152,      1
09:00:00 14/01/2016,      10.165,      1
09:00:00 15/01/2016,      10.168,      1
09:00:00 16/01/2016,      10.202,      1
09:00:00 17/01/2016,      10.217,      1
09:00:00 18/01/2016,      10.226,      1
09:00:00 19/01/2016,      10.228,      1
09:00:00 20/01/2016,      10.223,      1
09:00:00 21/01/2016,      10.216,      1
09:00:00 22/01/2016,      10.218,      1
09:00:00 23/01/2016,      10.277,      1
09:00:00 24/01/2016,      10.294,      1
09:00:00 25/01/2016,      10.289,      1
09:00:00 26/01/2016,      10.278,      1
09:00:00 27/01/2016,      10.264,      1
09:00:00 28/01/2016,      10.254,      1
09:00:00 29/01/2016,      10.244,      1
09:00:00 30/01/2016,      10.265,      1
09:00:00 31/01/2016,      10.291,      1
09:00:00 01/02/2016,      10.300,      1
09:00:00 02/02/2016,      10.343,      1
09:00:00 03/02/2016,      10.358,      1
09:00:00 04/02/2016,      10.324,      1
09:00:00 05/02/2016,      10.304,      1
09:00:00 06/02/2016,      10.291,      1
09:00:00 07/02/2016,      10.278,      1
09:00:00 08/02/2016,      10.282,      1
09:00:00 09/02/2016,      10.287,      1
09:00:00 10/02/2016,      10.330,      1
09:00:00 11/02/2016,      10.356,      1
09:00:00 12/02/2016,"",    201
09:00:00 13/02/2016,"",    201
09:00:00 14/02/2016,"",    201
09:00:00 15/02/2016,"",    201
09:00:00 16/02/2016,"",    201
09:00:00 17/02/2016,      10.404,     31
09:00:00 18/02/2016,      10.410,     31
09:00:00 19/02/2016,      10.420,     31
09:00:00 20/02/2016,"",    201
