"Time","A4260519",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,       3.250,      1
09:00:00 02/06/2015,       3.245,      1
09:00:00 03/06/2015,       3.241,      1
09:00:00 04/06/2015,       3.235,      1
09:00:00 05/06/2015,       3.245,      1
09:00:00 06/06/2015,       3.215,      1
09:00:00 07/06/2015,       3.209,      1
09:00:00 08/06/2015,       3.210,      1
09:00:00 09/06/2015,       3.217,      1
09:00:00 10/06/2015,       3.225,      1
09:00:00 11/06/2015,       3.224,      1
09:00:00 12/06/2015,       3.224,      1
09:00:00 13/06/2015,       3.224,      1
09:00:00 14/06/2015,       3.224,      1
09:00:00 15/06/2015,       3.231,      1
09:00:00 16/06/2015,       3.238,      1
09:00:00 17/06/2015,       3.261,      1
09:00:00 18/06/2015,       3.255,      1
09:00:00 19/06/2015,       3.253,      1
09:00:00 20/06/2015,       3.240,      1
09:00:00 21/06/2015,       3.231,      1
09:00:00 22/06/2015,       3.217,      1
09:00:00 23/06/2015,       3.210,      1
09:00:00 24/06/2015,       3.223,      1
09:00:00 25/06/2015,       3.238,      1
09:00:00 26/06/2015,       3.236,      1
09:00:00 27/06/2015,       3.233,      1
09:00:00 28/06/2015,       3.232,      1
09:00:00 29/06/2015,       3.230,      1
09:00:00 30/06/2015,       3.230,      1
09:00:00 01/07/2015,       3.229,      1
09:00:00 02/07/2015,       3.229,      1
09:00:00 03/07/2015,       3.270,      1
09:00:00 04/07/2015,       3.390,      1
09:00:00 05/07/2015,       3.430,      1
09:00:00 06/07/2015,       3.425,      1
09:00:00 07/07/2015,       3.441,      1
09:00:00 08/07/2015,       3.447,      1
09:00:00 09/07/2015,       3.474,      1
09:00:00 10/07/2015,       3.484,      1
09:00:00 11/07/2015,       3.528,      1
09:00:00 12/07/2015,       3.552,      1
09:00:00 13/07/2015,       3.566,      1
09:00:00 14/07/2015,       3.565,      1
09:00:00 15/07/2015,       3.563,      1
09:00:00 16/07/2015,       3.579,      1
09:00:00 17/07/2015,       3.587,      1
09:00:00 18/07/2015,       3.564,      1
09:00:00 19/07/2015,       3.546,      1
09:00:00 20/07/2015,       3.523,      1
09:00:00 21/07/2015,       3.483,      1
09:00:00 22/07/2015,       3.441,      1
09:00:00 23/07/2015,       3.442,      1
09:00:00 24/07/2015,       3.442,      1
09:00:00 25/07/2015,       3.385,      1
09:00:00 26/07/2015,       3.371,      1
09:00:00 27/07/2015,       3.376,      1
09:00:00 28/07/2015,       3.349,      1
09:00:00 29/07/2015,       3.344,      1
09:00:00 30/07/2015,       3.343,      1
09:00:00 31/07/2015,       3.355,      1
09:00:00 01/08/2015,       3.407,      1
09:00:00 02/08/2015,       3.442,      1
09:00:00 03/08/2015,       3.458,      1
09:00:00 04/08/2015,       3.460,      1
09:00:00 05/08/2015,       3.472,      1
09:00:00 06/08/2015,       3.472,      1
09:00:00 07/08/2015,       3.460,      1
09:00:00 08/08/2015,       3.448,      1
09:00:00 09/08/2015,       3.438,      1
09:00:00 10/08/2015,       3.424,      1
09:00:00 11/08/2015,       3.427,      1
09:00:00 12/08/2015,       3.416,      1
09:00:00 13/08/2015,       3.433,      1
09:00:00 14/08/2015,       3.422,      1
09:00:00 15/08/2015,       3.421,      1
09:00:00 16/08/2015,       3.419,      1
09:00:00 17/08/2015,       3.416,      1
09:00:00 18/08/2015,       3.421,      1
09:00:00 19/08/2015,       3.423,      1
09:00:00 20/08/2015,       3.400,      1
09:00:00 21/08/2015,       3.380,      1
09:00:00 22/08/2015,       3.362,      1
09:00:00 23/08/2015,       3.352,      1
09:00:00 24/08/2015,       3.359,      1
09:00:00 25/08/2015,       3.366,      1
09:00:00 26/08/2015,       3.331,      1
09:00:00 27/08/2015,       3.304,      1
09:00:00 28/08/2015,       3.311,      1
09:00:00 29/08/2015,       3.314,      1
09:00:00 30/08/2015,       3.312,      1
09:00:00 31/08/2015,       3.312,      1
09:00:00 01/09/2015,       3.314,      1
09:00:00 02/09/2015,       3.325,      1
09:00:00 03/09/2015,       3.407,      1
09:00:00 04/09/2015,       3.442,      1
09:00:00 05/09/2015,       3.437,      1
09:00:00 06/09/2015,       3.420,      1
09:00:00 07/09/2015,       3.401,      1
09:00:00 08/09/2015,       3.384,      1
09:00:00 09/09/2015,       3.347,      1
09:00:00 10/09/2015,       3.319,      1
09:00:00 11/09/2015,       3.304,      1
09:00:00 12/09/2015,       3.295,      1
09:00:00 13/09/2015,       3.312,      1
09:00:00 14/09/2015,       3.319,      1
09:00:00 15/09/2015,       3.322,      1
09:00:00 16/09/2015,       3.310,      1
09:00:00 17/09/2015,       3.303,      1
09:00:00 18/09/2015,       3.348,      1
09:00:00 19/09/2015,       3.398,      1
09:00:00 20/09/2015,       3.425,      1
09:00:00 21/09/2015,       3.444,      1
09:00:00 22/09/2015,       3.476,      1
09:00:00 23/09/2015,       3.496,      1
09:00:00 24/09/2015,       3.474,      1
09:00:00 25/09/2015,       3.446,      1
09:00:00 26/09/2015,       3.411,      1
09:00:00 27/09/2015,       3.400,      1
09:00:00 28/09/2015,       3.397,      1
09:00:00 29/09/2015,       3.391,      1
09:00:00 30/09/2015,       3.381,      1
09:00:00 01/10/2015,       3.363,      1
09:00:00 02/10/2015,       3.355,      1
09:00:00 03/10/2015,       3.364,      1
09:00:00 04/10/2015,       3.369,      1
09:00:00 05/10/2015,       3.386,      1
09:00:00 06/10/2015,       3.383,      1
09:00:00 07/10/2015,       3.416,      1
09:00:00 08/10/2015,       3.410,      1
09:00:00 09/10/2015,       3.410,      1
09:00:00 10/10/2015,       3.395,      1
09:00:00 11/10/2015,       3.401,      1
09:00:00 12/10/2015,       3.412,      1
09:00:00 13/10/2015,       3.414,      1
09:00:00 14/10/2015,       3.405,      1
09:00:00 15/10/2015,       3.405,      1
09:00:00 16/10/2015,       3.392,      1
09:00:00 17/10/2015,       3.389,      1
09:00:00 18/10/2015,       3.382,      1
09:00:00 19/10/2015,       3.365,      1
09:00:00 20/10/2015,       3.354,      1
09:00:00 21/10/2015,       3.370,      1
09:00:00 22/10/2015,       3.391,      1
09:00:00 23/10/2015,       3.382,      1
09:00:00 24/10/2015,       3.349,      1
09:00:00 25/10/2015,       3.340,      1
09:00:00 26/10/2015,       3.352,      1
09:00:00 27/10/2015,       3.367,      1
09:00:00 28/10/2015,       3.357,      1
09:00:00 29/10/2015,       3.360,      1
09:00:00 30/10/2015,       3.366,      1
09:00:00 31/10/2015,       3.343,      1
09:00:00 01/11/2015,       3.341,      1
09:00:00 02/11/2015,       3.361,      1
09:00:00 03/11/2015,       3.377,      1
09:00:00 04/11/2015,       3.371,      1
09:00:00 05/11/2015,       3.467,      1
09:00:00 06/11/2015,       3.479,      1
09:00:00 07/11/2015,       3.447,      1
09:00:00 08/11/2015,       3.422,      1
09:00:00 09/11/2015,       3.391,      1
09:00:00 10/11/2015,       3.360,      1
09:00:00 11/11/2015,       3.299,      1
09:00:00 12/11/2015,       3.253,      1
09:00:00 13/11/2015,       3.233,      1
09:00:00 14/11/2015,       3.227,      1
09:00:00 15/11/2015,       3.212,      1
09:00:00 16/11/2015,       3.195,      1
09:00:00 17/11/2015,       3.203,      1
09:00:00 18/11/2015,       3.220,      1
09:00:00 19/11/2015,       3.254,      1
09:00:00 20/11/2015,       3.259,      1
09:00:00 21/11/2015,       3.293,      1
09:00:00 22/11/2015,       3.276,      1
09:00:00 23/11/2015,       3.254,      1
09:00:00 24/11/2015,       3.238,      1
09:00:00 25/11/2015,       3.230,      1
09:00:00 26/11/2015,       3.242,      1
09:00:00 27/11/2015,       3.253,      1
09:00:00 28/11/2015,       3.244,      1
09:00:00 29/11/2015,       3.235,      1
09:00:00 30/11/2015,       3.217,      1
09:00:00 01/12/2015,       3.254,      1
09:00:00 02/12/2015,       3.271,      1
09:00:00 03/12/2015,       3.265,      1
09:00:00 04/12/2015,       3.240,      1
09:00:00 05/12/2015,       3.242,      1
09:00:00 06/12/2015,       3.245,      1
09:00:00 07/12/2015,       3.248,      1
09:00:00 08/12/2015,       3.266,      1
09:00:00 09/12/2015,       3.286,      1
09:00:00 10/12/2015,       3.252,      1
09:00:00 11/12/2015,       3.242,      1
09:00:00 12/12/2015,       3.250,      1
09:00:00 13/12/2015,       3.244,      1
09:00:00 14/12/2015,       3.254,      1
09:00:00 15/12/2015,       3.261,      1
09:00:00 16/12/2015,       3.249,      1
09:00:00 17/12/2015,       3.234,      1
09:00:00 18/12/2015,       3.217,      1
09:00:00 19/12/2015,       3.216,      1
09:00:00 20/12/2015,       3.213,      1
09:00:00 21/12/2015,       3.231,      1
09:00:00 22/12/2015,       3.242,      1
09:00:00 23/12/2015,       3.241,      1
09:00:00 24/12/2015,       3.239,      1
09:00:00 25/12/2015,       3.238,      1
09:00:00 26/12/2015,       3.264,      1
09:00:00 27/12/2015,       3.285,      1
09:00:00 28/12/2015,       3.274,      1
09:00:00 29/12/2015,       3.272,      1
09:00:00 30/12/2015,       3.258,      1
09:00:00 31/12/2015,       3.239,      1
09:00:00 01/01/2016,       3.237,      1
09:00:00 02/01/2016,       3.256,      1
09:00:00 03/01/2016,       3.263,      1
09:00:00 04/01/2016,       3.256,      1
09:00:00 05/01/2016,       3.252,      1
09:00:00 06/01/2016,       3.289,      1
09:00:00 07/01/2016,       3.306,      1
09:00:00 08/01/2016,       3.302,      1
09:00:00 09/01/2016,       3.259,      1
09:00:00 10/01/2016,       3.241,      1
09:00:00 11/01/2016,       3.231,      1
09:00:00 12/01/2016,       3.236,      1
09:00:00 13/01/2016,       3.228,      1
09:00:00 14/01/2016,       3.251,      1
09:00:00 15/01/2016,       3.271,      1
09:00:00 16/01/2016,       3.262,      1
09:00:00 17/01/2016,       3.261,      1
09:00:00 18/01/2016,       3.257,      1
09:00:00 19/01/2016,       3.287,      1
09:00:00 20/01/2016,       3.279,      1
09:00:00 21/01/2016,       3.277,    150
09:00:00 22/01/2016,       3.276,    150
09:00:00 23/01/2016,       3.299,    150
09:00:00 24/01/2016,       3.319,    150
09:00:00 25/01/2016,       3.330,    150
09:00:00 26/01/2016,       3.335,    150
09:00:00 27/01/2016,       3.326,    150
09:00:00 28/01/2016,       3.321,    150
09:00:00 29/01/2016,       3.312,    150
09:00:00 30/01/2016,       3.308,    150
09:00:00 31/01/2016,       3.327,    150
09:00:00 01/02/2016,       3.333,    150
09:00:00 02/02/2016,       3.351,    150
09:00:00 03/02/2016,       3.368,    150
09:00:00 04/02/2016,       3.381,    150
09:00:00 05/02/2016,       3.371,    150
09:00:00 06/02/2016,       3.339,    150
09:00:00 07/02/2016,       3.312,    150
09:00:00 08/02/2016,       3.302,    150
09:00:00 09/02/2016,       3.311,    150
09:00:00 10/02/2016,"",    201
09:00:00 11/02/2016,       3.334,    150
09:00:00 12/02/2016,       3.372,    150
09:00:00 13/02/2016,       3.399,    150
09:00:00 14/02/2016,       3.412,    150
09:00:00 15/02/2016,       3.413,    150
09:00:00 16/02/2016,       3.407,    150
