"Time","A4260902",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,       3.108,      1
09:00:00 02/06/2015,       3.115,      1
09:00:00 03/06/2015,       3.114,      1
09:00:00 04/06/2015,       3.115,      1
09:00:00 05/06/2015,       3.097,      1
09:00:00 06/06/2015,       3.100,      1
09:00:00 07/06/2015,       3.111,      1
09:00:00 08/06/2015,       3.107,      1
09:00:00 09/06/2015,       3.101,      1
09:00:00 10/06/2015,       3.100,      1
09:00:00 11/06/2015,       3.112,      1
09:00:00 12/06/2015,       3.118,      1
09:00:00 13/06/2015,       3.121,      1
09:00:00 14/06/2015,       3.122,      1
09:00:00 15/06/2015,       3.124,      1
09:00:00 16/06/2015,       3.135,      1
09:00:00 17/06/2015,       3.140,      1
09:00:00 18/06/2015,       3.126,      1
09:00:00 19/06/2015,       3.115,      1
09:00:00 20/06/2015,       3.115,      1
09:00:00 21/06/2015,       3.109,      1
09:00:00 22/06/2015,       3.108,      1
09:00:00 23/06/2015,       3.109,      1
09:00:00 24/06/2015,       3.102,      1
09:00:00 25/06/2015,       3.100,      1
09:00:00 26/06/2015,       3.116,      1
09:00:00 27/06/2015,       3.118,      1
09:00:00 28/06/2015,       3.113,      1
09:00:00 29/06/2015,       3.113,      1
09:00:00 30/06/2015,       3.115,      1
09:00:00 01/07/2015,       3.114,      1
09:00:00 02/07/2015,       3.116,      1
09:00:00 03/07/2015,       3.104,      1
09:00:00 04/07/2015,       3.092,      1
09:00:00 05/07/2015,       3.093,      1
09:00:00 06/07/2015,       3.096,      1
09:00:00 07/07/2015,       3.093,      1
09:00:00 08/07/2015,       3.102,      1
09:00:00 09/07/2015,       3.104,      1
09:00:00 10/07/2015,       3.112,      1
09:00:00 11/07/2015,       3.115,      1
09:00:00 12/07/2015,       3.105,      1
09:00:00 13/07/2015,       3.108,      1
09:00:00 14/07/2015,       3.134,      1
09:00:00 15/07/2015,       3.137,      1
09:00:00 16/07/2015,       3.136,      1
09:00:00 17/07/2015,       3.149,      1
09:00:00 18/07/2015,       3.159,      1
09:00:00 19/07/2015,       3.162,      1
09:00:00 20/07/2015,       3.150,      1
09:00:00 21/07/2015,       3.142,      1
09:00:00 22/07/2015,       3.136,      1
09:00:00 23/07/2015,       3.119,      1
09:00:00 24/07/2015,       3.131,      1
09:00:00 25/07/2015,       3.141,      1
09:00:00 26/07/2015,       3.134,      1
09:00:00 27/07/2015,       3.126,      1
09:00:00 28/07/2015,       3.143,      1
09:00:00 29/07/2015,       3.146,      1
09:00:00 30/07/2015,       3.149,      1
09:00:00 31/07/2015,       3.139,      1
09:00:00 01/08/2015,       3.151,      1
09:00:00 02/08/2015,       3.158,      1
09:00:00 03/08/2015,       3.171,      1
09:00:00 04/08/2015,       3.161,      1
09:00:00 05/08/2015,       3.152,      1
09:00:00 06/08/2015,       3.139,      1
09:00:00 07/08/2015,       3.141,      1
09:00:00 08/08/2015,       3.136,      1
09:00:00 09/08/2015,       3.132,      1
09:00:00 10/08/2015,       3.128,      1
09:00:00 11/08/2015,       3.110,      1
09:00:00 12/08/2015,       3.106,      1
09:00:00 13/08/2015,       3.089,      1
09:00:00 14/08/2015,       3.107,      1
09:00:00 15/08/2015,       3.107,      1
09:00:00 16/08/2015,       3.109,      1
09:00:00 17/08/2015,       3.106,      1
09:00:00 18/08/2015,       3.100,      1
09:00:00 19/08/2015,       3.113,      1
09:00:00 20/08/2015,       3.117,      1
09:00:00 21/08/2015,       3.124,      1
09:00:00 22/08/2015,       3.109,      1
09:00:00 23/08/2015,       3.102,      1
09:00:00 24/08/2015,       3.087,      1
09:00:00 25/08/2015,       3.099,      1
09:00:00 26/08/2015,       3.120,      1
09:00:00 27/08/2015,       3.119,      1
09:00:00 28/08/2015,       3.101,      1
09:00:00 29/08/2015,       3.109,      1
09:00:00 30/08/2015,       3.113,      1
09:00:00 31/08/2015,       3.118,      1
09:00:00 01/09/2015,       3.120,      1
09:00:00 02/09/2015,       3.137,      1
09:00:00 03/09/2015,       3.142,      1
09:00:00 04/09/2015,       3.145,      1
09:00:00 05/09/2015,       3.159,      1
09:00:00 06/09/2015,       3.162,      1
09:00:00 07/09/2015,       3.129,      1
09:00:00 08/09/2015,       3.119,      1
09:00:00 09/09/2015,       3.106,      1
09:00:00 10/09/2015,       3.100,      1
09:00:00 11/09/2015,       3.100,      1
09:00:00 12/09/2015,       3.104,      1
09:00:00 13/09/2015,       3.116,      1
09:00:00 14/09/2015,       3.135,      1
09:00:00 15/09/2015,       3.118,      1
09:00:00 16/09/2015,       3.125,      1
09:00:00 17/09/2015,       3.122,      1
09:00:00 18/09/2015,       3.123,      1
09:00:00 19/09/2015,       3.129,      1
09:00:00 20/09/2015,       3.148,      1
09:00:00 21/09/2015,       3.158,      1
09:00:00 22/09/2015,       3.167,      1
09:00:00 23/09/2015,       3.161,      1
09:00:00 24/09/2015,       3.141,      1
09:00:00 25/09/2015,       3.128,      1
09:00:00 26/09/2015,       3.126,      1
09:00:00 27/09/2015,       3.114,      1
09:00:00 28/09/2015,       3.109,      1
09:00:00 29/09/2015,       3.099,      1
09:00:00 30/09/2015,       3.102,      1
09:00:00 01/10/2015,       3.104,      1
09:00:00 02/10/2015,       3.089,      1
09:00:00 03/10/2015,       3.089,      1
09:00:00 04/10/2015,       3.080,      1
09:00:00 05/10/2015,       3.077,      1
09:00:00 06/10/2015,       3.094,      1
09:00:00 07/10/2015,       3.065,      1
09:00:00 08/10/2015,       3.113,      1
09:00:00 09/10/2015,       3.126,      1
09:00:00 10/10/2015,       3.119,      1
09:00:00 11/10/2015,       3.118,      1
09:00:00 12/10/2015,       3.114,      1
09:00:00 13/10/2015,       3.122,      1
09:00:00 14/10/2015,       3.131,      1
09:00:00 15/10/2015,       3.141,      1
09:00:00 16/10/2015,       3.125,      1
09:00:00 17/10/2015,       3.120,      1
09:00:00 18/10/2015,       3.131,      1
09:00:00 19/10/2015,       3.141,      1
09:00:00 20/10/2015,       3.134,      1
09:00:00 21/10/2015,       3.128,      1
09:00:00 22/10/2015,       3.116,      1
09:00:00 23/10/2015,       3.133,      1
09:00:00 24/10/2015,       3.142,      1
09:00:00 25/10/2015,       3.139,      1
09:00:00 26/10/2015,       3.102,      1
09:00:00 27/10/2015,       3.104,      1
09:00:00 28/10/2015,       3.124,      1
09:00:00 29/10/2015,       3.116,      1
09:00:00 30/10/2015,       3.122,      1
09:00:00 31/10/2015,       3.131,      1
09:00:00 01/11/2015,       3.125,      1
09:00:00 02/11/2015,       3.128,      1
09:00:00 03/11/2015,       3.136,      1
09:00:00 04/11/2015,       3.162,      1
09:00:00 05/11/2015,       3.208,      1
09:00:00 06/11/2015,       3.189,      1
09:00:00 07/11/2015,       3.170,      1
09:00:00 08/11/2015,       3.167,      1
09:00:00 09/11/2015,       3.150,      1
09:00:00 10/11/2015,       3.122,      1
09:00:00 11/11/2015,       3.122,      1
09:00:00 12/11/2015,       3.122,      1
09:00:00 13/11/2015,       3.079,      1
09:00:00 14/11/2015,       3.066,      1
09:00:00 15/11/2015,       3.064,      1
09:00:00 16/11/2015,       3.066,      1
09:00:00 17/11/2015,       3.082,      1
09:00:00 18/11/2015,       3.074,      1
09:00:00 19/11/2015,       3.086,      1
09:00:00 20/11/2015,       3.078,      1
09:00:00 21/11/2015,       3.092,      1
09:00:00 22/11/2015,       3.095,      1
09:00:00 23/11/2015,       3.089,      1
09:00:00 24/11/2015,       3.088,      1
09:00:00 25/11/2015,       3.096,      1
09:00:00 26/11/2015,       3.041,      1
09:00:00 27/11/2015,       3.066,      1
09:00:00 28/11/2015,       3.101,      1
09:00:00 29/11/2015,       3.100,      1
09:00:00 30/11/2015,       3.098,      1
09:00:00 01/12/2015,       3.084,      1
09:00:00 02/12/2015,       3.102,      1
09:00:00 03/12/2015,       3.134,      1
09:00:00 04/12/2015,       3.151,      1
09:00:00 05/12/2015,       3.146,      1
09:00:00 06/12/2015,       3.150,      1
09:00:00 07/12/2015,       3.144,      1
09:00:00 08/12/2015,       3.150,      1
09:00:00 09/12/2015,       3.126,      1
09:00:00 10/12/2015,       3.101,      1
09:00:00 11/12/2015,       3.089,      1
09:00:00 12/12/2015,       3.093,      1
09:00:00 13/12/2015,       3.138,      1
09:00:00 14/12/2015,       3.144,      1
09:00:00 15/12/2015,       3.150,      1
09:00:00 16/12/2015,       3.163,      1
09:00:00 17/12/2015,       3.147,      1
09:00:00 18/12/2015,       3.125,      1
09:00:00 19/12/2015,       3.118,      1
09:00:00 20/12/2015,       3.117,      1
09:00:00 21/12/2015,       3.101,      1
09:00:00 22/12/2015,       3.123,      1
09:00:00 23/12/2015,       3.118,      1
09:00:00 24/12/2015,       3.129,      1
09:00:00 25/12/2015,       3.154,      1
09:00:00 26/12/2015,       3.137,      1
09:00:00 27/12/2015,       3.140,      1
09:00:00 28/12/2015,       3.165,      1
09:00:00 29/12/2015,       3.172,      1
09:00:00 30/12/2015,       3.169,      1
09:00:00 31/12/2015,       3.150,      1
09:00:00 01/01/2016,       3.128,      1
09:00:00 02/01/2016,       3.103,      1
09:00:00 03/01/2016,       3.106,      1
09:00:00 04/01/2016,       3.118,      1
09:00:00 05/01/2016,       3.139,      1
09:00:00 06/01/2016,       3.127,      1
09:00:00 07/01/2016,       3.113,      1
09:00:00 08/01/2016,       3.111,      1
09:00:00 09/01/2016,       3.123,      1
09:00:00 10/01/2016,       3.113,      1
09:00:00 11/01/2016,       3.108,      1
09:00:00 12/01/2016,       3.088,      1
09:00:00 13/01/2016,       3.108,      1
09:00:00 14/01/2016,       3.084,      1
09:00:00 15/01/2016,       3.095,      1
09:00:00 16/01/2016,       3.121,      1
09:00:00 17/01/2016,       3.131,      1
09:00:00 18/01/2016,       3.139,      1
09:00:00 19/01/2016,       3.141,      1
09:00:00 20/01/2016,       3.131,    150
09:00:00 21/01/2016,       3.099,    150
09:00:00 22/01/2016,       3.118,    150
09:00:00 23/01/2016,       3.111,    150
09:00:00 24/01/2016,       3.118,    150
09:00:00 25/01/2016,       3.126,    150
09:00:00 26/01/2016,       3.137,    150
09:00:00 27/01/2016,       3.153,    150
09:00:00 28/01/2016,       3.124,    150
09:00:00 29/01/2016,       3.102,    150
09:00:00 30/01/2016,       3.110,    150
09:00:00 31/01/2016,       3.121,    150
09:00:00 01/02/2016,       3.122,    150
09:00:00 02/02/2016,       3.128,    150
09:00:00 03/02/2016,       3.080,    150
09:00:00 04/02/2016,       3.086,    150
09:00:00 05/02/2016,       3.090,    150
09:00:00 06/02/2016,       3.101,    150
09:00:00 07/02/2016,       3.085,    150
09:00:00 08/02/2016,       3.049,    150
09:00:00 09/02/2016,       3.071,    150
09:00:00 10/02/2016,       3.104,    150
09:00:00 11/02/2016,       3.094,    150
09:00:00 12/02/2016,       3.104,    150
09:00:00 13/02/2016,       3.123,    150
09:00:00 14/02/2016,       3.109,    150
09:00:00 15/02/2016,       3.118,    150
