Time,A4260517,
and,Discharge (Ml/day),
Date,Mean,Qual
09:00:00 01/06/2015,,255
09:00:00 02/06/2015,3633,25
09:00:00 03/06/2015,3597,25
09:00:00 04/06/2015,3583,25
09:00:00 05/06/2015,3478.5,25
09:00:00 06/06/2015,3163.5,25
09:00:00 07/06/2015,2939,25
09:00:00 08/06/2015,3003,25
09:00:00 09/06/2015,3113.5,25
09:00:00 10/06/2015,3146.5,25
09:00:00 11/06/2015,3126.5,25
09:00:00 12/06/2015,3126.5,25
09:00:00 13/06/2015,3160,25
09:00:00 14/06/2015,3207,25
09:00:00 15/06/2015,3247.5,25
09:00:00 16/06/2015,3268,25
09:00:00 17/06/2015,3303,25
09:00:00 18/06/2015,3352,25
09:00:00 19/06/2015,3337.5,25
09:00:00 20/06/2015,3323.5,25
09:00:00 21/06/2015,3310,25
09:00:00 22/06/2015,3295.5,25
09:00:00 23/06/2015,3288.5,25
09:00:00 24/06/2015,3268,25
09:00:00 25/06/2015,3281.5,25
09:00:00 26/06/2015,3302,25
09:00:00 27/06/2015,3309,25
09:00:00 28/06/2015,3323.5,25
09:00:00 29/06/2015,3323.5,25
09:00:00 30/06/2015,3295.5,25
09:00:00 01/07/2015,,255
09:00:00 02/07/2015,3345,25
09:00:00 03/07/2015,4117,25
09:00:00 04/07/2015,6198,25
09:00:00 05/07/2015,7469.5,25
09:00:00 06/07/2015,7427.5,25
09:00:00 07/07/2015,7579.5,25
09:00:00 08/07/2015,7808,25
09:00:00 09/07/2015,8199,25
09:00:00 10/07/2015,8719,25
09:00:00 11/07/2015,8993.5,25
09:00:00 12/07/2015,9112.5,25
09:00:00 13/07/2015,9093.5,25
09:00:00 14/07/2015,9093.5,25
09:00:00 15/07/2015,9323.5,25
09:00:00 16/07/2015,9507,25
09:00:00 17/07/2015,9449,25
09:00:00 18/07/2015,9037,25
09:00:00 19/07/2015,8567.5,25
09:00:00 20/07/2015,8268.5,25
09:00:00 21/07/2015,7873.5,25
09:00:00 22/07/2015,7392,25
09:00:00 23/07/2015,7205,25
09:00:00 24/07/2015,7100,25
09:00:00 25/07/2015,6288.5,25
09:00:00 26/07/2015,5739,25
09:00:00 27/07/2015,5782.5,25
09:00:00 28/07/2015,5533.5,25
09:00:00 29/07/2015,5460,25
09:00:00 30/07/2015,5615.5,25
09:00:00 31/07/2015,,255
09:00:00 01/08/2015,,255
09:00:00 02/08/2015,7227,25
09:00:00 03/08/2015,7323,25
09:00:00 04/08/2015,7359,25
09:00:00 05/08/2015,7516.5,25
09:00:00 06/08/2015,7547.5,25
09:00:00 07/08/2015,7450.5,25
09:00:00 08/08/2015,7415.5,25
09:00:00 09/08/2015,7398,25
09:00:00 10/08/2015,7337.5,25
09:00:00 11/08/2015,7210,25
09:00:00 12/08/2015,7176,25
09:00:00 13/08/2015,7167.5,25
09:00:00 14/08/2015,7142,25
09:00:00 15/08/2015,7167,25
09:00:00 16/08/2015,7192.5,25
09:00:00 17/08/2015,7184.5,25
09:00:00 18/08/2015,7209.5,25
09:00:00 19/08/2015,7251.5,25
09:00:00 20/08/2015,6990.5,25
09:00:00 21/08/2015,6729.5,25
09:00:00 22/08/2015,6361.5,25
09:00:00 23/08/2015,5928.5,25
09:00:00 24/08/2015,5855,25
09:00:00 25/08/2015,5661,25
09:00:00 26/08/2015,5221.5,25
09:00:00 27/08/2015,5000,25
09:00:00 28/08/2015,5072,25
09:00:00 29/08/2015,5209,25
09:00:00 30/08/2015,5225.5,25
09:00:00 31/08/2015,5209.5,25
09:00:00 01/09/2015,,255
09:00:00 02/09/2015,5517.5,25
09:00:00 03/09/2015,6274.5,25
09:00:00 04/09/2015,7285.5,25
09:00:00 05/09/2015,7552.5,25
09:00:00 06/09/2015,7335.5,25
09:00:00 07/09/2015,7112,25
09:00:00 08/09/2015,6722.5,25
09:00:00 09/09/2015,6321.5,25
09:00:00 10/09/2015,6218.5,25
09:00:00 11/09/2015,6341,25
09:00:00 12/09/2015,6464,25
09:00:00 13/09/2015,6431.5,25
09:00:00 14/09/2015,6341.5,25
09:00:00 15/09/2015,6309,25
09:00:00 16/09/2015,6309,25
09:00:00 17/09/2015,6424,25
09:00:00 18/09/2015,7000,25
09:00:00 19/09/2015,8077,25
09:00:00 20/09/2015,8746.5,25
09:00:00 21/09/2015,8790.5,25
09:00:00 22/09/2015,8974.5,25
09:00:00 23/09/2015,9177.5,25
09:00:00 24/09/2015,9160.5,25
09:00:00 25/09/2015,9069.5,25
09:00:00 26/09/2015,8755,25
09:00:00 27/09/2015,8522,25
09:00:00 28/09/2015,8707,25
09:00:00 29/09/2015,8805,25
09:00:00 30/09/2015,8687,25
09:00:00 01/10/2015,,255
09:00:00 02/10/2015,8557,25
09:00:00 03/10/2015,8638,25
09:00:00 04/10/2015,8819.5,25
09:00:00 05/10/2015,8902,25
09:00:00 06/10/2015,8911,25
09:00:00 07/10/2015,8901.5,25
09:00:00 08/10/2015,8928.5,25
09:00:00 09/10/2015,9038,25
09:00:00 10/10/2015,9331.5,25
09:00:00 11/10/2015,9512.5,25
09:00:00 12/10/2015,9388,25
09:00:00 13/10/2015,9254.5,25
09:00:00 14/10/2015,9130.5,25
09:00:00 15/10/2015,8946,25
09:00:00 16/10/2015,8764.5,25
09:00:00 17/10/2015,8494,25
09:00:00 18/10/2015,8235.5,25
09:00:00 19/10/2015,8184,25
09:00:00 20/10/2015,8210,25
09:00:00 21/10/2015,8193,25
09:00:00 22/10/2015,8158.5,25
09:00:00 23/10/2015,8167,25
09:00:00 24/10/2015,8407,25
09:00:00 25/10/2015,8665,25
09:00:00 26/10/2015,8774,25
09:00:00 27/10/2015,8841.5,25
09:00:00 28/10/2015,8874.5,25
09:00:00 29/10/2015,9035.5,25
09:00:00 30/10/2015,9026,25
09:00:00 31/10/2015,8400,25
09:00:00 01/11/2015,8045,25
09:00:00 02/11/2015,8175,25
09:00:00 03/11/2015,8247,25
09:00:00 04/11/2015,8528,25
09:00:00 05/11/2015,8773.5,25
09:00:00 06/11/2015,8864.5,25
09:00:00 07/11/2015,8765,25
09:00:00 08/11/2015,8429,25
09:00:00 09/11/2015,8030,25
09:00:00 10/11/2015,7439,25
09:00:00 11/11/2015,6249,25
09:00:00 12/11/2015,5219,25
09:00:00 13/11/2015,4779,25
09:00:00 14/11/2015,4445.5,25
09:00:00 15/11/2015,4362,25
09:00:00 16/11/2015,4450,25
09:00:00 17/11/2015,4578.5,25
09:00:00 18/11/2015,4717,25
09:00:00 19/11/2015,4871,25
09:00:00 20/11/2015,5053,25
09:00:00 21/11/2015,4955.5,25
09:00:00 22/11/2015,4812.5,25
09:00:00 23/11/2015,4768.5,25
09:00:00 24/11/2015,4430.5,25
09:00:00 25/11/2015,4151.5,25
09:00:00 26/11/2015,4130,25
09:00:00 27/11/2015,4034,25
09:00:00 28/11/2015,3807,25
09:00:00 29/11/2015,3683,25
09:00:00 30/11/2015,3740.5,25
09:00:00 01/12/2015,3769.5,25
09:00:00 02/12/2015,3704.5,25
09:00:00 03/12/2015,3690,25
09:00:00 04/12/2015,3828,25
09:00:00 05/12/2015,4028.5,25
09:00:00 06/12/2015,4142.5,25
09:00:00 07/12/2015,4158,25
09:00:00 08/12/2015,4074,25
09:00:00 09/12/2015,3945.5,25
09:00:00 10/12/2015,3930.5,25
09:00:00 11/12/2015,3975,25
09:00:00 12/12/2015,3938,25
09:00:00 13/12/2015,3945.5,25
09:00:00 14/12/2015,4074,25
09:00:00 15/12/2015,4174,25
09:00:00 16/12/2015,4384,25
09:00:00 17/12/2015,4656,25
09:00:00 18/12/2015,4780.5,25
09:00:00 19/12/2015,4796,25
09:00:00 20/12/2015,4748.5,25
09:00:00 21/12/2015,4470.5,25
09:00:00 22/12/2015,4047.5,25
09:00:00 23/12/2015,3871,25
09:00:00 24/12/2015,,25
09:00:00 25/12/2015,,25
09:00:00 26/12/2015,3855.175,200
09:00:00 27/12/2015,4070.7,200
09:00:00 28/12/2015,4123.55,200
09:00:00 29/12/2015,4312.4,200
09:00:00 30/12/2015,4301.725,200
09:00:00 31/12/2015,4113.375,200
09:00:00 01/01/2016,3936.225,200
09:00:00 02/01/2016,3896.8,200
09:00:00 03/01/2016,4048.45,200
09:00:00 04/01/2016,4194.575,200
09:00:00 05/01/2016,4372.625,200
09:00:00 06/01/2016,4572.575,200
09:00:00 07/01/2016,4770.575,200
09:00:00 08/01/2016,4624.825,200
09:00:00 09/01/2016,4375.25,200
09:00:00 10/01/2016,4263.925,200
09:00:00 11/01/2016,4220.675,200
09:00:00 12/01/2016,4209.5,200
09:00:00 13/01/2016,4030.475,200
09:00:00 14/01/2016,4089.1,200
09:00:00 15/01/2016,4368.825,200
09:00:00 16/01/2016,4462.8,200
09:00:00 17/01/2016,4563.625,200
09:00:00 18/01/2016,4803.6,200
09:00:00 19/01/2016,5029.25,200
09:00:00 20/01/2016,4989.8,200
09:00:00 21/01/2016,5088,200
09:00:00 22/01/2016,5164.65,200
09:00:00 23/01/2016,5297.5,200
09:00:00 24/01/2016,5429.8,200
09:00:00 25/01/2016,5493.3,200
09:00:00 26/01/2016,5472.875,200
09:00:00 27/01/2016,5590.375,200
09:00:00 28/01/2016,5600.675,200
09:00:00 29/01/2016,5484.95,200
09:00:00 30/01/2016,5651.675,200
09:00:00 31/01/2016,5783.525,200
09:00:00 01/02/2016,6167.95,200
09:00:00 02/02/2016,6570.2,200
09:00:00 03/02/2016,6677.675,200
09:00:00 04/02/2016,6778.125,200
09:00:00 05/02/2016,6747.375,200
09:00:00 06/02/2016,6623.55,200
09:00:00 07/02/2016,6398.075,200
09:00:00 08/02/2016,6110.7,200
09:00:00 09/02/2016,6175.65,200
09:00:00 10/02/2016,6480,200
09:00:00 11/02/2016,,255
09:00:00 12/02/2016,7470.5,25
09:00:00 13/02/2016,8106.5,25
09:00:00 14/02/2016,8255.5,25
09:00:00 15/02/2016,8028.5,25
09:00:00 16/02/2016,7746,25
09:00:00 17/02/2016,7588,25
09:00:00 18/02/2016,7619,25
09:00:00 19/02/2016,7761.5,25
09:00:00 20/02/2016,7998.5,25
09:00:00 21/02/2016,8015,25
09:00:00 22/02/2016,7990,25
09:00:00 23/02/2016,8091.5,25
09:00:00 24/02/2016,8116.5,25
09:00:00 25/02/2016,8066,25
09:00:00 26/02/2016,8007,25
09:00:00 27/02/2016,8007,25
09:00:00 28/02/2016,8041,25
09:00:00 29/02/2016,8007,25
09:00:00 01/03/2016,7931,25
09:00:00 02/03/2016,7696,25
09:00:00 03/03/2016,7378,25
09:00:00 04/03/2016,6969.5,25
09:00:00 05/03/2016,6315,25
09:00:00 06/03/2016,5871,25
