"Time","A4260528",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,       6.217,      1
09:00:00 02/06/2015,       6.202,      1
09:00:00 03/06/2015,       6.198,      1
09:00:00 04/06/2015,       6.195,      1
09:00:00 05/06/2015,       6.214,      1
09:00:00 06/06/2015,       6.198,      1
09:00:00 07/06/2015,       6.192,      1
09:00:00 08/06/2015,       6.195,      1
09:00:00 09/06/2015,       6.205,      1
09:00:00 10/06/2015,       6.202,      1
09:00:00 11/06/2015,       6.194,      1
09:00:00 12/06/2015,       6.194,      1
09:00:00 13/06/2015,       6.194,      1
09:00:00 14/06/2015,       6.194,      1
09:00:00 15/06/2015,       6.203,      1
09:00:00 16/06/2015,       6.211,      1
09:00:00 17/06/2015,       6.216,      1
09:00:00 18/06/2015,       6.215,      1
09:00:00 19/06/2015,       6.214,      1
09:00:00 20/06/2015,       6.205,      1
09:00:00 21/06/2015,       6.200,      1
09:00:00 22/06/2015,       6.193,      1
09:00:00 23/06/2015,       6.189,      1
09:00:00 24/06/2015,       6.199,      1
09:00:00 25/06/2015,       6.205,      1
09:00:00 26/06/2015,       6.202,      1
09:00:00 27/06/2015,       6.197,      1
09:00:00 28/06/2015,       6.196,      1
09:00:00 29/06/2015,       6.193,      1
09:00:00 30/06/2015,       6.194,      1
09:00:00 01/07/2015,       6.195,      1
09:00:00 02/07/2015,       6.199,      1
09:00:00 03/07/2015,       6.217,      1
09:00:00 04/07/2015,       6.284,      1
09:00:00 05/07/2015,       6.289,      1
09:00:00 06/07/2015,       6.281,      1
09:00:00 07/07/2015,       6.286,      1
09:00:00 08/07/2015,       6.286,      1
09:00:00 09/07/2015,       6.296,      1
09:00:00 10/07/2015,       6.312,      1
09:00:00 11/07/2015,       6.349,      1
09:00:00 12/07/2015,       6.371,      1
09:00:00 13/07/2015,       6.372,      1
09:00:00 14/07/2015,       6.354,      1
09:00:00 15/07/2015,       6.359,      1
09:00:00 16/07/2015,       6.363,      1
09:00:00 17/07/2015,       6.366,      1
09:00:00 18/07/2015,       6.352,      1
09:00:00 19/07/2015,       6.326,      1
09:00:00 20/07/2015,       6.310,      1
09:00:00 21/07/2015,       6.289,      1
09:00:00 22/07/2015,       6.280,      1
09:00:00 23/07/2015,       6.286,      1
09:00:00 24/07/2015,       6.274,      1
09:00:00 25/07/2015,       6.261,      1
09:00:00 26/07/2015,       6.261,      1
09:00:00 27/07/2015,       6.253,      1
09:00:00 28/07/2015,       6.231,      1
09:00:00 29/07/2015,       6.229,      1
09:00:00 30/07/2015,       6.233,      1
09:00:00 31/07/2015,       6.252,      1
09:00:00 01/08/2015,       6.273,      1
09:00:00 02/08/2015,       6.291,      1
09:00:00 03/08/2015,       6.308,      1
09:00:00 04/08/2015,       6.307,      1
09:00:00 05/08/2015,       6.312,      1
09:00:00 06/08/2015,       6.310,      1
09:00:00 07/08/2015,       6.296,      1
09:00:00 08/08/2015,       6.288,      1
09:00:00 09/08/2015,       6.282,      1
09:00:00 10/08/2015,       6.280,      1
09:00:00 11/08/2015,       6.290,      1
09:00:00 12/08/2015,       6.287,    150
09:00:00 13/08/2015,       6.282,    150
09:00:00 14/08/2015,       6.272,    150
09:00:00 15/08/2015,       6.270,    150
09:00:00 16/08/2015,       6.267,    150
09:00:00 17/08/2015,       6.269,    150
09:00:00 18/08/2015,       6.278,    150
09:00:00 19/08/2015,       6.270,    150
09:00:00 20/08/2015,       6.259,    150
09:00:00 21/08/2015,       6.249,    150
09:00:00 22/08/2015,       6.248,    150
09:00:00 23/08/2015,       6.237,    150
09:00:00 24/08/2015,       6.225,    150
09:00:00 25/08/2015,       6.227,    150
09:00:00 26/08/2015,       6.220,    150
09:00:00 27/08/2015,       6.220,    150
09:00:00 28/08/2015,       6.219,    150
09:00:00 29/08/2015,       6.218,    150
09:00:00 30/08/2015,       6.217,    150
09:00:00 31/08/2015,       6.219,    150
09:00:00 01/09/2015,       6.233,    150
09:00:00 02/09/2015,       6.257,    150
09:00:00 03/09/2015,       6.279,    150
09:00:00 04/09/2015,       6.289,    150
09:00:00 05/09/2015,       6.299,    150
09:00:00 06/09/2015,       6.297,    150
09:00:00 07/09/2015,       6.294,    150
09:00:00 08/09/2015,       6.293,    150
09:00:00 09/09/2015,       6.291,    150
09:00:00 10/09/2015,       6.300,    150
09:00:00 11/09/2015,       6.329,    150
09:00:00 12/09/2015,       6.366,    150
09:00:00 13/09/2015,       6.382,    150
09:00:00 14/09/2015,       6.384,    150
09:00:00 15/09/2015,       6.414,    150
09:00:00 16/09/2015,       6.415,    150
09:00:00 17/09/2015,       6.444,    150
09:00:00 18/09/2015,       6.489,    150
09:00:00 19/09/2015,       6.535,    150
09:00:00 20/09/2015,       6.563,    150
09:00:00 21/09/2015,       6.579,    150
09:00:00 22/09/2015,       6.607,    150
09:00:00 23/09/2015,       6.619,    150
09:00:00 24/09/2015,       6.623,    150
09:00:00 25/09/2015,       6.627,    150
09:00:00 26/09/2015,       6.629,    150
09:00:00 27/09/2015,       6.639,    150
09:00:00 28/09/2015,       6.646,    150
09:00:00 29/09/2015,       6.660,    150
09:00:00 30/09/2015,       6.670,    150
09:00:00 01/10/2015,       6.680,    150
09:00:00 02/10/2015,       6.695,    150
09:00:00 03/10/2015,       6.712,    150
09:00:00 04/10/2015,       6.730,    150
09:00:00 05/10/2015,       6.742,    150
09:00:00 06/10/2015,       6.745,    150
09:00:00 07/10/2015,       6.770,    150
09:00:00 08/10/2015,       6.747,    150
09:00:00 09/10/2015,       6.753,    150
09:00:00 10/10/2015,       6.770,    150
09:00:00 11/10/2015,       6.777,    150
09:00:00 12/10/2015,       6.778,    150
09:00:00 13/10/2015,       6.776,    150
09:00:00 14/10/2015,       6.768,    150
09:00:00 15/10/2015,       6.755,    150
09:00:00 16/10/2015,       6.756,    150
09:00:00 17/10/2015,       6.749,    150
09:00:00 18/10/2015,       6.740,    150
09:00:00 19/10/2015,       6.729,    150
09:00:00 20/10/2015,       6.731,    150
09:00:00 21/10/2015,       6.751,    150
09:00:00 22/10/2015,       6.763,    150
09:00:00 23/10/2015,       6.746,    150
09:00:00 24/10/2015,       6.743,    150
09:00:00 25/10/2015,       6.743,    150
09:00:00 26/10/2015,       6.767,    150
09:00:00 27/10/2015,       6.756,    150
09:00:00 28/10/2015,       6.749,    150
09:00:00 29/10/2015,       6.754,    150
09:00:00 30/10/2015,       6.751,    150
09:00:00 31/10/2015,       6.738,    150
09:00:00 01/11/2015,       6.739,    150
09:00:00 02/11/2015,       6.752,    150
09:00:00 03/11/2015,       6.761,    150
09:00:00 04/11/2015,       6.760,    150
09:00:00 05/11/2015,       6.781,    150
09:00:00 06/11/2015,       6.769,    150
09:00:00 07/11/2015,       6.739,    150
09:00:00 08/11/2015,       6.714,    150
09:00:00 09/11/2015,       6.689,    150
09:00:00 10/11/2015,       6.657,    150
09:00:00 11/11/2015,       6.601,    150
09:00:00 12/11/2015,       6.556,    150
09:00:00 13/11/2015,       6.542,    150
09:00:00 14/11/2015,       6.516,    150
09:00:00 15/11/2015,       6.494,    150
09:00:00 16/11/2015,       6.487,    150
09:00:00 17/11/2015,       6.481,    150
09:00:00 18/11/2015,       6.469,    150
09:00:00 19/11/2015,       6.451,    150
09:00:00 20/11/2015,       6.431,    150
09:00:00 21/11/2015,       6.413,    150
09:00:00 22/11/2015,       6.380,    150
09:00:00 23/11/2015,       6.362,    150
09:00:00 24/11/2015,       6.337,    150
09:00:00 25/11/2015,       6.306,    150
09:00:00 26/11/2015,       6.333,    150
09:00:00 27/11/2015,       6.286,    150
09:00:00 28/11/2015,       6.241,    150
09:00:00 29/11/2015,       6.226,    150
09:00:00 30/11/2015,       6.215,    150
09:00:00 01/12/2015,       6.222,    150
09:00:00 02/12/2015,       6.208,    150
09:00:00 03/12/2015,       6.185,    150
09:00:00 04/12/2015,       6.187,    150
09:00:00 05/12/2015,       6.205,    150
09:00:00 06/12/2015,       6.213,    150
09:00:00 07/12/2015,       6.217,    150
09:00:00 08/12/2015,       6.237,    150
09:00:00 09/12/2015,       6.242,    150
09:00:00 10/12/2015,       6.213,    150
09:00:00 11/12/2015,       6.217,    150
09:00:00 12/12/2015,       6.218,    150
09:00:00 13/12/2015,       6.199,    150
09:00:00 14/12/2015,       6.211,    150
09:00:00 15/12/2015,       6.211,    150
09:00:00 16/12/2015,       6.216,    150
09:00:00 17/12/2015,       6.215,    150
09:00:00 18/12/2015,       6.218,    150
09:00:00 19/12/2015,       6.227,    150
09:00:00 20/12/2015,       6.223,    150
09:00:00 21/12/2015,       6.231,    150
09:00:00 22/12/2015,       6.201,    150
09:00:00 23/12/2015,       6.194,    150
09:00:00 24/12/2015,       6.204,    150
09:00:00 25/12/2015,       6.210,    150
09:00:00 26/12/2015,       6.233,    150
09:00:00 27/12/2015,       6.237,    150
09:00:00 28/12/2015,       6.211,    150
09:00:00 29/12/2015,       6.210,    150
09:00:00 30/12/2015,       6.208,    150
09:00:00 31/12/2015,       6.214,    150
09:00:00 01/01/2016,       6.225,    150
09:00:00 02/01/2016,       6.240,    150
09:00:00 03/01/2016,       6.235,    150
09:00:00 04/01/2016,       6.226,    150
09:00:00 05/01/2016,       6.223,    150
09:00:00 06/01/2016,       6.237,    150
09:00:00 07/01/2016,       6.253,    150
09:00:00 08/01/2016,       6.239,    150
09:00:00 09/01/2016,       6.224,    150
09:00:00 10/01/2016,       6.222,    150
09:00:00 11/01/2016,       6.223,    150
09:00:00 12/01/2016,       6.225,    150
09:00:00 13/01/2016,       6.221,    150
09:00:00 14/01/2016,       6.240,    150
09:00:00 15/01/2016,       6.240,    150
09:00:00 16/01/2016,       6.221,    150
09:00:00 17/01/2016,       6.227,    150
09:00:00 18/01/2016,       6.236,    150
09:00:00 19/01/2016,       6.253,    150
09:00:00 20/01/2016,       6.252,    150
09:00:00 21/01/2016,       6.259,    150
09:00:00 22/01/2016,       6.240,    150
09:00:00 23/01/2016,       6.262,    150
09:00:00 24/01/2016,       6.276,    150
09:00:00 25/01/2016,       6.274,    150
09:00:00 26/01/2016,       6.271,    150
09:00:00 27/01/2016,       6.265,    150
09:00:00 28/01/2016,       6.272,    150
09:00:00 29/01/2016,       6.280,    150
09:00:00 30/01/2016,       6.273,    150
09:00:00 31/01/2016,       6.288,    150
09:00:00 01/02/2016,       6.301,    150
09:00:00 02/02/2016,       6.289,    150
09:00:00 03/02/2016,       6.346,    150
09:00:00 04/02/2016,       6.320,    150
09:00:00 05/02/2016,       6.293,    150
09:00:00 06/02/2016,       6.269,    150
09:00:00 07/02/2016,       6.255,    150
09:00:00 08/02/2016,       6.255,    150
09:00:00 09/02/2016,       6.251,    150
09:00:00 10/02/2016,       6.247,    150
09:00:00 11/02/2016,       6.267,    150
09:00:00 12/02/2016,       6.286,    150
09:00:00 13/02/2016,       6.311,    150
09:00:00 14/02/2016,       6.326,    150
09:00:00 15/02/2016,       6.314,    150
